telephone,geseats_prog9,swdfilled_prog12,swdseats_prog13,geapps_prog9,swdapps_prog12,name_prog2,overview,languageclasses,gefilled_prog13,code_prog14,swdfilled_prog4,geappsperseat_prog6,swdappsperseat_prog6,elaprof,activities_description,swdfilled_prog10,geappsperseat_prog14,accessibility_description,swdseats_prog1,code_prog5,swdseats_prog5,district,eligibility_prog10,other_features,diversityinadmissions,acceleratedclasses,swdfilled_prog9,eligibility_prog5,admissionsmethod_prog10,eligibility_prog2,swdappsperseat_prog8,swdseats_prog4,swdfilled_prog2,gefilled_prog10,geapps_prog4,swdapps_prog14,swdappsperseat_prog14,eligibility_prog11,priority2_prog3,postcode,geapps_prog2
718-665-8866,,,,,,The Academy of Public Relations,"The Academy of Public Relations is a Community in the South Bronx where self-esteem is fostered through Articulate and Thoughtful Communication, Public Speaking, and Reflection. At APR learning is a real world experience where teachers care beyond learning and students develop a purpose. Teachers will create culturally relevant student centered active learning experiences with real world connections, which will lead to more student engagement as well as an increase of academic discourse.  Furthermore, teacher's lessons will include higher order questioning techniques which will lead to greater student led discussions along with continuous assessment throughout the lesson to inform feedback and next steps. Priorities include creating and maintaining an inclusive environment for all students, focusing on Core Beliefs about how students learn best and all students learn in different ways,  improving student attendance, improving teacher effectiveness, improving student achievement through identified standards and increasing parental involvement. APR offers grade specific advisory which incorporates Restorative Practice approaches and culturally relevant issues. Sports and afterschool programs have great variety to include all students.",Other Language,,,,,,15.0,"Art, Dance, Debate, Drama, Fitness, Homework Help, Leadership, Musical Theater, Peer Mediation, Restorative Circles, Saturday Academy, Student Council, Technology, Theater, Visual Arts, Yearbook, In-school Residencies",,,Partially Accessible,6.0,,,7,,"Extended Day,Summer Session,Weekend Program,Uniform",,,,,,Open to students and residents of the Bronx,,,Y,,,,,,,10456.0,207.0
212-717-8809,,,,,,,"The Ella Baker School is a pre-K-8 public school located on the Upper East Side of Manhattan in the Julia Richman Education Complex. We are a non-catchment area school and accept students from all five boroughs. We serve a population of approximately 320 students from culturally diverse backgrounds. A critical aspect of Ella Baker's mission is to provide continuity in each child's school experience from kindergarten through eighth grade. It is our expectation that our students will continue with us through the eighth grade. We do not hold middle school tours, as it is rare that there are spots open in the upper grades.",Spanish,,,,,,62.0,,,,Partially Accessible,5.0,,,2,,,,,,,,,,,,,,,,,,10065.0,
718-467-0306,,,,,,,"Ronald Edmonds Learning Center II, is labelled a Respect for All school.  We are responsive to the culture of all our students. Our principles are Community, Leadership, Excellence, Accountability, and Respect. These, combined with Positive Energy and Constant Elevation create an environment where everyone feels safe, valued, respected and celebrated. Students graduate with three Regents and six high school credits. Uniform makes everyone feel equal, well groomed, and confident. Our caring administrators, teachers, and staff ensure the total well-being of every child, each of whom has a mentor and advocate. We provide opportunities for recreation, social-emotional development, global citizenship, and college and career readiness.  Activities: trips to museums, sports events, Broadway shows, United Nations, basketball, football, dance, step, chorus, drama, visual arts, photography, film, nutrition, and drumming.  Annual events: Spirit Week, Field Day, Cultural Awareness Day, the Oscars, Broadway Junior, Junior Achievement, New York Edge, Eagle Academy, NYC Junior Ambassadors, Sing for Hope, WE Day, Brooklyn Arts Council, Arts Connection, Urban Advantage, NOBLE, and The HistoryMakers.",Spanish,,,,,,31.0,"Dance, Drama, Gardening, Leadership, National Junior Honor Society, Restorative Circles, STEM, Step Team, Student Council, Visual Arts",,,Fully Accessible,14.0,,,17,,"Summer Session,Uniform",,"English,Spanish,Algebra I,Earth Science",,,,,,,,,,,,,,11233.0,
718-821-4860,,,,,,Zoned Program,"I.S. 162 ÃÂÃÂ¢ÃÂÃÂÃÂÃÂThe Willoughby SchoolÃÂÃÂ¢ÃÂÃÂÃÂÃÂis committed to preparing students with the necessary skills needed to be a productive and contributing member of our community. I.S. 162 fosters a caring and safe learning environment where all members accept the responsibility of preparing our students for continued achievement. Through our collaborative, student-centered culture, students are provided with the opportunities to succeed and celebrate every success. The mission of IS 162 is to prepare students through rigorous and relevant content to be a productive and contributing member of the 21st century. Through our collaborative and student-centered culture, students are provided with the knowledge and application of current technology to prepare them for tomorrow's world. At I.S. 162 we create a challenging learning environment that provides STEM opportunities that motivate, encourage and prepare all our students for college and career readiness in an increasingly complex and technological society so our students can actively contribute to their community. We are ""Teaching the Will-to-Be Excellent"".",Spanish;Other Language,,,,,,31.0,,,,Not Accessible,1.0,,,32,,,,"Algebra I,Living Environment",,,,Open to students residing in the zone,,,N,,,,,,,11237.0,93.0
718-982-4700,,,,,,,"Myra S. Barnes Intermediate School is dedicated to the belief that all students can meet high standards of excellence. The school will provide a positive and supportive environment for all students, staff and parents. This will emphasize the school's commitment in ensuring the children's cognitive, creative, and social growth. All our students will develop academic and social skills and responsibilities which will enable them to become productive and law-abiding citizens of the community.",Spanish;Italian,,,,,,64.0,"Art, Band, Chorus, Dance, Lego Robotics, Math Team, Music, Musical Theater, National Junior Honor Society, Restorative Circles, Service Learning, Student Council, Technology, Theater, Visual Arts, Yearbook",,,Partially Accessible,88.0,,,31,,,,"Spanish,Italian,US History,Algebra I,Living Environment",,,,,,,,,,,,,,10308.0,
718-526-4884,,,,,,,"Liberty Academy is a middle school serving  approximately 200 students. We are a small school that provides focused and individualized instruction to support our community of learners. We offer  rigorous curricular that focuses on mathematics, English Language Arts, Science, Social Studies, Music and the arts. We have a strong emphasis on College and Career Readiness . We have partnerships with Lincoln Center and Middle School Quality Initiative and Urban Advantage.  Lincoln Center brings teaching artist to the school and our students see 2 Lincoln Center performances.  Urban Advantage is a Science program that provides students with additional resources and trip to various museums in NYC.",Spanish,,,,,,26.0,"Art, Chorus, Guitar, Music, National Junior Honor Society, Photography, Restorative Circles, Step Team, Student Council, Visual Arts, Yearbook",,,Not Accessible,13.0,,,29,,Uniform,,,,,,,,,,,,,,,,11433.0,
718-341-8280,,,,,,,"The diverse P.S./I.S. 270 community is dedicated to achieving high standards of academic excellence for all students in a nurturing environment in preparation for the ever-changing challenges of society's new millennium. We want to create a community of lifelong learners whose focus will include the development of attitudinal, civil, and social skills necessary to function productively and successfully on every level, including leadership roles in the world community.",Spanish,,,,,,50.0,,,,Fully Accessible,14.0,,,29,,,,,,,,,,,,,,,,,,11422.0,
718-544-1083,,,,,,,"A dedicated staff and small school environment offer individualized social, emotional, and academic support. Queens Valley School offers all students high quality, instruction to prepare them for high school as well as college and/or a career. We value our technology program which includes SMART Boards, Promethean Boards, lap tops, desk tops and a state of the art lab. We offer an accelerated Regents program to all eligible eighth grade students. Our web-based programs include Castle Learning, Ed Performance, GoMath, Code X, Kahoot and Quizlet. Our Talent program provides students with an innovative and in-depth study in visual arts, dance, drama, vocal music, and video production. In addition, we have added a Talent track in coding and publishing; this provides our students with an opportunity to develop skills in STEM, computer programming, and graphic design. It is a vibrant program that strives to encourage and facilitate an enriched and creative environment. Our teachers model their artistic process with commitment to scaffold instruction. We have had students place as both finalists and semifinalists in the P.S. Art city-wide competition since its inception 10 years ago.",Spanish,,,,,,65.0,,,,Not Accessible,14.0,,,25,,,,"US History,Algebra I,Earth Science",,,,,,,,,,,,,,11367.0,
718-584-6004,,,,,,,"Our school is a true family of learners who support the whole child and work together to ensure that all students are successful. We offer a multitude of extracurricular activities, including but not limited to: Flag Rugby, Flag Football, Chess, Theatre etc.",,,,,,,28.0,"Art, Band, Chess, Choir, Chorus, Fitness, Green Team, Guitar, Leadership, Math Team, Music, Peer Mediation, Restorative Circles, Saturday Academy, STEM, Student Council, Technology, Theater, Yearbook",,,Fully Accessible,26.0,,,10,,Uniform,,Living Environment,,,,,,,,,,,,,,10453.0,
212-860-6047,,,,,,,"The Manhattan East School for Arts & Academics provides students with a rigorous 21st century liberal arts education in a safe and caring learning environment. Through this approach we foster high academic expectations, knowledge of the arts, and respect for diversity and for self. Manhattan East is an inclusive, holistically, screened school wherein the power and beauty of the whole community supports each student to the highest level of critical and creative thought. At Manhattan East all students engage in a continuum of rigorous arts and academic courses, culminating in up to four Regents Level High School classes in the eighth grade and the opportunity to specialize in Fine Arts, Music/Band and/or Dance.",Spanish,,,,,,57.0,"Art, Band, Dance, Debate, Gardening, Restorative Circles, Talent Show, Tutoring, Yearbook",,,Not Accessible,15.0,,,4,,,,"Spanish,US History,Algebra I,Earth Science",,,,,,,,,,,,,,10029.0,
718-423-8138,,,,,,Louis Pasteur STEM Program,"Louis Pasteur Middle School 67Q focuses on creating and maintaining a supportive learning environment.  We are deeply committed to developing the whole child. Students are challenged through the questions and activities they work on individually and collaboratively in student-centered classrooms.  We offer coursework that can provide accelerated opportunities in Math and Science prior to Graduation.  Also, students choose a three-year sequence in Arts instruction from course offerings of Band, Chorus, Theater, Dance, Studio Art, and Graphic Art & Design.  We offer a wide range of clubs, teams, and activities after school that are academic and recreational.  There is a full-time, free after-school program facilitated by staff from the Samuel Field Y.",Spanish,,,,,,79.0,"Chess, Debate, Gardening, Green Team, Homework Help, Lego Robotics, Math Team, Musical Theater, School Newspaper, Spelling Bee, STEM, Student Council, Theater, Yearbook",,,Partially Accessible,0.0,,,26,,,,"Algebra I,Geometry,Earth Science,Living Environment",,,,Open to students and residents of District 26,,,Y,,,,,,,11362.0,368.0
718-822-2780,,,,,,,"Blueprint is a college preparatory middle school. We focus on accelerating students in math and science, as the completion of high level math and science courses is a key indicator for college completion. Students love to investigate and experiment in math and science through our problem-based courses. They enjoy trips to high schools, colleges, cultural institutions, and our monthly Town Hall meetings where they meet people from different careers and learn about their paths. Our school is specifically designed to give students the knowledge that will put them on the road to high school and beyond. Each student receives a unique academic blueprint that serves as a plan for them to meet our learning standards. We hold weekly meetings to discuss student progress and invite families to participate.",Spanish,,,,,,32.0,"Art, Book Club, Dance, Drama, Fitness, Lego Robotics, Restorative Circles, Robotics, Science Club, STEM, Technology, Visual Arts, Yearbook, SHSAT Prep Class",,,Not Accessible,26.0,,,8,,"Summer Session,Weekend Program,Uniform",,"Algebra I,Living Environment",,,,,,,,,,,,,,10472.0,
718-647-1301,,,,,,,"At Liberty we offer four Regents exams beginning in 7th grade with the option to start in 8th grade as well. Students travel to Baltimore, Washington DC, or Philadelphia every year. We have soccer, basketball, softball, and baseball teams for all students. We have clubs for gardening, art, and STEM/robotics too.",Spanish,,,,,,30.0,"Art, Book Club, Coding, Cooking, Dance, Debate, Fitness, Gardening, Homework Help, Leadership, Lego Robotics, Robotics, Saturday Academy, School Newspaper, Service Learning, STEM, Student Council, Talent Show, Tutoring, Visual Arts, Yearbook",,,Partially Accessible,42.0,,,19,,"Extended Day,Weekend Program,Uniform",,"US History,Algebra I,Geometry,Living Environment",,,,,,,,,,,,,,11208.0,
718-495-7732,,,,,,,"One to one ratio of ipads to students. Daily STEM instruction. Coding lessons using Sphero Edu, Code Swift lessons, edu. MBK Mentorship Program. Student-selected Arts instruction, horseback riding, and cycling trips. Success Mentors. Single Shepherd.",,,,,,,22.0,"Choir, Chorus, Coding, Dance, Drama, Gardening, Green Team, Spelling Bee, STEM, Student Council, Technology, Urban Arts, Yearbook",,,Not Accessible,17.0,,,23,,Uniform,,Algebra I,,,,,,,,,,,,,,11212.0,
718-278-6403,,,,,,Zoned Program,"Nestled in the heart of multicultural Astoria, I.S.141, which ranks in the top 20% for the past 10 years is a 2018-2019 ESSA Recognition School. We provide rigorous academic inquiry based instruction in a caring and supportive environment.  Our mission is to ensure that students take ownership of their learning in collaborative, culturally responsive classrooms. We are proud to offer an Accelerated Program which provides in-depth study and prepares students for Regents exams in Living Environment and Algebra I, while also promoting the arts and humanities by offering music as well as visual and computer arts.  We are proud of our efforts to ensure that our students are college and career ready by our participation in the following DOE programs: College Access for All, Algebra for All, SHSAT School, and Civics for All.",Spanish,,,,,,65.0,"Art, Band, Chess, National Junior Honor Society, STEM, Student Council, Theater, African Drumming, Civics",,,Not Accessible,14.0,,,30,,"Extended Day,Weekend Program",,"Algebra I,Living Environment",,,,Open to students residing in the zone,,,N,,,,,,,11105.0,241.0
718-727-6040,,,,,,Zoned Program,"Dreyfus Intermediate School 49 is a Title I Community School consisting ofÃÂÃÂ students from grades six through eight. Many of our students and families are faced with adversity, consequently deeming student attendance an issue at Dreyfus Intermediate. We are diligently working to increase family involvement, to build confidence and trust in the work we are doing, and ensure that our students are receiving support through a range of social and emotional partnerships within the community school structure. We have increased our partnerships with community-based organizations to support students and families. Some of these strategic partnerships include the YMCA, Big Brother Big Sister Literacy Program, Seamen's Society for Children, GirlÃÂÃÂ UniverCITY, SUNDOG Theatre, 21st Century Community Learning Centers, Salvation Army, the Jewish Community Center, Urban Advantage, Safe Passages, Liberty Partnership, and the Jewish Board. These community partnerships allow our students to feel safe, supported, and valued during and after the school day, through social-emotional, enrichment and academic support programs.",Spanish,,,,,,27.0,"Music, Saturday Academy, Marine Sciences",,,Not Accessible,8.0,,,31,,"Extended Day,Summer Session,Weekend Program",,"Spanish,Algebra I",,,,Open to students residing in the zone,,,N,,,,,,,10304.0,63.0
212-501-3318,,,,,,,"The mission of the Special Music School is to teach musically gifted children through highly structured instrumental training and a standards-based academic program. The school prepares students for professional music careers while recognizing that not every student will choose such a career. The underlying philosophy of the Special Music School is the belief that music education for gifted pupils requires: 1) extensive opportunities to work one-to-one with an outstanding instrumental faculty; 2) a structured, sequential music curriculum; 3) opportunities to perform before audiences; and 4) interaction between general academics and musical studies. Our goal is to see each child reach his or her academic and musical potential. Our vision is that all students will become lifelong learners and critical thinkers in our caring and respectful learning environment. We encourage parental involvement in all aspects of the school.",Spanish,,,,,,93.0,,,,Partially Accessible,0.0,,,3,,,,"Algebra I,Living Environment",,,,,,,,,,,,,,10023.0,
718-588-8349,,,,,,,"M.S. 594 opened its doors in the Fall of 2018. Our mission is to develop internationally minded students with active and creative minds, a sense of understanding and compassion for others, and the courage to act in ÃÂÃÂ¢ÃÂÃÂÃÂÃÂPATH"" (Perseverance, Accountability, Thoughtfulness, Honesty). We stress the total development of exemplary citizenship: intellectual, social, emotional, and physical.",Spanish,,,,,,10.0,"Art, Dance, French Club, Gardening, Homework Help, Technology, Yearbook",,,Not Accessible,17.0,,,9,,,,,,,,,,,,,,,,,,10456.0,
718-645-1334,,,,,,W.A. Cunningham I.S.234: Open to Zoned Students,"Cunningham is a family-oriented, safe, and nurturing school whose students come from more than 30 different countries. In an effort to prepare our student body for college and career, we empower them to think critically and engage in rich peer-to-peer collaboration across all disciplines. Cunningham focuses on science, engineering, technology, math, the Arts, sustainability, and environmental issues through hands-on STEAM related activities, robotics, coding, Ever-fi, residencies, field trips, partnerships, Live Theater Program and service-learning opportunities. Students will become communicators and collaborators while learning new and exciting engineering and technology skills, conducting research, applying math concepts, enjoying the performing Arts and striving to create a model for a sustainable community. The program heightens students' curiosity in STEAM subjects by laying a solid foundation for futures in science, engineering, math, the performing Arts and tech fields through all subject areas by teaching the critical skills that life and work demand.",Spanish,,,,,,60.0,"Art, Band, Chess, Chorus, Dance, Debate, Drama, Engineering, Fitness, Homework Help, Math Team, Photography, Restorative Circles, Robotics, Saturday Academy, Science Olympiad, STEM, Student Council, Technology, Tutoring, Yearbook, Yoga, MSQI",,,Partially Accessible,5.0,,,22,,"Extended Day,Summer Session,Weekend Program",,"Spanish,US History,Algebra I,Living Environment",,,,Open to students and residents of District 22,,,Y,,,,,,,11229.0,1062.0
212-666-1278,,,,,,,"Students like our family atmosphere and the creative vibe of our teachers and courses. Students also like the opportunities to take courses at Columbia University in high school. Parents like the availability of the teachers and the cultural events that celebrate the diverse community, like our yearly musical, Black History Month celebration, and Hispanic Month celebration. Parents also appreciate the quality of the teachers and the breadth and depth of the curriculum. Columbia Secondary School for Math, Science, and Engineering has one of the only middle to high school engineering sequences in the state as well as a seven-year philosophy curriculum. We created our own community garden in partnership with the New York City Department of Parks & Recreation, which has become an integral part of our community. Our school focuses on hands-on, inventive learning experiences, and our teachers develop field experiences that bring coursework into an authentic setting without losing rigor.",Latin;Spanish,,,,,,87.0,,,,Partially Accessible,21.0,,,5,,,,"Spanish,Algebra I,Geometry,Earth Science",,,,,,,,,,,,,,10027.0,
718-756-0210,,,,,,,"Our school is college bound. We are a College Access For All School. Students in grades 7 and 8 participate in a college orientation course once a week. As part of the program students visit approximately 5 of the top universities in NY, including Harvard University. Students also visit CUNY schools. The school offers 6 regents; algebra 1, English, environmental science, earth science, French and Spanish.  An intensive performance arts program forms part of the curriculum; drama, band, strings, dance, vocal and visual arts. Throughout the year students visit  New Victory Theory and many other performing  arts events.",French;Spanish,,,,,,57.0,"Art, Band, Dance, Leadership, Saturday Academy, Spelling Bee, Student Council, Technology, Visual Arts",,,Not Accessible,26.0,,,17,,"Extended Day,Summer Session,Weekend Program,Uniform",,"English,Spanish,Algebra I,Earth Science,Living Environment",,,,,,,,,,,,,,11212.0,
718-319-7270,,,,,,,"Fannie Lou Hamer Middle School is a small school where students develop skills to work effectively, think critically, and act compassionately so that they can advocate for themselves and their communities as they go out into the world.  At FLHMS, we believe that work in school should not only help students master the standards for each grade, but should also be relevant to their lives and represent authentic opportunities to use their knowledge and skills to make a difference in the community. Each student builds a portfolio over their three years at FLHMS, presenting selected pieces from the portfolio and Roundtables twice a year in each grade for feedback from other students, teachers, and family and community members. Students gain important speaking and presentation skills during Roundtables and have the opportunity to see how their work in middle school is applicable to the work they will do in high school, college, and their future careers.   Before leaving FLHMS, each student has the opportunity to engage in a wide range of opportunities from participating performance and visual art productions, being a member of a sports and academic teams, and taking college and overnight trips out of the city.",Spanish,,,,,,24.0,"Art, Band, Book Club, Cooking, Dance, Fitness, Green Team, Homework Help, Leadership, Math Team, Music, Peer Mediation, Photography, Restorative Circles, Saturday Academy, School Newspaper, Science Club, Student Council, Theater, Tutoring, Visual Arts, Yearbook, Drumline",,,Not Accessible,25.0,,,12,,"Summer Session,Weekend Program,Uniform",,,,,,,,,,,,,,,,10460.0,
718-286-3500,,,,,,,"The Metropolitan Expeditionary Learning School, ""A School for a Sustainable City"", is a NYC Outward Bound School (www.nycoutwardbound.org). We serve grades 6, 7, 8, 9, 10, 11, and 12.  MELS offers all students a rigorous college preparatory program, with particular emphasis on sustainability. MELS has been recognized as a Showcase School by the New York City Department of Education and one of ten Mentor Expeditionary Learning schools across the country. The school follows the Expeditionary Learning model (www.eleducation.org), in which students engage in learning expeditions and have multiple opportunities for hands-on learning, both inside and outside of the classroom. Students participate in fieldwork with civic leaders, industry figures, and environmental scientists to examine agriculture, architecture, city infrastructure, design, environmental policy, law, and planning. Our graduates, through their examination of the principles of sustainability, will be equipped with the skills necessary to succeed in college and to guide the new decisions faced by our city and our world.",,,,,,,43.0,"Art, Book Club, Chorus, Debate, Green Team, Homework Help, Leadership, Music, Restorative Circles, Service Learning, STEM, Visual Arts",,,Fully Accessible,22.0,,,28,,"Extended Day,Uniform",,"Algebra I,Earth Science",,,,,,,,,,,,,,11375.0,
212-860-5992#,,,,,,,"Central Park East II (CPE II) is a collaborative community where staff, parents, and students work together to create a safe, caring, academically rigorous, and joyful school environment. CPE II provides an enriched education to all students that includes the arts, both visual and performing, sports, and technology. We have a state of the art library, with a certified librarian, a dance studio and a two-level hydroponics garden. Just a few steps from the footbridge, we use Randall's Island as an outdoor classroom. Incoming 6th graders are invited to join our violin program. As a Community School in partnership with Children's Aid, we are able to provide many extra programs and services, including a full after-school and summer program. We participate in a variety of programs such as College Access for All, Urban Advantage and Civics for All. We give students the skills, understandings, and habits of mind that will help them in becoming thoughtful readers, writers, mathematicians, scientists, and keen observers of the world, as well as ethical agents for change. We want our students to know that their voice is important and they can use it to advocate for themselves and others to make a difference in the world.",Spanish,,,,,,28.0,"Art, Cooking, Dance, Yearbook",,,Partially Accessible,15.0,,,4,,"Extended Day,Summer Session",,,,,,,,,,,,,,,,10029.0,
718-236-5447,,,,,,P.S./I.S. 229,"Our students can experience a seamless day from 8:00AM - 6:00PM. Program offerings include Regents track with mathematics (Algebra I) and science (Living Environment). All middle school students participate in a choice of enrichment activities that have included for example, Debate, Latin Dance, Journalism, Soccer, STEAM, and Community Service. We also have an extensive music and art program that includes chorus, band, orchestra, visual arts and theater.  Our students have the opportunity to participate in a SONYC after-school program through the Neighborhood Improvement Association (NIA), and the NYC DOE middle school after-school sports program, CHAMPS.",Spanish,,,,,,70.0,"Art, Band, Chess, Chorus, Debate, Latin Dance, Music, National Junior Honor Society, Service Learning, STEM, Student Council, Technology, Visual Arts, Yearbook",,,Fully Accessible,5.0,,,20,,"Extended Day,Weekend Program",,"English,Spanish,Algebra I",,,,Open to continuing 5th grade students and students residing in the zone,,,N,,,,,,,11228.0,118.0
718-688-6400,,,,,,,"The Science and Medicine Middle School 366 is committed to providing a safe and nurturing yet academically rigorous learning environment that prepares students for high school, college, careers, and service to the world. It is our expectation that students respect themselves and others, hold themselves accountable for their actions, and always strive for excellence. Our sixth graders take a medical science course in our newly renovated medical science teaching lab, complete with hospital-grade beds and equipment. Our seventh graders visit various CUNY and SUNY schools as well as Historically Black Colleges and Universities. Eighth graders have the opportunity to take the Living Environment and Common Core Algebra I NYS Regents exams.  Students in all grades engage in various hands-on and real-world activities through our partnerships with Urban Advantage, Triad Consulting Strategies, the City Parks Foundation, Weill Cornell Medical College, Brooklyn College, NYU Langone Health, The Nature Conservancy, The Middle School Quality Initiative, The District Charter Collaborative, College Access for All and the East Kings County Chapter of Delta Sigma Theta Sorority, Inc.",Spanish,,,,,,35.0,"Chess, Chorus, Dance, Debate, Gardening, Glee Club, Green Team, Homework Help, Leadership, Peer Mediation, Restorative Circles, Service Learning, Student Council, Yearbook, Green Girls, My Brother's Keeper, PBIS Team",,,Fully Accessible,25.0,,,18,,"Extended Day,Summer Session,Uniform",,"Algebra I,Living Environment",,,,,,,,,,,,,,11236.0,
718-377-8845,,,,,,,"VISION STATEMENT  It is the vision of PS/IS 121 Nelson A. Rockefeller Magnet School of Applied Life Sciences to sustain a learning environment that brings experiences with the living environment directly to students in an urban setting, resulting in increased student knowledge and skills that can be applied to improving their lives, their community, and their world. They will develop self-efficacy, a genuine kindness towards the environment and humanity, and become a community of lifelong learners. Our students will be productive leaders of society.  MISSION STATEMENT  It is the mission of PS/IS 121 Nelson A. Rockefeller Magnet School of Applied Life Sciences to create and sustain a learning environment centered on a Life Sciences curriculum.  We will expose students to various living environments in order to provide regular hands-on and minds-on experiential learning.  In this learning environment, students will regularly access critical thinking processes by engaging in the scientific method in order to achieve high standards of academic excellence.  Students will work collaboratively to solve problems and apply what they learn to improve their world.  Together we make a difference!",Spanish,,,,,,53.0,"Science Club, STEM",,,Not Accessible,12.0,,,21,,Extended Day,,,,,,,,,,,,,,,,11204.0,
718-796-9200,,,,,,,"P.S./M.S. 95 cultivates a professional learning community where all adults are fully committed to developing student proficiency in all subject areas. We, the community of educators at P.S./M.S. 95, are committed to providing a risk-free learning environment so that students become lifelong learners who take ownership of their learning. We actively observe, engage, and assess our students by using formal and informal methods. By analyzing our data and by adapting our best teaching practices, we will differentiate instruction in order to meet the individual academic and social needs of our students. In taking such a holistic approach, every adult at P.S./M.S. 95 plays an active role in fulfilling every student's unique potential.",French,,,,,,34.0,,,,Fully Accessible,31.0,,,10,,,,"US History,Algebra I,Earth Science",,,,,,,,,,,,,,10463.0,
718-294-8111,,,,,,,"At the Comprehensive Model School Project (CMSP), children are our first priority. Therefore, we are an inclusive community comprised of students, parents, and educators dedicated to high academic achievement and the complete social-emotional development of each student. We are a community that respects and honors diversity. Students are valued members of our school community who understand the importance of self-respect and respect for others. The academic success of our students is a collaborative effort and is the result of our staff's expertise, planning, professionalism, extensive parent involvement, students' commitment to success, and an atmosphere of social equity in our school.",Latin,,,,,,40.0,,,,Fully Accessible,18.0,,,9,,,,"US History,Living Environment",,,,,,,,,,,,,,10452.0,
718-451-2200,,,,,,Meyer Levin (I.S. 285): Boroughwide Performing Arts Program,"At Meyer Levin School for the Performing Arts, we believe in equity and excellence for all scholars. Academic Excellence: Meyer Levin has a Level 4 rating in ELA. This means all of our scholars have made significant progress on the state exam. In Mathematics, we have implemented the new Jump Math curriculum. We offer regents in Social Studies, Math, and Science. Student and Community Support: We believe in developing social emotional intelligence. Meyer Levin's Performing Arts program is famous for graduating top students in Dance, Chorus, Drama, Steel Pan, Instrumental Band, Keyboard and Visual Arts. We have sports teams such as Boys and Girls Basketball, Flag Football, Track and Field and Double-Dutch. Meyer Levin is a full Restorative Justice school and ALL of our students participate in weekly restorative circles. We believe in the ""Community School"" model and have a variety of community based organizations on our campus Innovation: Algebra for All: It is expected that all of our students will complete Algebra by graduation thus allowing them to take more advance math classes in high school. College Access for All: We have a full time College Access staff member to engage our students are all aspects of college life.",Spanish,,,,,,38.0,,,,Not Accessible,10.0,,,18,,,,"US History,Algebra I,Living Environment",,,,Open to students and residents of Brooklyn,,,Y,,,,,,,11203.0,515.0
718-367-5035,,,,,,The Creston Academy,"Our school promotes a middle school environment that supports each student's intellectual, ethical, emotional and physical development. We partner with Good Shepherd Services and Dreamyard, to provide opportunities for students to engage in The Arts. For the past five years, we have partnered with Lincoln Center Education to provide instruction in visual and performing arts during the school day. Urban Advantage is a partnership designed to foster and develop students' love and understanding of STEM through collaborations with science cultural institutions. Creston Academy is a Respect for All school, in partnership with the Anti-Defamation League. Our school offers Specialized High School Achievement Test preparation and students may take Algebra I or Living Environment in the eighth grade. Through CHAMPS and the PSAL, we offer girls and boys volleyball, girls and boys basketball and girls softball. In 2016 and 2017 our Girls Volleyball team placed first in New York City. The New York Road Runners make it possible for us to have a Young Runners Club. Additional clubs include chess, debate, orchestra, yearbook, Beyond Differences and student council.",,,,,,,34.0,"Art, Chess, Coding, Debate, Saturday Academy, STEM, Step Team, Student Council, Yearbook",,,Fully Accessible,2.0,,,10,,"Extended Day,Weekend Program,Uniform",,"Algebra I,Living Environment",,,,Open to students and residents of the Bronx,,,Y,,,,,,,10453.0,546.0
718 - 759 - 4908,,,,,,,"M.S. 936 will open its doors in the Fall of 2020. M.S. 936 is a culturally sustainable middle school for the arts where all stakeholders work together to ensure equity, excellence and empathy for all students. Through the lens of the visual and performing arts, students will acquire numeracy, literacy and Social and Emotional Learning skills to effectively communicate to diverse audiences for a variety of purposes. Further, by fostering an inclusive and mindful culture among the school community, we can forge new artistic and academic pathways for our students, help them successfully navigate their social and emotional world and actively compete in the 21st century global classroom and marketplace.",,,,,,,,"Art, Band, Chorus, Dance, Drama, Music, Musical Theater, National Junior Honor Society, Peer Mediation, Restorative Circles, STEM, Technology, Theater, Visual Arts",,,Not Accessible,25.0,,,20,,,,,,,,,,,,,,,,,,11220.0,
718-266-0814,26.0,,,237.0,,Mark Twain (I.S. 239) (Athletics),"Mark Twain Intermediate School for the Gifted and Talented sets itself apart from others because of its dual mission. Students are immersed in an environment of academic rigor blended with a full visual art and performing arts experience, all in an extremely supportive environment. Twain is organized into clusters, or mini-schools, of four classes with a team of teachers assigned to each. Clusters are scheduled for conference periods to facilitate interdisciplinary planning, data analysis and communication with parents to discuss student progress. This helps teachers and families strategize and focus their instruction to suit individual student needs. Every child is involved in the in-depth study of a Talent area helping students to hone their skills.  Mark Twain is a 1:1 school--students have devices such as Chrome books and iPads in all classes to foster 21st century skills.",Other Language;Spanish;Italian,,,Y,18.0,2.0,87.0,"Art, Band, Chess, Chorus, Coding, Creative Writing, Dance, Debate, Drama, Green Team, Leadership, Math Team, Music, National Junior Honor Society, Photography, Robotics, Spelling Bee, STEM, Student Council, Talent Show, Technology, Theater, Visual Arts, Yearbook",Y,,Not Accessible,12.0,K239DR,5.0,21,Open to New York City residents,,,"Algebra I,Living Environment",N,Open to New York City residents,Talent Test,Open to New York City residents,9.0,5.0,Y,Y,462.0,,,Open to New York City residents,,11224.0,633.0
