project_name,project_description_type,expected_construction_end_date_op,latest_permit_extension_amendment_issuance_date,permit_amendment_content,modified,scoping_response_due_date_op,conditional_letter_issued,created,actual_construction_end_date_op,forestry_permit_id_number,borough,impacted_park_name_s,address_intersection,original_permit_expiration_date,exploratory_permit_id,construction_manager_company_op,contract_value_op,scoping_initiated_kick_off_op,construction_kickoff_op
Rehabilitation of the Bronx Kills Pedestrian Ramp at the Robert F. Kennedy Bridge,Rehabilitation of the Bronx Kills Pedestrian Ramp at the Robert F. Kennedy Bridge,,,,2021-02-10T10:52:00.000,,,2021-02-08T16:04:00.000,,,Manhattan,Randall's Island Park;,,2022-08-16T00:00:00.000,,,,,
"2016 Biennial Bridge Inspection & Design of Misc. Repairs at the Verrazano-Narrows Bridge:
Approach Ramps",Bridge Inspection,,2017-10-13T00:00:00.000,"Permit No. B210W.20160714 is hereby extended to the new Expiration date given above.  Permittee cannot mobilize on site without first holding an onsite meeting to discuss staging and operations for the authorized work, or without written authorization from Parks to waive this requirement. Please additionally note that a Parks Capital Project in John J. Carty Park is expected to begin in March of 2018. Should the current schedule for that project hold, there will be no further extensions possible under this permit, other than to perform site restoration work. All other terms and conditions of said permit remain in full force and effect.",2020-03-17T12:05:00.000,,,2016-07-14T10:11:00.000,,I16-017,Brooklyn,John J Carty Park;,Fort Hamilton Parkway between 97 St and 100 St,2016-12-30T00:00:00.000,,,1197047.0,,
Triborough Bridge Playground B Basketball Court Renovation,TBO Sitescapes will refurbish the basketball court at Triborough Bridge Playground B as part of the Big Ten Network Adopt-A-Park agreement. The work will consist of renovation of the basketball courts and line striping.,,,,2019-11-05T15:03:00.000,,,2018-02-07T12:42:00.000,,,Queens,Triborough Bridge Playground B;,,2018-03-31T00:00:00.000,,,,,
Conservation of Marble Grave Markers,Repair and conserve marble grave markers,,,,2019-11-05T15:09:00.000,,,2017-11-08T15:27:00.000,,,Queens,Prospect Cemetery;,Beaver Rd and 159th Street,2018-05-31T00:00:00.000,,,8000.0,,
Gas Main near Great Kills Park,"HDD under sidewalk in front of park, no impact",,,,2019-11-05T15:18:00.000,,,2017-06-09T17:51:00.000,,,Staten Island,Great Kills Park;,Park Terrace & Hillcrest Ave,,,,,,
East River Park Waterfront Structure Inspection,"BTMI Engineering will be performing a design level above and underwater inspection of the existing East River Park bulkhead and Fireboat House piers, between Montgomery 14th Streets along the East River. The work comprises the inspection of the high-level platform, low-level platform, and timber substructure for the Fireboat House. The inspection crew is planning to perform the work utilizing a combination of approaches and shifts, from land and water.",,2018-06-29T00:00:00.000,E1 - Extend permit through 7/31/2018,2019-11-05T16:02:00.000,,,2018-05-10T11:12:00.000,,,Manhattan,John V. Lindsay East River Park;,between Montgomery St & 14th St along the East River,2018-06-30T00:00:00.000,,,,,
Aqueduct Walk Test Pits and Wall Cores,Aqueduct Walk Test Pits and Wall Cores,,,,2019-11-05T15:08:00.000,,,2019-04-17T14:34:00.000,,,Bronx,Aqueduct Walk;,W 180th St & University Ave,2019-05-17T00:00:00.000,,,,,
PS 127Q - East Elmhurst Playground,exterior masonry work and playground restoration including basketball court and landscaping,,,,2019-11-05T15:20:00.000,,,2017-03-14T10:29:00.000,,,Queens,,100th St and 25th Ave,,,,,,
Resurface Tennis Courts,Resurface Tennis Courts,,,,2019-11-18T14:32:00.000,,,2019-10-09T14:26:00.000,,,Queens,Frank Principe Park;,"Intersection of 54th ave and 61st street, Queens",2019-11-15T00:00:00.000,,,,,
111 Water Street/ Tappen Park,Access and work on a distinctive sidewalk adjacent to distinctive park pavement,,,,2019-11-05T15:23:00.000,,,2019-09-04T07:08:00.000,,,Staten Island,Tappen Park;,,2019-10-25T00:00:00.000,,,,,
Springfield Gardens Reconstruction Phase 5,"Reconstruction of streets, curbs, sidewalk, resurfacing, street lighting, traffic signals, sewer and water main replacement. (MM2 Plan Title Sheet)",,,,2020-08-31T08:22:00.000,,,2020-08-26T14:02:00.000,,,Queens,,Rockaway Boulevard and South Conduit Avenue,,,,,,
Debris Removal at Riverside Park South,Cut & Remove Rubbish from area by coast line,,2018-08-27T00:00:00.000,,2019-11-05T15:15:00.000,,,2017-09-23T11:22:00.000,,,Manhattan,Riverside Park South;,Hudson River Coastline at 62nd St and Riverside Blvd.,2017-07-31T00:00:00.000,,,,,
Soil Borings and Test Pits for Gilder Center,"As part of the Environmental Subsurface Investigation, AKRF would like to complete forty (40) shallow hand auger borings and twelve (12) deep soil borings (or a single test pit) in Theodore Roosevelt Park.",,,,2019-11-05T15:29:00.000,,,2018-08-31T12:59:00.000,,WSU317MF18,Manhattan,Theodore Roosevelt Park;,81 St & Columbus Ave,2018-10-31T00:00:00.000,,,,,
High Level Storm and Combined Sewers in 229th Street Area (Laurelton),Storm and Combined Sewers,,,,2020-08-31T15:37:00.000,,,2017-09-25T09:45:00.000,,QP18-557 QP19-073,Queens,Idlewild Park;,149th Avenue and 226th Street,2021-04-16T00:00:00.000,,,,,
939 Woodycrest – Exterior repair,939 Woodycrest – exterior repair (Cut & Point brick mortar joints and brick replacement. (erect overhead protection / sidewalk shed),,,,2019-11-05T15:29:00.000,,,2019-02-07T13:17:00.000,,,Bronx,Woodycrest Community Garden;,,2020-01-15T00:00:00.000,,,,,
Coney Island Amusements East Expansion Project,Coney Island Amusements East Expansion Project,,,,2020-09-07T16:56:00.000,,,2020-01-31T17:04:00.000,,,Brooklyn,Park;,W 16th St & Boardwalk,2020-07-31T00:00:00.000,,,,,
PS 506M Exterior Work,Temporary closure of a pedestrian path to create a construction access corridor for an adjacent exterior project at the adjacent PS 506M school facility,,,,2020-08-28T12:37:00.000,,,2019-11-26T09:18:00.000,,WF04MF19,Manhattan,Frederick Douglass Playground;,,2020-11-30T00:00:00.000,,,,,
PS 255K Safety Zone,"Installation of a temporary no-access safety zone to facilitate the exterior
rehabilitation of the PS 255K school facility",,,,2021-01-28T09:07:00.000,,,2021-01-27T13:28:00.000,,,Brooklyn,Kelly Park;,,2022-01-28T00:00:00.000,,,,,
NYCDOT Marine When & Where Flag Repairs Staging Area,A staging area permit for Conway Marine to stage the materials they use for NYCDOT Marine When & Where flag repair projects; this is an undeveloped portion of Bridge Park in the Bronx.,,,,2019-12-29T15:32:00.000,,,2018-04-20T16:46:00.000,,,Bronx,Bridge Park;,Exterior Street south of the Alexander Hamilton Bridge,2020-04-02T00:00:00.000,,,,,
Downtown Far Rockaway Improvements Redevelopment Project,Large-scale streetscape project in Downtown Far Rockaway including a large DEP sewer reconstruction. Includes streetscaping.,,,,2020-12-18T14:24:00.000,,,2016-03-29T16:21:00.000,,,Queens,Greenstreet;Jamaica Bay Park;,Mott Ave & Central Ave,,,,,,2019-07-26T00:00:00.000
"207 Huntington Street – Brooklyn – Roll back chain link fence/reinstall fence, and temporary install a plywood construction fence","Roll back chain link fence/reinstall fence, and temporary install a plywood construction fence",,,,2019-11-05T15:27:00.000,,,2019-06-03T14:23:00.000,,,Brooklyn,Korean War Veterans Plaza;,,2019-05-01T00:00:00.000,,,,,
Rehabilitation of Major Deegan Expressway (I-87) Between W 161 St and Highbridge Interchange,"BIN 1067451 & 1067452: Bridge elimination, replaced with roadway on fill. Fill existing abandoned subway station near Yankee Stadium on Sedgewick Ave. BIN 1066840: rehab of Depot Place bridge over MDE and raise bridge to improve clearance",2022-04-08T00:00:00.000,,,2019-11-05T15:57:00.000,,,2018-07-11T15:01:00.000,,,Bronx,,Sedgwick Ave & University Ave,,,,118975000.0,,2019-06-20T00:00:00.000
Parque de Los Ninos Basketball Court Refurb,"Nike's contractor, Ace Surfaces, will refurbish the basketball court at Parque de los Ninos. Per site visit on 5/23, Ace Surfaces will clean and resurface the basketball court, provide temporary construction fencing on court entrances, paint the seating area of the bleachers, and install new backboards and rims to match existing.",,,,2019-11-05T15:13:00.000,,,2018-05-31T14:27:00.000,,,Bronx,Bronx River Parkway;,Watson Ave & Morrison Ave,2018-07-27T00:00:00.000,,,,,
Shirley Chisholm State Park - Fountain Bike Connnector,Connection from Jamaica Bay Greenway to Shirley Chisholm State Park.,,,,2020-03-17T11:08:00.000,,,2019-08-02T16:21:00.000,,,Brooklyn,Belt Parkway/Shore Parkway;,,2019-12-31T00:00:00.000,,,108888.0,,
FDNY EMS Station No. 39 Station Rehabilitation,"Installation of a Temporary Construction Safety Zone to Facilitate Rehabilitation of Exterior Masonry, Parapets and Roof of FDNY EMS Station No. 39.",,,,2019-11-05T16:02:00.000,,,2018-07-24T11:22:00.000,,,Brooklyn,Grace Playground;,,2018-10-31T00:00:00.000,,,,,
Water Service to Alley Park Tree Nursery,Installation of water service line to the relocated NRG tree nursery in Alley Pond Park as a last part of of the restoration following ERAC2 / Old Douglaston Pumping Station,,,,2019-11-05T15:16:00.000,,,2016-09-26T09:11:00.000,,,Queens,Alley Pond Park;,Northern Blvd & 234 Street,,,,,,
PS 81X Overhead Protection Area,Temporary closure of a portion of the park to facilitate school rehabilitation,,,,2020-08-28T12:19:00.000,,,2019-03-11T08:42:00.000,,,Bronx,Vinmont Veteran Park;,,2018-03-30T00:00:00.000,,,,,
RFK Bridge Suspended Spans Stringer Repairs,RFK Bridge suspended spans stringer inspection and repairs located over Randalls Island’s soccer fields # 73 and 74.,,,,2019-11-05T15:59:00.000,,,2018-06-25T10:47:00.000,,,Manhattan,Randall's Island Park;Wards Island Park;,,2018-12-31T00:00:00.000,,,700000.0,,
Pedestrian Ramp Rehabilitation in Brooklyn,Pedestrian Ramp Rehabilitation,,,,2020-08-31T15:54:00.000,,,2020-05-28T14:16:00.000,,,Brooklyn,,,,,,,,
Highline,install scaffolding,,,,2021-02-22T10:05:00.000,,,2021-02-11T13:07:00.000,,,Manhattan,The High Line;,W.18th Street and the Highline,,,,,,
Green Infrastructure in Newtown Creek Area - Phase I (Bioswales),Green Infrastructure (Bioswales),,,,2019-11-05T14:57:00.000,,,2017-05-03T11:34:00.000,,,Queens,Technical Sergeant Thomas J. Davey Triangle;Frank Principe Park;,,2017-07-31T00:00:00.000,,,,,
ITS Maintenance and Support Throughout New York City,ITS Maintenance and Support Throughout New York City,,,,2021-05-03T10:32:00.000,,,2019-11-13T13:34:00.000,,,Bronx;#Brooklyn;#Manhattan;#Queens;#Staten Island,Park;,,,,NYSDOT,6987087.0,,
"East Rockaway Shoreline Protection, Atlantic Shore Front Groins Project, Rockaway Peninsula",East Rockaway Inlet to Rockaway Inlet and Jamaica Bay Shoreline Protection Project,,,,2021-02-10T14:37:00.000,,,2020-03-31T17:41:00.000,,,Queens,Brant Point Wildlife Sanctuary;Dubos Point Wildlife Sanctuary;Rockaway Community Park;Bayswater Park;Rockaway Beach;Rockaway Beach;Rockaway Beach Boardwalk;,Rockaway Beach from Beach 149th to Beach 90th,2023-01-21T00:00:00.000,QG.E.20200331,,,,
ESCR Borings in East River Park (Craig),"ESCR Borings in East River Park - Esplanade Reconstruction, Corlears Hook, and Pedestrian Bridges",,2019-12-13T00:00:00.000,"E1 - Extension through 9/30
E2 - Extension through 10/31
E3 - 2 additional borings and extension through 12/31
E4 - extension through 1/31/20",2020-02-24T12:45:00.000,,,2019-05-20T15:57:00.000,,WSP356MF19,Manhattan,John V. Lindsay East River Park;Pier 42;Corlears Hook Park;,,2019-08-30T00:00:00.000,,,,,
RFK East River Suspension Spans Stringer Rehab. Prototype (Proj. RK‐19 Phase IB),RFK East River Suspension Spans Stringer Rehab. Prototype (Proj. RK‐19 Phase IB),,,,2021-04-09T10:21:00.000,,,2021-04-08T17:17:00.000,,,Manhattan,Wards Island Park;,,2022-04-12T00:00:00.000,,,4213500.0,,
EDC Newtown Barge,Repair of an existing sea rail gate,,,,2021-05-03T12:29:00.000,,,2021-04-20T11:35:00.000,,,Brooklyn,Newtown Barge Playground;,,2021-10-29T00:00:00.000,,,,,
Herbicide Spraying at Roy Wilkins - second attempt,"spray approximately 25,000 square feet of Phragmites australis surrounding the pond area, which will contribute to pond restoration efforts.",,,,2021-01-26T11:24:00.000,,,2018-04-23T16:24:00.000,,,Queens,Roy Wilkins Recreation Center;,Merrick Blvd and Baisley Blvd,2018-10-31T00:00:00.000,,,,,
Twin Narrows Shafer Vault Maintenance,"Restoration of damage by unpermitted excavation project by NG to maintain their existing infrastructure. NG scope was to rehab their vault, replace pipe, seals, replace two sensing lines",2017-06-09T00:00:00.000,2018-04-18T00:00:00.000,,2019-11-05T15:27:00.000,,2017-09-01T00:00:00.000,2016-11-23T12:36:00.000,2018-06-13T00:00:00.000,I16-039,Brooklyn,Shore Park and Parkway;,Shore Road & 91st Street,2017-06-09T00:00:00.000,,National Grid,700000.0,,
Track Replacement at Thomas Jefferson Park,"Adidas/Kamp Grizzly is repairaing track at Thomas Jefferson Park, but with a different material than Parks’ spec. M&O and Capital approved. Contractor is offering 5 year warranty.",,,,2019-11-05T15:14:00.000,,,2018-07-10T14:10:00.000,,WSU304MF18,Manhattan,Thomas Jefferson Park;,E 114th St & 1st Ave,2018-08-31T00:00:00.000,,,,,
Jamaica Gateway Park Construction for Atlantic Ave Extension,"J. Anthony Enterprises Inc. will be reconstructing Jamaica Gateway Park to support the NYCEDC NYSDOT Pin# X735.73 Project Atlantic Ave Extension and 94th/95th Ave’s Streetscape Improvements. Immediately prior to construction, test pits and soil borings will be performed to ensure no underground obstructions and no contaminated soil are present.",,2020-03-20T00:00:00.000,"A1- Revised Scope of Work: Construction of Atlantic Ave: soil borings, clearing and grubbing, curbs and sidewalks, asphalt pavement, water main, and storm sewer work
A2- Full Park Permit
A3 - Extension thru 4/1/2020
A4 - Extension thru 6/30/2020",2020-07-21T15:25:00.000,,,2018-03-12T11:08:00.000,,,Queens,Jamaica Gateway Park;,,2019-03-29T00:00:00.000,,,,,
Bridges J31 and J32 Rehabilitation - Aqueduct Road,Tree protections and removals associated with PANYNJ bridge repairs.,,,,2020-08-31T08:47:00.000,,,2019-11-27T13:24:00.000,,,Queens,,Aqueduct Road at the Belt Parkeway,,,,,,
15th Street High Line plumbing modifications,15th Street High Line plumbing modifications,,,,2019-11-05T15:18:00.000,,,2018-04-24T08:44:00.000,,,Manhattan,The High Line;,HighLIne 15th Street / 10th Avenue,2018-10-15T00:00:00.000,,,,,
Fordham Station Capacity Improvements / ADA Ramp,Railroad Station Improvement,,,,2019-11-05T15:20:00.000,,,2016-03-29T18:26:00.000,,,Bronx,Rose Hill Park;,Webster Ave near E. Fordham Road,,,,,,
Basketball Court Refurb at Holcombe Rucker Park,Ace Surfaces will refurbish the basketball court at Holcombe Rucker in advance of Nike's event on August 4.,,,,2019-11-05T15:14:00.000,,,2018-07-19T10:48:00.000,,,Manhattan,Holcombe Rucker Park;,W 155th Street & Fredrick Douglass Blvd,2018-08-03T00:00:00.000,,,,,
Katherine Hepburn Garden - 315 46th Street - Construct a new building installing a construction fence. (Dag Hammarskjold Plaza),Katherine Hepburn Garden - 315 46th Street - Construct a new building installing a construction fence. (Dag Hammarskjold Plaza),,,,2020-08-10T11:18:00.000,,,2020-08-10T11:18:00.000,,,Manhattan,Dag Hammarskjold Plaza;,,2019-03-01T00:00:00.000,,,,,
Con Ed at Joseph Rodman Drake Park,Trenching to facilitate installation of (2) Manholes and conduits in portions of paved and unpaved right-of-way adjacent to Joseph Rodman Drake Park.,,,,2019-11-05T16:01:00.000,,,2018-01-02T11:27:00.000,,,Bronx,Joseph Rodman Drake Park;,,2019-12-31T00:00:00.000,,,,,
PS 84M Sol Bloom Playground MPPA Reconstruction,Reconstruction of the Sol Bloom Playground MPPA,,,,2021-03-04T10:42:00.000,,,2019-03-14T14:10:00.000,,WW408MF21,Manhattan,Sol Bloom Playground;,,2022-03-31T00:00:00.000,,,,,
Install sidewalk shed and plywood fence,Install sidewalk shed and plywood fence,,,,2019-11-05T15:21:00.000,,,2017-11-09T13:41:00.000,,,Brooklyn,Van Voorhees Park;,,2017-10-01T00:00:00.000,,,,,
Install fence and gate - footing should be 1' x 3' deep,Install fence and gate - footing should be 1' x 3' deep,,,,2019-11-05T15:21:00.000,,,2017-11-09T13:41:00.000,,,Manhattan,TRUCE Garden;,,2017-04-01T00:00:00.000,,,,,
"Storm Sewer Extensions in 239 Street: 239th Street between 87th and 88th Avenues; 87th Avenue between 239th Street and Cross-Island Parkway; Cross-Island Parkway between 87th and 90th Avenues; 88th Avenue, 88th Drive, 89th Avenue between 242nd Street and",Storm Sewer Extension,,,,2020-08-31T08:33:00.000,,,2019-09-20T15:11:00.000,,,Queens,,"40.729753, -73.723910",,,,,,
East Side Access,Support infrastructure for the East Side Access project via the Vernon Boulevard Fan Plant in Queensbridge Park,,,,2020-08-27T17:57:00.000,,,2019-08-15T16:51:00.000,,,Queens,Queensbridge Park;,,,,,,,
Rutgers Slip Generator Platform,Installation of an emergency generator platform on Rutgers Slip.,,,,2020-08-31T14:08:00.000,,,2020-08-31T14:08:00.000,,,Manhattan,GREENSTREET;,,,,,,,
Coney Island Creek Fishing Pier Maintenance,Coney Island Creek Pier Underdeck Rehabilitation,,,,2021-03-05T12:13:00.000,,,2021-03-01T16:32:00.000,,,Brooklyn,Kaiser Park;,Bay View Ave and Neptune Ave,2021-06-10T00:00:00.000,,,,,
Installation of Coastal Storm Mechanical Closure Devices (MCD's) at various locations in Manhattan,Installation of Coastal Storm Mechanical Closure Devices (MCD's) at various locations in Manhattan,,,,2019-11-05T17:10:00.000,,,2017-04-21T16:53:00.000,,,Manhattan,The Battery;GREENSTREET;,,2017-12-31T00:00:00.000,,,,,
Pedestrian Ramps in Staten Island,Replacement-in-kind of existing pedestrian ramps.,,,,2021-04-22T16:34:00.000,,,2020-06-10T12:41:00.000,,,Staten Island,Freshkills Park;Blue Heron Park;Clove Lakes Park;,Clove Road and Cheshire Place,2021-07-31T00:00:00.000,,DOT,,,
Canarsie Line Repairs,Track repair on the Canarsie Line by MTA In House Crews,,,,2019-11-05T15:19:00.000,,,2017-05-25T13:47:00.000,,,Brooklyn,Macri Triangle;,Union and Metropolitan,2017-05-29T00:00:00.000,,,,,
"Reconstruction of 33rd Street Between 10th Ave. and 11th Ave., Borough of Manhattan","Reconstruction of 33rd Street Between 10th Ave. and 11th Ave., Borough of Manhattan",,,,2021-01-12T16:44:00.000,,,2017-09-06T16:24:00.000,,,Manhattan,Hudson Park;,33rd Street Between 10th Ave. and 11th aAve.,2018-06-01T00:00:00.000,,,100000.0,,
Greenpoint Landing Building F1,T.G. Nickel applied for a construction permit to install a site fence for Building F1 located at 41 Blue Slip. The fence will be temporarily located on Newtown Barge Park property. A Controlled Access Zone will be established along the F1 and Newtown Barge Park property line extending from Newtown Creek to 20’ past the West border of the existing building F2. There are no existing city-owned trees within the Controlled Access Zone. Fence will be removed after the first TCO in early 2020.,,,,2019-11-05T14:45:00.000,,,2018-01-19T14:37:00.000,,,Brooklyn,Newtown Barge Playground;,"41 Blue Slip, Brooklyn, NY",2018-11-30T00:00:00.000,,,,,2018-03-10T00:00:00.000
"Complex Pedestrian Ramps Adjacent to Historic and/or Landmark Properties, Borough of Staten Island","Complex Pedestrian Ramps Adjacent to Historic and/or Landmark Properties, Borough of Staten Island",,,,2021-01-12T16:51:00.000,,,2017-01-10T10:30:00.000,,,Staten Island,Alice Austen Park;Park;,"Edgewater St. and Hylan Blvd.
Lincoln Ave. and Boundary Ave.",2017-07-14T00:00:00.000,,,5000.0,,
PS 81X Exterior Rehabilitation Project,"Temporary installation of overhead protection, and a safety enclosure within an adjacent forested area to facilitate an exterior rehabilitation project at PS 081X",,,,2020-03-04T08:25:00.000,,,2020-03-04T08:25:00.000,,BX-223,Bronx,Vinmont Veteran Park;,,2021-03-03T00:00:00.000,,,,,
Con Ed New Service Installation,Installation of sidewalk conduit to provide service to a Greenthumb Garden at the operator's request,,,,2019-11-05T15:11:00.000,,,2018-02-02T10:20:00.000,,,Brooklyn,Hattie Carthan Community Garden;,,,,,,,
Concrete Repairs of Queens Approach Substructure at the RFK Bridge Pier-22 Wall Thru Pier-40,Concrete Repairs of Queens Approach Substructure at the RFK Bridge Pier-22 Wall Thru Pier-40,,2020-08-31T00:00:00.000,Permits limited Playground C scope and describes process for allowing additional scope.,2020-08-31T16:14:00.000,,,2020-03-17T15:27:00.000,,,Queens,Astoria Park;Triborough Bridge Playground B;Triborough Bridge Playground C;Triborough Bridge Playground D;Triborough Bridge Playground E;,,2022-03-26T00:00:00.000,,,,,
ROOSEVELT ISLAND TRAM STATIONS PLATFORMS REPAIRS PROJECT,Waterproofing and other repairs on the Manhattan Roosevelt Island Tram Station,,,,2020-03-17T12:16:00.000,,,2017-06-29T12:29:00.000,,,Manhattan,Tramway Plaza;,,2018-02-28T00:00:00.000,,,,,
Renovation of Greenstreet BZ502,Renovation of Greenstreet BZ502,,,,2019-11-05T15:57:00.000,,,2019-06-21T12:12:00.000,,,Brooklyn,GREENSTREET;,"Ave R & E 5th St, Brooklyn",2019-08-30T00:00:00.000,,,,,
Component Rehabilitation of 10 Bridges,"Component Rehabilitation of 10 Bridges including Grand Concourse over 174, some Cross Island Parkway sites, and Knapp St over Belt Pkwy. Oddly, includes a few tree plantings",,,,2020-09-04T17:07:00.000,,,2020-08-03T16:30:00.000,,,Bronx;#Brooklyn;#Queens;#Staten Island;#Manhattan,Cross Island Parkway;Belt Parkway/Shore Parkway;,,2021-08-31T00:00:00.000,,KS Engineering,,,
Safety Improvements on Rockaway Boulevard,"This project will upgrade traffic signals, repair damaged sidewalks, install American with Disabilities Act (ADA) curb ramps, provide high visibility crosswalks, pedestrian signals with countdown timers, repair/replace damaged guide rails and end sections, resurface roadway and repair concrete pavement within the project length of 2.50 miles on Rockaway Boulevard between Farmers Boulevard and 3rd Street in Queens County, New York City. The project will also provide a north-south crosswalk and pedestrian signals with timer at Farmers Boulevard intersection; install a new traffic signal at the intersection of Guy R Brewer Boulevard and 149th Road; extend the left turn bay on eastbound Rockaway Boulevard at Brookville Boulevard intersection and provide speed feedback signs on eastbound and westbound Rockaway Boulevard between Guy R Brewer Boulevard and Brookville Boulevard intersection as part of the project.",,,,2020-10-19T14:34:00.000,,,2020-03-23T13:49:00.000,,,Queens,,,,,NYSDOT,,,
Beach 108th Streetscape Improvements,"Beach 108th Streetscape Improvements, reconstruction of Beach 108th Street between Beach Channel Dive and Shore Front Parkway.",,,,2020-10-06T10:15:00.000,,,2018-03-06T14:02:00.000,,,Queens,Rockaway Beach Boardwalk;Greenstreet;,,2022-06-30T00:00:00.000,,,,2018-02-26T00:00:00.000,
Protective Coating of 8 Bridges in Queens,"NYCDOT Project #HB107008Q - The work noted under this permit request is paint removal and repainting of the overpass at Northern Blvd. over the Cross Island Parkway in Queens, NY.  The areas being requested in this permit will be used as staging areas (mobilization) for the work at the overpass. Additional work areas in FMCP by Roosevelt Ave and Little Bay Parking Lot.",2018-05-31T00:00:00.000,2018-06-04T00:00:00.000,,2020-07-31T17:16:00.000,,2018-10-25T00:00:00.000,2017-06-09T15:32:00.000,,QP17-215,Queens,Cross Island Parkway;Little Bay Park;Flushing Meadows Corona Park;Grand Central Parkway Extension;,Cross Island Parkway at Northern Blvd,2017-09-30T00:00:00.000,,,,,
"Schenck Avenue Reconstruction, Schenck Avenue from Liberty Avenue to Pitkin Avenue and from Stanley Avenue to Cozine Avenue","The reconstruction of three blocks of Schenck Ave from Liberty Ave to Pitkin Ave and from Stanley Ave to Wortman Ave, and the resurfacing of one block of Schenck Ave from Wortman Ave to Cozine Ave. This project includes the installation of new sidewalks and curbs, roadway pavement including new drainage structres with new sreet lighting and traffic signals.",,,,2020-12-21T12:16:00.000,,,2017-11-23T16:51:00.000,,,Brooklyn,Clara's Garden;Herbal Garden;,Schenck Avenue and Glenmore Avenue,,,,,2017-11-03T00:00:00.000,
Right-of-Way Green Infrastructure Westchester Creek CSO Tributary Area - Outfall HP-014,Streetside bioswale construction in the HP-014 combined sewer overflow sewershed,,,,2020-02-24T13:03:00.000,,,2020-02-21T10:47:00.000,,30949,Bronx,Haffen Park;Magenta Playground;,,2021-02-26T00:00:00.000,,,,,
Todt Hill Road Improvements Phase 1,DOT-sponsored scope will improve the intersection of Todt Hill Road and Circle Road.   DEP-sponsored scope will install storm sewer in Todt Hill Road and discharge into BMP NC-4 at the end of Whitlock Avenue.,,,,2020-12-28T12:18:00.000,,,2020-12-28T12:18:00.000,,,Staten Island,,Todt Hill Road and Circle Road,,,,,,
Waterfront Public Access at Schaefer Landing/420 Kent Avenue,"ZDG is the contractor performing the work for the new waterfront esplanade at 416-420 Kent Avenue. A permit is required to perform work on the current waterfront access located on Schaefer Landing that connects to the new Waterfront Public Access Area. The current access walkway is 6’ short of the adjoining property line of the site at 420 Kent Avenue. ZDG will connect the public access area to the end point of the walkway at Schaeffer Landing. They will also remove the barrier fence to eliminate safety concerns, install a curb to indicate the property line of each parcel and landscape enhancements on Parks property.",,,,2019-11-05T14:43:00.000,,,2018-03-26T14:56:00.000,,,Brooklyn,Schaefer Landing;,420 Kent Avenue,2018-08-03T00:00:00.000,,,,,
Nike Tanahey Playground Refurb,Nike Tanahey Playground Refurb,,2019-11-14T00:00:00.000,,2020-08-11T12:21:00.000,,,2019-09-02T13:03:00.000,,WSU23MF19,Manhattan,Tanahey Playground;,"Cherry Street and Market Street, Manhattan",2019-11-08T00:00:00.000,,,,,
USTA cable run by Verizon along Shea Road from GCP exits to Boat Basin place,USTA telecome cable run by Verizon along Shea Road from the GCP exit to Boat Basin place,,,,2021-02-10T14:35:00.000,,,2021-02-10T11:35:00.000,,,Queens,Flushing Meadows Corona Park;,Shea Road from GCP exit to Boat Basin Place,,,,,,
2.1 Miles of Asphalt Concrete Rehabilitation on Interstate 278 in New York City – Richmond County,Roadway resurfacing,2021-11-30T00:00:00.000,,,2020-06-11T15:51:00.000,,,2020-06-11T15:50:00.000,,,Staten Island,,,,,NYSDOT,6608139.1,,2020-06-25T00:00:00.000
"Replacement of Combined Sewer, Bulkheading of Existing Sewers, and Water Main Work in Park Place",Sewer and Water Main,,,,2020-12-30T09:50:00.000,,,2017-11-06T11:34:00.000,,,Brooklyn,,Vanderbilt Ave at Park Place,,,,,,
Electrical Upgrades at the RFK Facility,Electrical Upgrades at the RFK Facility,,2021-04-23T00:00:00.000,Cable demolition scope above new operations compound,2021-04-23T16:56:00.000,,,2020-08-18T16:38:00.000,,,Manhattan,Randall's Island Park;,Bronx Shore Road,2020-12-31T00:00:00.000,,,,,
Borings and Test Pits in Squibb Park,Borings and Test Pits in Squibb Park,,,,2019-11-05T15:29:00.000,,,2018-11-28T14:06:00.000,,I18-050,Brooklyn,Squibb Park;,Columbia Heights & Middagh St,2019-01-31T00:00:00.000,,,,,
The Mitigation and Restoration of Sgt. William Dougherty Park,"Design-Bid-Build contract to completely reconstruct Sgt Dougherty Park following, and associated with, its occupation for the Kosciuzsko Bridge reconstruction (separate entry). Extensive design coordination with Parks over many years.",2018-12-18T00:00:00.000,,,2021-02-25T15:19:00.000,,2018-12-14T00:00:00.000,2016-09-29T17:33:00.000,,I17-018; 22406,Brooklyn,Sgt. William Dougherty Playground;,Cherry St and Vendervoort Ave,2019-02-01T00:00:00.000,,NYSDOT,12189068.0,2017-02-15T00:00:00.000,2017-02-15T00:00:00.000
Safety Improvements on Jackie Robinson Parkway,"Guardrails, striping, retaining wall work along entire parkway corridor.",,,,2019-11-05T15:29:00.000,,2016-05-16T00:00:00.000,2016-09-12T11:22:00.000,,,Queens,Jackie Robinson Parkway;,Metropolitan Avenue & Jackie Robinson Parkway,,,,,,
Asser Levy Park Seawall/Flood Gate and Playground Reconstruction (ESCR),"Partial playground demolition and reconstruction to facilitate the construction
of a flood wall and flood gate",,,,2020-11-17T18:03:00.000,,,2020-11-17T18:03:00.000,,,Manhattan,Asser Levy Playground;,,2022-03-31T00:00:00.000,,,,,
