school_name,admissionspriority34,common_audition7,bus,grade9swdfilledflag5,requirement2_4,borough,program5,requirement4_6,grade9gefilledflag1,website,offer_rate1_7,requirement4_1,grade9swdapplicantsperseat6,admissionspriority35,code8,grade9swdapplicants7,admissionspriority17,diplomaendorsements,common_audition8,interest1,offer_rate1_4,eligibility5,requirement2_9,code2,requirement4_7,boys,seats105,requirement5_7,grade9swdapplicants8,specialized,offer_rate2_3,school_sports,offer_rate2_5,auditioninformation1,seats106,admissionspriority19,grade9swdfilledflag3,seats9swd2,grade9geapplicantsperseat7,requirement4_2,shared_space,requirement7_2,requirement3_9,academicopportunities5,code10,grade9gefilledflag8,program4,pbat,grade9geapplicantsperseat4,requirement1_5,admissionspriority32,subway,interest6,seats9swd6,interest10,prgdesc8,program1,grade9gefilledflag2,grade9geapplicantsperseat10,eligibility2,requirement8_5,requirement6_3,admissionspriority210,seats9ge8,borocode,building_code,grade9geapplicantsperseat2,grade9swdapplicants2,pct_stu_safe,admissionspriority38,eligibility9,prgdesc3,admissionspriority29,prgdesc1,program10,admissionspriority26,requirement6_9,advancedplacement_courses
Richard R. Green High School of Teaching,,,"BM1, BM2, BM3, BM4, BxM18, M15, M15-SBS, M20, M55, M9, QM11, QM25, QM7, QM8, X1, X10, X10B, X11, X12, X14, X15, X17, X17A, X19, X2, X27, X28, X3, X37, X38, X4, X42, X5, X7, X8, X9",,,MANHATTAN,,,N,https://www.schools.nyc.gov/schools/M580,,,,,,,,,,Teaching,,,,M23B,,,,,,,,,,,,,,17.0,,,Yes,,,"Code Nation partnership (coding classes); AP Computer Science; Art certification program; iLearnNYC: Program for expanded online coursework and self-paced learning; AP English, AP Art History, AP Biology, AP Environmental and AP Spanish;",,,,,,,,"1 to South Ferry; 2, 3 to Wall St; 4, 5 to Bowling Green; A, C to Fulton St; J, Z to Broad St; R, W to Rector St",,,,,Teaching Academy,N,,,,,,,M,M282,1.0,21.0,0.88,,,,,Participation in a teaching program includes elective courses and field experiences supporting careers in education. Internship is an offsite field experience where students leave the building to work directly with elementary and middle school children and teachers. A new program with SUNY Buffalo will provide a college education course onsite for college credit.,,,,"AP Art History, AP Biology, AP Computer Science Principles, AP English Language and Composition, AP Environmental Science, AP Spanish Language and Culture, AP U.S. Government and Politics"
Eagle Academy for Young Men III,,,"Q111, Q113, Q114, Q4, Q42, Q5, Q84, Q85, X63",,,QUEENS,,,Y,https://www.schools.nyc.gov/schools/Q327,,,,,,,,,,Humanities & Interdisciplinary,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eagle Academy for Young Men Iii,,,,,,,,Q,Q633,,,0.67,,,,,,,,,"AP Biology, AP English Language and Composition, AP English Literature and Composition, AP Human Geography, AP United States History"
Academy of Medical Technology: A College Board School,,,"Q22, QM17",,,QUEENS,,,Y,https://www.schools.nyc.gov/schools/Q309,,"Standardized Test Scores: English Language Arts, Math",,,,,,,,Health Professions,,,,Q11B,,,,,,,,"Basketball, Football, Swimming",,,,,,3.0,,"Standardized Test Scores: English Language Arts, Math",Yes,,,,,,,,,,,A to Beach 25th St,,,,,Academy of Medical Technology,Y,,,,,,,Q,Q465,11.0,37.0,0.84,,,,,"Our program offers students a broad cross-section of academic and experiential programs that help students transition into college, the professional world, and beyond. All of our student leave our schools college and career ready.",,,,"AP Biology, AP Environmental Science, AP Spanish Language and Culture"
Eagle Academy for Young Men II,,,"B12, B20, B25, B45, B47, B60, B65, B7, Q24",,,BROOKLYN,,,Y,https://www.schools.nyc.gov/schools/K644,,,,,,,,,,Humanities & Interdisciplinary,,,,,,1.0,,,,,,,,,,,,,,,Yes,,,,,,,,,,,"C to Rockaway Ave; J, Z to Chauncey S",,,,,Eagle Academy for Young Men II,,,,,,,,K,K271,,,0.88,,,,,,,,,"AP Calculus AB, AP English Language and Composition, AP English Literature and Composition, AP Music Theory, AP United States History"
High School of World Cultures,,,"Bx11, Bx27, Bx36, Bx4, Bx4A, BxM6, Q44-SBS",,,BRONX,,,N,https://www.schools.nyc.gov/schools/X550,,,,,,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,6 to Elder Ave,,,,,High School of World Cultures,,,,,,,,X,X420,,,0.87,,,,,"We offer a range of ELL programs, including Dual Language English-Spanish program as well as a traditional free standing English as a New Language program. CTE in Culinary Arts is focused on hands on instruction and demonstrations for the training and skill development involved with the culinary arts. Students are selected through survey and demonstration of intent to complete the required credits.",,,,"AP Calculus AB, AP Environmental Science, AP Spanish Language and Culture, AP Spanish Literature and Culture, AP United States History"
Epic High School - South,,,"Q10, Q37, Q7, Q9, QM18",,,QUEENS,,,Y,epicschoolsnyc.org,,,,,,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,"Baseball/Softball, Basketball, Cheerleading",,,,,,,,,Yes,,,"Advance Placement (AP) courses for 9-12 grade including; AP Art, AP World History, AP Statistics, AP Environmental Science, AP Language, AP Human Geography, AP Psychology",,,,,,,,,,,,,Epic High School - South,,,,,,,,Q,Q226,,,0.87,,,,,"We offer a comprehensive academic program that includes specialized classes in Mathematics, Science, and Humanities.",,,,"AP Drawing, AP English Language and Composition, AP Environmental Science, AP Human Geography, AP Psychology, AP Statistics, AP World History: Modern"
Eagle Academy for Young Men,,,"Bx15, Bx17, Bx36, Bx40, Bx41, Bx41-SBS, Bx42",,,BRONX,,,Y,eaglebronx.org,,,,,,,,,,Humanities & Interdisciplinary,,,,,,1.0,,,,,,,,,,,,,,,,,,CBI: We partner with the College Bound Initiative to support scholars with a college advisor and to provide access to college courses and advisories.,,,,,,,,,,,,,The Eagle Academy for Young Men,,,,,,,,X,X465,,,0.75,,,,,"Our program offers all Regents courses, higher-level math and science courses, computer science courses, and AP courses. All students have access to CUNY College Now courses, extra curricular activities and internships. We partner with The Eagle Academy Foundation to support our academic and extracurricular programs. New students to Eagle are expected to attend orientation courses in the summer.",,,,"AP Calculus AB, AP English Literature and Composition, AP United States History, AP World History: Modern"
Careers in Sports High School,,,"Bx1, Bx13, Bx15, Bx19, Bx2, Bx21, Bx32, Bx41, Bx41-SBS, Bx6, Bx6-SBS, BxM4",,,BRONX,,,Y,https://www.schools.nyc.gov/schools/X548,,,,,,,,,,Business,,,,,,,,,,,,,,,,,,,,,Yes,,,"No Kidding: Straight Talk, Healthy Relationships, NY Urban League",,,,,,,,"2, 4, 5 to 149th St-Grand Concourse; B, D to Yankee Stadium-161st St",,,,,Careers in Sports High School,,,,,,,,X,X790,,,0.83,,,,,,,,,"AP English Language and Composition, AP English Literature and Composition, AP U.S. Government and Politics, AP United States History"
Talent Unlimited High School,,,"BxM1, BxM10, BxM11, BxM3, BxM4, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M15, M15-SBS, M2, M3, M31, M4, M57, M66, M72, M98, Q101, Q32, Q60, QM2, QM20, QM3",Y,Course Grades: Average (72-100),MANHATTAN,Instrumental Music,,Y,tuhs.nyc,,Audition - Go to https://www.myschools.nyc/en/help/high-school/audition-dates/ for information and dates,,,,,,Math,,Performing Arts,,,,M42K,,,Yes,,,,,,,"Come prepared to (1) sing a memorized song from a Broadway musical; AND (2) present a memorized one-minute monologue from a published play or musical. Applicants must bring the sheet music in the key in which they will sing, hole-punched and must sing with the provided accompanist. Applicants may also be asked to repeat vocal phrases in order to demonstrate rhythm, tonal memory and basic vocal technique and/or replicate a dance combination. Ability to take direction will be strongly considered.",,,Y,6.0,,Audition - Go to https://www.myschools.nyc/en/help/high-school/audition-dates/ for information and dates,Yes,,,"Work-Based Learning Internships: American Folk Art Museum, Ballet Hisapnico, Bloomberg Arts, Dancewave, DCTV, Exploring the Arts, Kaufman Studios, Martha Graham, Master Voices, Mint Theater, Park Avenue Armory, Rioult, Paul Taylor, PS226, TADA!, Young Dancemakers Company, Young Voices",,,Drama,,12.0,Attendance,,"4, 5, N, R, W to 59th St-Lexington Ave; 6 to 68th St-Hunter College; Q to 72nd St; F to Lexington Ave",,,,,Musical Theater,Y,,,,,,,M,M480,10.0,34.0,0.79,,,"A four-year rigorous curriculum prepares students for college and career. Students take daily ballet, modern, improvisation, dance composition, pointe, and repertory. Dancers perform on the main stage all four years. Students study dance history, anatomy, injury prevention, body conditioning and yoga, and workshops with professional companies, including Martha Graham in 11th and 12th grades. Students complete internships with cultural organizations and graduate with an arts-endorsed diploma.",,"A four-year rigorous curriculum prepares students for college and career. Students take acting, vocal, and musical theater dance classes with specific focus on tuning their physical instruments in preparation for full productions as upperclassmen. Students study musical theatre history, ensemble-building, improvisation, and acting through song. In addition, the senior year includes specialized units in college audition readiness, industry exposure, and theater as a business.",,,,"AP Calculus AB, AP Computer Science Principles, AP English Literature and Composition, AP Music Theory, AP United States History"
Knowledge and Power Preparatory Academy International High School (KAPPA),,,"Bx1, Bx12, Bx12-SBS, Bx15, Bx17, Bx19, Bx2, Bx22, Bx28, Bx34, Bx38, Bx41, Bx41-SBS, Bx9, BxM4",,,BRONX,,,Y,kappainternational.org,,,,,,,,,,Humanities & Interdisciplinary,,,,Y32B,,,,,,,,,,,,,,11.0,,,Yes,,,Doctors of Tomorrow Program: includes partnerships with NYU and Mentoring in Medicine,,,,,,,,"B, D to Fordham Rd",,,,,Knowledge and Power Preparatory Academy International High School,Y,,,,,,,X,X435,27.0,186.0,0.9,,,,,"All scholars have the opportunity to take IB-level courses in all subjects. To earn an IB Diploma, scholars complete 150 hours of community service and a 4,000-word research paper in addition to taking IB exams. All courses are enhanced by an Experiential Learning focus which provides a real-world application of classroom learning. Additionally, performing and visual arts courses are available for both beginners and experienced artists and performers.",,,,AP Computer Science Principles
NYC iSchool,,,"BxM18, M1, M20, M21, M55, X1, X10, X10B, X12, X17, X27, X28, X7, X9",,,MANHATTAN,,,Y,nycischool.org,,"Standardized Test Scores: English Language Arts (3.1-4.5), Math (3.1-4.5)",,,,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,Soccer,,,,,,,,,Yes,,,Advisory_students have an advisor who follows them all four years and is responsible for tracking their progress and providing supports as needed.,,,,,,,,"1, 6, N, Q, J, Z to Canal St; B, D, F, M to Broadway-Lafayette St; C, E to Spring St; R, W to Prince St",,,,,NYC iSchool,,,,,,,,M,M615,,,0.97,,,,,Priority given to students who are eligible for Free or Reduced Price Lunch (based on family income) for up to 60% of seats.,,,,"AP Calculus AB, AP English Language and Composition, AP Environmental Science, AP World History: Modern"
International High School at Prospect Heights,,,"B41, B43, B44-SBS, B45, B48, B49",,,BROOKLYN,,,N,https://www.schools.nyc.gov/schools/K524,,,,,,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,"Badminton, Baseball, Basketball, Cricket, Cross Country, Indoor Track, Outdoor Track, , Soccer, Softball, Swimming, Volleyball",,,,,,,,,Yes,,,"Afterschool programs include: Peer Tutoring, Art Club, Writing Center, The Moth, Music Club, Chorus, Photography, New Media Club, Dream Team.",,,,1.0,,,,"2, 3, 4, 5 to Franklin Ave; S to Botanic Garden",,,,,International High School at Prospect Heights,,,,,,,,K,K440,,,0.85,,,,,,,,,
Bronx Design and Construction Academy,,,"Bx1, Bx13, Bx15, Bx17, Bx19, Bx2, Bx21, Bx32, Bx4, Bx41, Bx41-SBS, Bx4A, Bx6, Bx6-SBS, BxM4",,,BRONX,,,N,www.bxdesign.org,,Punctuality,,,,,,,,Engineering,,,,Y51B,,,,,,,,,,,,,,7.0,,School Visit,Yes,,,,,,,,,,,"2, 5 to 3rd Ave-149th St; 4 to 149th St-Grand Concourse",,,,,Building Construction and Technology,N,,,,,,,X,X600,2.0,51.0,0.72,,,,,"Students will experience all trades: Electrical Engineering, Carpentry Technology, Plumbing Technology, and Heating, Ventilation and Air Conditioning Technology as a rotation before choosing their desired field of study. Students will obtain OSHA certification prior to beginning college-level CTE coursework in their second year. Internships begin as early as the 10th grade. Students will also have access to NCCER certification upon completion of a building trade curriculum.",,,,"AP English Literature and Composition, AP Environmental Science, AP United States History"
Eleanor Roosevelt High School,,,"BxM1, M101, M102, M103, M15, M15-SBS, M31, M66, M72, M79-SBS, M86-SBS, M98, Q102",,,MANHATTAN,,,Y,www.erhsnyc.org,,,,,,,,"Math, Science",,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 to 77th St; Q to 72nd St,,,,,Eleanor Roosevelt High School,,,,,,,,M,M855,,,0.97,,,,,We offer students a comprehensive liberal arts curriculum across all disciplines. Students are given the opportunity to pursue higher level courses across the humanities and STEM fields.,,,,"AP Art History, AP Biology, AP Calculus AB, AP Calculus BC, AP Chemistry, AP Comparative Government and Politics, AP Computer Science Principles, AP English Language and Composition, AP English Literature and Composition, AP Macroeconomics, AP Music Theory, AP Physics C: Mechanics, AP Spanish Literature and Culture, AP Statistics, AP United States History, AP World History: Modern"
Bard High School Early College Queens,,,"B62, Q100, Q101, Q102, Q32, Q39, Q60, Q66, Q67, Q69, X63, X64, X68",,,QUEENS,,,Y,bard.edu/earlycollege,,,,,,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,,,,,,Yes,,,Students completing 60 college credits will receive the Bard College AA degree and may transfer these credits to colleges and universities.,,,,,,,,"7 to 33rd St-Rawson St; E, M, R to Queens Plaza; G to Court Square; N, W to Queensboro Plaza",,,,,Bard High School Early College Queens,,,,,,,,Q,Q735,,,0.97,,,,,Inquiry and critical thinking promoted across all subject areas. Priority given to students who are eligible for Free or Reduced Price Lunch (based on family income) for up to 63% of seats.,,,,
Liberation Diploma Plus,,,"B36, B64, B68, B74, B82, X28, X38",,,BROOKLYN,,,N/A - transfer school,https://www.schools.nyc.gov/schools/K728,,,,,,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,Basketball,,,,,,,,,,,,,,,,,,,,"D, F, N, Q to Stillwell Ave",,,,,Liberation Diploma Plus High School,,,,,,,,K,K728,,,0.86,,,,,,,,,
Dreamyard Preparatory School,,,"Bx1, Bx11, Bx15, Bx18, Bx2, Bx32, Bx35, Bx41, Bx41-SBS, BxM4",,,BRONX,,,Y,www.dyprep.org,,,,,,,,,,Performing Arts/Visual Art & Design,,,,,,,,,,,,,,,,,,,,,Yes,,,Honors courses in ELA,,,,,,,,"4 to Mt Eden Ave; B, D to 170th St",,,,,DreamYard Preparatory School,,,,,,,,X,X410,,,0.84,,,,,"Students will take arts classes each year of high school. In 9th and 10th Grades, students take an Arts Elective Class each semester in Choral Music, Dance, Theater, or Visual Arts. In 11th and 12th grades, students choose a major in one of these areas. Each semester, students are expected to participate in an arts exhibition or performance. Students with a strong interest in the arts can participate in summer intensives in their area of choice.",,,,"AP English Language and Composition, AP English Literature and Composition, AP Psychology, AP Spanish Language and Culture"
Unity Center for Urban Technologies,,,"BM1, BM2, BM3, BM4, BM5, BxM1, BxM10, BxM11, BxM18, BxM2, BxM3, BxM4, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M15, M15-SBS, M2, M3, M34-SBS, M34A-SBS, M4, M42, M5, M55, M7, M9, Q32, QM1, QM10, QM12, QM15, QM16, QM17, QM18, QM2, QM20, QM21, QM24, QM3, QM31, QM32, QM34, QM35, QM36, QM4, QM40, QM42, QM44, QM5, QM6, X1, X10, X10B, X12, X14, X17, X17J, X2, X21, X22, X22A, X27, X28, X30, X31, X37, X38, X42, X5, X63, X64, X68, X7, X9",,,MANHATTAN,,,N,https://www.schools.nyc.gov/schools/M500,,,,,,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,"4, 5, 7, S to Grand Central-42nd St; 6 to 33rd St; B, D, F, M, N, Q, R, W to 34th St",,,,,Unity Center for Urban Technologies,,,,,,,,M,M620,,,0.89,,,,,,,,,"AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP Statistics, AP United States History"
High School of Economics and Finance,,,"BM1, BM2, BM3, BM4, BxM18, M103, M15, M15-SBS, M20, M22, M55, M9, QM11, QM25, QM7, QM8, X1, X10, X10B, X11, X12, X14, X15, X17, X17A, X19, X2, X27, X28, X3, X37, X38, X4, X42, X5, X7, X8, X9",,,MANHATTAN,,,Y,ecoandfin.org,,Honors/Accelerated Coursework,,,,,,,,Business,,,,,,,,,,,,"Girls: Basketball, Bowling, Flag Football, Outdoor Track, Softball and Tennis/ Boys: Basketball, Bowling, Cross Country, Handball and Outdoor Track",,,,,,,,,,,,"CTE program(s): Academy of Finance, Entrepreneurship/Virtual Enterprise",,,,,,,,"1 to Rector St; 2, 3, A, C, J, Z to Fulton St; 4, 5 to Wall St; 6 to Brooklyn Bridge-City Hall; E to World Trade Center; R, W to Cortlandt St",,,,,Economics and Finance,,,,,,,,M,M833,,,0.86,,,,,"College Preparatory coursework and in-depth coursework in Business, Computer Science, Entrepreneurship, Economics and Finance, AP and/or college credit bearing courses in all subject areas, curriculum partnerships with major leading financial firms; financial industry professionals providing seminars and internships; after-school extracurricular opportunities available. Nearly 100% of our graduates attend college.",,,,"AP Biology, AP Calculus AB, AP English Language and Composition, AP English Literature and Composition, AP European History, AP Spanish Language and Culture, AP Statistics, AP United States History"
High School of American Studies at Lehman College,,,"Bx1, Bx10, Bx2, Bx22, Bx26, Bx28, Bx3, Bx32, Bx34, Bx38, BxM3, BxM4",,,BRONX,,,,hsas-lehman.org,,,,,,,,"Math, Science",,Humanities & Interdisciplinary,,,,,,,,,,1.0,,,,,,,,,,,,,,"Logic, Combinatorics, Number Theory, Diagnosing Disease, Psychobiology, Nutrition, Environmental Ethics, the Biosphere, Anatomy",,,,,,,,"4 to Bedford Park Blvd-Lehman College; B, D to Bedford Park Blvd",,,,,High School of American Studies at Lehman College,,,,,,,,X,X905,,,0.99,,,,,Admission to this Specialized High School is based solely on the score obtained on the Specialized High Schools Admission Test (SHSAT). Students should speak to their school counselors in the Fall to register for the SHSAT.,,,,"AP Calculus AB, AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP Spanish Language and Culture, AP United States History, AP World History: Modern"
"Science Skills Center High School for Science, Technology and the Creative Arts",,,"B103, B25, B26, B38, B41, B45, B52, B54, B57, B61, B62, B65, B67, B69",N,Punctuality,BROOKLYN,Early College Pharmacology,"Standardized Test Scores: English Language Arts (1.8-4.5), Math (1.6-4.5)",N,https://scienceskillscenterhs.org/,,"Standardized Test Scores: English Language Arts, Math",17,,,,,,,Science & Math,,,,K78B,,,No,,,,,Cheerleading,,,No,,N,12.0,,"Standardized Test Scores: English Language Arts (1.9-4.5), Math (1.7-4.5)",Yes,,,CTE program(s): Pre-Engineering/Project Lead the Way,,,Humanities and the Arts,,5.0,Attendance,,"2, 3, 4, 5 to Borough Hall; A, C to High St; B, Q to DeKalb Ave; F to York St; R to Jay St-MetroTech",Computer Science & Technology,6,,,Science Skills Center,N,,,,,,,K,K805,3.0,22.0,0.74,,,Challenging courses in the field of engineering.,,Focuses on using hands-on and research techniques. All students are required to take four years of mathematics (eight credits) and four years of Science (eight credits).,,,,"AP Biology, AP Computer Science A, AP Computer Science Principles, AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP French Language and Culture, AP Human Geography, AP Music Theory, AP Psychology, AP Seminar, AP United States History"
New Dorp High School,,,"S51, S57, S74, S76, S78, S79-SBS, S81, S86, X1, X2, X3, X4, X5, X7, X8, X9",Y,Punctuality,STATEN IS,Academy of Communication and Media Arts,"Standardized Test Scores: English Language Arts, Math",N,www.newdorphs.org,100% of offers went to this group,"Standardized Test Scores: English Language Arts, Math",9,,R20T,74,Priority to Staten Island students or residents,"Math, Science",,Teaching,100% of offers went to this group,,,R20C,,,No,,147,,,,,,No,Guaranteed offer to students who live in the zoned area,Y,13.0,11,"Standardized Test Scores: English Language Arts, Math",Yes,,,,R20Y,Y,Institute of Health Sciences,,11.0,Attendance,,,Performing Arts/Visual Art & Design,13,,"This program provides students with rigorous coursework, internships, and experiences to prepare them for college. Students will learn to process a crime scene, analyze evidence, examine the criminal justice system, and apply principles of criminal psychology. Courses will expose students to skills needed to begin forensic science related careers, but will also provide a breadth of knowledge with wide-ranging applications in many college and career pathways.",The Academy of Education and Leadership,Y,,,,Zoned,,56,R,R435,9.0,104.0,0.8,,,"A challenging program that exposes students to two strands: the Virtual Enterprise (VE) program, a NYS-Approved CTE sequence, a global business simulation that offers students a competitive edge through project-based, collaborative learning and the development of 21st century skills in entrepreneurship, global business, communication, and personal finance; and the Software Engineering Pilot (SEP) Program, which exposes students to topics such as computer science, gaming, and web design.",Then to New York City residents,"Students will experience a broad range of career options such as teaching, school counseling, paraprofessional services, special education, speech pathology and other educational career options. Instruction includes: Classroom management strategies, early intervention services, lesson planning, the use of technology and more. Students are enrolled in college-accredited courses through St John's University. Internships in junior and senior years. Community service, trips, and college visits.",New Dorp High School ASD Horizon Program,Then to New York City residents,,"AP Biology, AP Calculus AB, AP Comparative Government and Politics, AP Computer Science A, AP Computer Science Principles, AP Drawing, AP English Literature and Composition, AP Psychology, AP Statistics, AP United States History, AP World History: Modern"
Academy for Excellence in Leadership,,,"B13, B20, B26, B38, B52, B54, B60, M Shuttle Bus, Q55, Q58",,,BROOKLYN,,,N,www.aelnyc.org,,,,,,,,,,Environmental Science,,,,,,,,,,,,"Baseball/Softball, Basketball, Soccer, Swimming",,,,,,,,,Yes,,,Students can earn up to 18 college credits through Advanced Placement AND up to 12 college credits via College Now classes - a full year of credits.,,,,,,,,"L, M to Myrtle-Wyckoff Avs",,,,,Academy for Excellence in Leadership,,,,,,,,K,K480,,,0.86,,,,,,,,,"AP Drawing, AP English Language and Composition, AP English Literature and Composition, AP U.S. Government and Politics, AP United States History"
The Eagle Academy for Young Men of Staten Island,,,"S51, S52, S74, S76, S78, S84, S86",,,STATEN IS,,,N,https://eaglestatenisland.org/,,,,,,,,,,Humanities & Interdisciplinary,,,,,,1.0,,,,,,"Basketball, Football, Soccer",,,,,,,,,Yes,,,Advanced Placement courses will be offered as the school expands,,,,,,,,SIR to Clifton,,,,,The Eagle Academy for Young Men of Staten Island,,,,,,,,R,R049,,,0.82,,,,,A humanities-based approach to excellence in all subject areas.,,,,
Brooklyn Studio Secondary School,,,"B1, B4, B6, B64, B8, B82",,,BROOKLYN,,,N,mybrooklynstudio.com,,"Standardized Test Scores: English Language Arts, Math",,,,,,,,Performing Arts,,,,K90J,,,,,,,,,,,,,,6.0,,"Standardized Test Scores: English Language Arts, Math",Yes,,,CTE program(s): Commercial Art,,,,,,,Then to Brooklyn students or residents,D to 20th Ave,,,,,Instrumental Music,Y,,,,,,,K,K721,18.0,161.0,0.83,,,,,"Small group instruction on band instruments. Participation in concert bands. Electives in Music Theory, Music History, Sight-Singing. Preparation for outside performances. Evaluations of solo and ensemble work.",,,,"AP Computer Science Principles, AP English Language and Composition, AP English Literature and Composition, AP United States History"
Jacqueline Kennedy Onassis High School,,,"BM1, BM2, BM3, BM4, BM5, BxM10, BxM11, BxM18, BxM2, BxM3, BxM4, BxM6, BxM7, BxM8, BxM9, M1, M104, M11, M2, M20, M3, M34A-SBS, M4, M42, M5, M50, M55, M7, Q32, QM1, QM10, QM12, QM15, QM16, QM17, QM18, QM2, QM20, QM21, QM24, QM3, QM4, QM5, QM6, X1, X10, X10B, X12, X14, X17, X17J, X2, X21, X22, X22A, X27, X28, X30, X31, X37, X38, X42, X5, X63, X64, X68, X7, X9",,,MANHATTAN,,,N,https://www.schools.nyc.gov/schools/M529,,Standardized Test Scores: Math,,,,,,,,Business,,,,,,,,,,,,Boys Basketball and Table Tennis-Ping Pong,,,,,,,,,,,,Dance:  This program ranges for students from beginner to expert level.,,,,,,,,"1, 2, 3, 7, A, C, E, Q, S to Times Square-42nd St; 4, 5, 6 to Grand Central; B, D, F, M to 47-50th Sts Rockefeller Center; N, R, W to 49th St",,,,,"Int'l Marketing, Computer Applications, Foreign Trade & Virtual Enterprise",,,,,,,,M,M486,,,0.86,,,,,"Virtual Enterprise (VE) is a New York State approved program recognized for excellence. Students are empowered to create and sustain businesses which work nationally and internationally. Students collaborate in teams to brand their businesses; they engage in citywide and statewide Business Plan Competitions. Team members work closely with Business Partners as well to hone their skills. This program is predicated on the use and/or development of strong reading, writing and speaking skills.",,,,"AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP Spanish Language and Culture, AP United States History"
The Academy of Urban Planning and Engineering,,,"B13, B20, B26, B38, B52, B54, B60, M Shuttle Bus, Q55, Q58",,,BROOKLYN,,,Y,www.aupenyc.org,,,,,,,,,,Engineering,,,,,,,,,,,,Boys Handball,,,,,,,,,Yes,,,African Drumming,,,,,,,,"L, M to Myrtle-Wyckoff Aves",,,,,Urban Planning and Engineering,,,,,,,,K,K480,,,0.89,,,,,"Incoming ninth graders are exposed to Algebra, ELA, and Leadership courses during the Summer Bridge Program and sit for the Regents exams early. All ninth graders complete their Living Environment and Algebra exams in their first year and are enrolled in our Principles of Engineering course. In addition, all ninth graders learn African Drumming and exposed to AVID strategies through ninth grade advisory in order to be college and career ready.",,,,"AP English Language and Composition, AP English Literature and Composition, AP Spanish Language and Culture, AP Spanish Literature and Culture, AP United States History"
N.Y.C. Museum School,,,"M11, M12, M14A, M14D, M20, M23-SBS, M55, M7, X1, X10, X10B, X12, X17, X27, X28",,,MANHATTAN,,,N,www.nycmuseumschool.org,,"Standardized Test Scores: English Language Arts (3.1-4.5), Math (3.3-4.5)",,,,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,"Basketball, Football, Track/Cross Country",,,,,,,,,Yes,,,,,,,,,,,"1 to 18th St; A, C, E, L to 14th St",,,,,NYC Museum School,,,,,,,,M,M070,,,0.89,,,,,"Our regular curriculum aligns with the standards and expectations for all students to graduate with a New York State Advanced Regents Diploma, in addition to the possibility of earning college credit through AP classes. As a part of this curriculum, students participate in twelve week-long museum module projects throughout 9th, 10th, and 11th grades. Students are expected to take and pass all Regents and AP exams for the courses in which they are enrolled.",,,,"AP Biology, AP Calculus AB, AP Environmental Science, AP European History, AP Statistics, AP United States History"
Mott Hall High School,,,"Bx19, Bx33, M1, M10, M100, M101, M102, M104, M11, M2, M3, M4, M5, M7",,,MANHATTAN,,,N,motthallhs.org,,,,,,,,,,Science & Math,,,,,,,,,,,,,,,,,,,,,Yes,,,Urban Scholars,,,,,,,,"1 to 137th St-City College; B, C to 135th St",,,,,Mott Hall High School,,,,,,,,M,M136,,,0.86,,,,,,,,,"AP Chemistry, AP English Language and Composition"
Bronx River High School,,,"Bx21, Bx24, Bx31, Bx4, Bx40, Bx42, Bx4A, Bx8",,,BRONX,,,Y,bronxriverhighschool.org,,,,,,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,,,,,,Yes,,,Instructional Focus is Literacy across the curriculum using the Hochman Writing Method in all content areas.,,,,,,,,6 to Westchester Square-East Tremont Ave,,,,,Bronx River High School,,,,,,,,X,X405,,,0.87,,,,,,,,,"AP Computer Science Principles, AP United States History"
Humanities Preparatory Academy,,,"M11, M12, M14A, M14D, M20, M23-SBS, M55, M7, X1, X10, X10B, X12, X17",,,MANHATTAN,,,Y,humanitiesprep.org,,Demonstrated Interest: School Visit,,,,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,,,,,,Yes,,,Students complete Performance-Based Assessment Tasks (PBATs) as a replacement for Regents Exams,,,,1.0,,,,"1 to 18th St; A, C, E, L to 14th St",,,,,Humanities Preparatory Academy,,,,,,,,M,M440,,,0.93,,,,,"Develop intellectual and civic leadership through self-discovery and challenge, with an emphasis on writing, science and math, public speaking, the arts, technology, and community action.",,,,"AP Computer Science Principles, AP Environmental Science, AP United States History"
