account_number,vendor_formal_name,id6_digit_naics_code,name_of_client_job_exp_1,description_of_work_job_exp_2,signatory_to_union_contracts,date_of_establishment,description_of_work_job_exp_1,description_of_work_job_exp_3,largest_value_of_contract,zip,certification,naics_subsector,naics_title,name_of_client_job_exp_2,bbl,aggregate_bonding_limit,census_tract_2020_,business_description,percent_self_performed_job_exp_3
10210,"Access to Opportunity Consulting, LLC",541611,,,,2017-08-15T00:00:00.000,,,,11372,"MBE,WBE","Management, Scientific, and Technical Consulting Services",Administrative Management and General Management Consulting Services,,4012630001.0,,287.0,"Are you a high IQ executive who wants to lean into your EQ to become a better leader?  Access to Opportunity Consulting offers executive coaching, career coaching, and leadership development workshops and training to executives in STEM and analytical organizations, individuals in organizations, and STEM students.",
10628,Areas Trans Inc,485310,MTA,Taking customers to and from locations.,,2013-09-13T00:00:00.000,Taking customers to and from locations.,Taking customers to and from locations.,8376332.0,10307,WBE,Taxi and Limousine Service,Taxi and Ridesharing Services,A.C.T.,5080210049.0,,248.0,Executive car service to transport customers and packages throughout the Metropolitan area.,100.0
10026,1Star-Networks LLC,561621,St. Nicks Alliance,Installed conduits and cabling on each floor.,,2010-01-21T00:00:00.000,Installed CCTV cameras and network access points on each floor.,,67576.0,11236,MBE,Investigation and Security Services,Security Systems Services (except Locksmiths),St. Nicks Alliance,3081790092.0,,964.0,"Troy Dwain Binns installs, services and maintains security systems, CCTV systems and alarms.",
368194,AF ELECTRIC CORP.,238990,Impact Learning Center,"Troubleshooted a faulty 3phase 30 Amp Breaker
Replaced 3 phase 30 Amp Breaker 
Electrician reset 3ph",,2020-03-09T00:00:00.000,"Front Door Camera wiring and motion sensor installation
Main Office Camera wiring and installation
S","Installation of 40Amp Stove Line
Installation of Hallway Smart Switch
Installation of Smart Switch f",2250.0,11520,MBE,Other Specialty Trade Contractors,All Other Specialty Trade Contractors,Laney's Laundry,,,,"AF Electric Corp is a small electric company, that specializes in the service, repair and maintenance of residential and commercial properties.",100.0
376696,"365 Spotless NYC, LLC",561720,Lewis Dermatology & Associates,Cleaning a service bathroom for staff members,,2017-12-08T00:00:00.000,Daily Cleaning & Disinfecting of facility,,53000.0,11435,"MBE,WBE",Services to Buildings and Dwellings,Janitorial Services,Ryder Ever Better,4119470262.0,,196.0,"We are a small team of cleaning enthusiasts providing Janitorial Services in New York City and all surrounding areas. Our services include but are not limited to: 
- Government Facilites
- School 
- Commercial & residential cleaning
- Medical Offices Cleaning -
- Green Cleaning
- Antimicrobial Spraying
- Data Center Cleaning
- Crime scenes clean up
- Boat & Yach detailing/Cleaning
- Carpet & Upholstery
- Laundry Service
-Building Maintenance & Trash Removal",
10368,Alan C. David Inc.,722310,D & D Daycare Center,"Prepare meals, deliver & cater sites.",,1997-09-07T00:00:00.000,"Prepare meals, deliver & cater sites.","Prepare meals, deliver & cater sites.",72000.0,11096,MBE,Special Food Services,Food Service Contractors,Sunshine Nursery & Daycare Center,,,1483.0,"Institutional caterer, food preparation and delivery.
Prepare meals, deliver & cater sites.",100.0
308861,"ALR Diversified Supply Chain Management, LLC",335139,,,,2006-04-26T00:00:00.000,,,,14225,WBE,Electric Lighting Equipment Manufacturing,Electric Lamp Bulb and Other Lighting Equipment Manufacturing,,,,,"Some of our services include:

· Administrative sector:  Complete background checks
· Sub-assemblies or Complete Products  
· Cable and Harness Assembly 
· Tube Bending and Termination 
· Potting and Encapsulation
· Custom Assembly and Testing   
· Panel Assembly
· Soldering (Certified – NASA, Military, J-Standard)  
· Cable and Harness Assembly    
· Precision Wire Cutting & Etching, Stripping, and Twisting 
· Crimping (Certified – NASA, Military, Industry Standards) 
· Solenoid and Precision Coil Winding
· Pressurized Pneumatic and Hydraulic Assemblies  
· Turnkey Design, Development and Prototyping
· Design & Build Assembly Tools, Fixtures & Testing Equipment",
363698,Advance Telecom Services Inc,237130,Excel Communications,installed and splice fiber,,,place and splice fiber cables,place and spliced fiber,28650000.0,11518,MBE,Utility System Construction,Power and Communication Line and Related Structures Construction,WIFI SPECIALIST LLC,,,,"My name is Angus. I am a seasoned business professional with over ten years of experience in 
management, telecommunications, and fiber optics

With my passion for innovation and a keen eye for detail I have successfully led and managed 
various projects in the telecommunications and fiber optics industries and made lasting 
relationships which led me to earn a reputation as a reliable business manager and access to more 
job opportunities within the industry.",100.0
2648,American Maintenance 3 Janitorial Services and Supplies Co. Corp.,561720,Carver Federal Savings Bank,Building cleaning,,2004-12-03T00:00:00.000,Daily porter services.,Clinic Cleaning,298095.0,10472,MBE,Services to Buildings and Dwellings,Janitorial Services,City Harvest,2037800035.0,50000.0,64.0,"Residential and Commercial cleaning, office cleaning, strip and Wax, Carpet shampooing, pre and post construction cleaning, trailer cleaning, window up to 6 ft washing internal and external, sidewalk cleaning and snow removal of sidewalks",100.0
329726,"Aiello Leasing Co., Inc.",238290,Stillwell Materials,,,2018-05-14T00:00:00.000,Leased equipment.,,103000.0,11219,WBE,Building Equipment Contractors,Other Building Equipment Contractors,,3057160069.0,,214.0,"Aiello Leasing rents and leases mechanic equipment, tools and utility vehicles.",
10118,"A Partnership, Inc.",541810,California Tobacco Control & Prevention,"Advertising, Event Marketing, Direct Marketing, Digital",,1999-12-07T00:00:00.000,Advertising production media planning,"Marketing, Planning, Advertising Services",2000000.0,10016,MBE,"Advertising, Public Relations, and Related Services",Advertising Agencies,C D C,1008610003.0,,74.0,A full service multicultural advertising agency with a focus on the Asian American Market.,100.0
389285,"Apter & O'Connor Associates, Inc",541618,New York State Commission for the Blind,Apter & O'Connor is conducting an evaluation to assess the program fidelity and measure the impact o,,2009-01-12T00:00:00.000,"Apter & O'Connor conducted 5 studies using both quantitative and qualitative methods, including stat","A&O will serve as the evaluation consultant for the City's First Readers Initiative (CFR), working w",141500.0,13104,WBE,"Management, Scientific, and Technical Consulting Services",Other Management Consulting Services,United Way,,,,"Apter & O’Connor Associates specializes in program evaluation, data management, analysis and visualization, strategic planning, and organizational capacity building. Our firm’s mission is to lend professional expertise and real-world experience to policy makers and practitioners to allow them to measure and improve the implementation and effectiveness of their programs. We serve nonprofit organizations, school districts, local and state governments, universities, and foundations. 

A&O is skilled in providing:
·         Independent evaluation and research
·         Comprehensive needs assessments for organizations and community-wide initiatives
·         Strategic planning
·         Background research and literature reviews
·         Program design and management systems for new initiatives as well as existing programs in need of modifications or enhancements
·         Data collection and analysis
·         Performance management systems and cultures.",100.0
330019,Aberdeen Mechanical LLC,561210,No contracts,,,2020-09-28T00:00:00.000,No current or past contracts,,0.0,11234,MBE,Facilities Support Services,Facilities Support Services,,3077720070.0,,728.0,"Aberdeen Mechanical LLC is a service-disabled veteran owned small business established in September of 2020 providing equipment for sewer and drain cleaning services, various commodities as well as equipment rental, leasing & sales to a wide customer base facilitating operational efficiency.",
4855,Advance Security and Intercoms Inc.,238210,USACE,Installation of new Siedle Video Intercom system.,,2008-02-08T00:00:00.000,"Installation of new siedle video intercom system, peep hole & shades.","Installation of new Hanwah CCTV system with 88 cameras, Brivo Access Control system, 2N Intercom sys",765881.0,10704,MBE,Building Equipment Contractors,Electrical Contractors and Other Wiring Installation Contractors,Veritas Management,,,,"Security Systems, Intercom Systems, Access Control, CCTV Systems.",100.0
369312,4U Transit LLC,485991,MAS,,,2021-12-21T00:00:00.000,Provided transportation services.,,50000.0,11545,WBE,Other Transit and Ground Passenger Transportation,Special Needs Transportation,,,,,"4U Transit is a wheelchair accessible transportation provider that offers NEMT (non-emergency medical transportation) and non NEMT rides. The company is committed to delivering safe, reliable, and high-quality transportation solutions to individuals with mobility challenges, medical tourism clients, and those requiring specialized transport. 4U Transit's services are designed to provide comfort, convenience, and dignity to our passengers while ensuring compliance with ADA standards and industry best practices.",
10496,American Commercial Equipment Repair Corp.,238220,Beth Israel,Servicing HVAC Equipment,,2005-05-30T00:00:00.000,"Repair & Maintain cooking equipment, cleaning, diamond plating, tiling and exhaust hoods.",Servicing and Maintaining Kitchen Equipment Incl. Exhaust Cleaning,343269.0,11206,MBE,Building Equipment Contractors,"Plumbing, Heating, and Air-Conditioning Contractors",Kingsbrook Hospital,3030550006.0,,49302.0,"Repair, install and maintain commercial kitchen equipment (cooking, refrigeration, exhaust) including HVAC equipment. We also repair and install commercial tiling, walls, diamond plate, grease traps and piping.",100.0
10159,AABGM Inc,518210,Magilla Entertainment,#NAME?,,2012-06-13T00:00:00.000,- Migrated on-prem infrastructure to Microsoft Office 365 and Azure.,"Provided Office 365 Licenses and implemented SharePoint, One Drive, and Team Collaboration Tools (wi",100000.0,11361,"MBE,WBE","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Magilla Entertainment,4062450035.0,,1113.0,"AABGM Inc – AABGM is a leading IT solutions provider focused on digital transformation, cybersecurity, data center migration, Virtualization, Risk Assessment, GAP analysis, Vulnerability, and Penetration testing, Endpoint Security, Application Security, Incident response, Business continuity plan, disaster recovery, Microsoft and EC-Council Cybersecurity training and certification, application/web development, project management, Data Analytics, Business Intelligence. CISO/HP/IBM,  server, desktop, laptops storage, SAN, NAS. CISO, Check Point, Pal Alto Solution on Endpoint Protection, Detection & Response, Orchestration & Automation, Case Management, Managed Detection & Response, Network Traffic Analysis, Threat Intel Management, Managed Threat Hunting, Cloud Security Orchestration. Microsoft office 365, Sharepoint, Onedrive, collaboration solution.Mobile devices management, Single sign-on, identity management solution, including Microsoft and OKTA. VMware, Citrix, CRM, ERP IOT, EHR solution.",100.0
10504,Americare Appliance Repair LLC,238220,NYC Fire Department,,,2010-04-28T00:00:00.000,Repaired and maintained commercial stoves.,,200000.0,10037,MBE,Building Equipment Contractors,"Plumbing, Heating, and Air-Conditioning Contractors",,1020100030.0,,230.0,"Americare Appliance repairs, maintains and installs HVACs and commercial and residential appliances.",
330960,A.P. Cohen Consulting,238910,Rome to Brooklyn LLC,#NAME?,,2019-12-20T00:00:00.000,#NAME?,#NAME?,18000.0,11209,"MBE,WBE",Other Specialty Trade Contractors,Site Preparation Contractors,"V Global Holdings, INC",3060927503.0,,152.0,"A.P. Cohen Consulting is a full scale project and business solutions specializing in construction project management of construction sites, OSHA safety, real estate and business development, and structural design. Our unique combination of vision and executional excellence are readily transferable across industries, verticals, and sectors that guarantee to meet your client's deliverables on time and on budget.",100.0
358311,Agape Luxury Corporation,485310,"Medical Answering Services, LLC",Agape Transportation provides Non-Emergency Medical Transportation for their clients to and from the,,2012-04-17T00:00:00.000,We are a non- emergency medical transportation company who provides taxi and limousine services to p,Agape Transportation provides Non-Emergency Medical Transportation for their clients to and from the,40.0,10467,MBE,Taxi and Limousine Service,Taxi and Ridesharing Services,Fidelis Care Transportation Service,2033560175.0,,43102.0,"Agape is a preferred provider with the New York Department of Health partners, NEMT brokers like MAS and Logisticare, whose patients and clients are eligible and request transportation once prior authorization has been received. Medicaid and Medicare, among many other insurers, cover medical transportation on behalf of the recipient. At Agape, we strive to provide responsible, on-time, professional service to all passengers throughout Manhattan, The Bronx, Queens, Brooklyn, Staten Island, Westchester, and Long Island. Wheelchair Accessible Vehicles (WAV) are available",12.0
102315,Altair Enterprises Corp.,238990,CDS Mestel,HVAC upgrades,,2009-08-17T00:00:00.000,HVAC System upgrades,HVAC retrofit,248553.0,11105,MBE,Other Specialty Trade Contractors,All Other Specialty Trade Contractors,Valmar Electric,4008020102.0,,12301.0,HVAC; heating; ventilation; air condition; thermal; air quality; installation; operation; maintenance.,100.0
2328,Approved General Contracting Inc.,238110,MTRA LIRR,"Probe work, cmu, fireproofing, and structural stabilization",,2005-05-19T00:00:00.000,"Emergency hatch replacement at four locations; including demo, lead removal, concrete, hatchways rep","Site work, sidewalks, asphalt, catch basin, piping across the road, manhole, curbs, electrical work",2914019.0,11501,MBE,"Foundation, Structure, and Building Exterior Contractors",Poured Concrete Foundation and Structure Contractors,NYC DDC,,5000000.0,,"Concrete, foundations, footings, slabs, excavation, masonry-restoration, asphalt, exterior and interior general contracting",35.0
378635,Amah Foods,722320,general atlantic,private dinner catering,,2024-01-01T00:00:00.000,weekly catering,,4000.0,11231,"MBE,WBE",Special Food Services,Caterers,george walker,3005520017.0,,5302.0,"AMAH FOODS is a New York based fresh weekly meal delivery and catering service for people on the go who appreciate unique flavors, prioritize whole foods, and seek a blend of well-being and indulgence without compromise. Drawing on the Korean tradition of dosirak—a lovingly prepared lunch box, founder and chef Amy Yi infuses her California roots, global travels, and seasonal ingredients into plant-rich individually portioned boxes that change weekly along with a standing menu of ‘Extras’ that are staples for the fridge or pantry. AMAH FOODS is a New York based LLC. 
   
Our mission is to deliver an elevated food experience that leaves our customers feeling nourished, fulfilled, and joyful. Through our commitment to meticulous culinary preparation, seasonal ingredients, diverse flavors, and minimal waste, we aim to create a positive impact on both our customers and community, fostering a culture of creativity, respect, and pride among our employees while delivering exceptional value to our patrons.",
328379,ArkadaPlus Corp,327420,GRJ Construction Corp.,Restoration and replication of existing plaster ornaments,,2017-04-18T00:00:00.000,Manufactured and installed custom moldings and plaster ornaments,,82639.0,11230,WBE,Lime and Gypsum Product Manufacturing,Gypsum Product Manufacturing,Brooklyn Urban Retail Partners Inc,3054220002.0,,480.0,"Arkada specializes in creating the highest quality interior and exterior ornamentations. We have expert craftsmen in classical, victorian, baroque, greco roman, neo classical, and other period styles that combine well with today’s minimal aesthetic from just a touch of embellishment to the full experience. We use only the finest materials and gesso that are durable and environmentally friendly in our crown moldings, columns, friezes, embellishments, and other plaster moldings.",
10555,Anil K Agrawal LLC,541330,WSP,Preparing engineers for FE Exam,,2010-05-19T00:00:00.000,"Monitoring, remaining life calculation",Training for Fundamentals of Engineering exam,123220.0,7920,MBE,"Architectural, Engineering, and Related Services",Engineering Services,NYCDEP,,,,"Structural and Bridge Engineering Services, including expert consultations.",100.0
10654,Art2Live Interior Architecture and Design,238140,"AECOM USA, Inc",,Ironworker Local 361,2010-12-13T00:00:00.000,Upgraded the gymnasium.,,196800.0,11379,"MBE,WBE","Foundation, Structure, and Building Exterior Contractors",Masonry Contractors,,4029777501.0,,679.0,Art2Live Interior Architecture and Design does interior and exterior restoration of residential and commercial buildings.,
3153,AFL General Construction Inc.,236220,East Williston UFSD,Replaced all exterior windows with Kawneer windows. Removed the carpet and installed new carpet. Ren,,2009-01-12T00:00:00.000,"Renovated the classrooms. Installed new flooring, walls, ceiling, doors and hardware, Did a full gut",,1013000.0,11735,WBE,Nonresidential Building Construction,Commercial and Institutional Building Construction,Jericho Public Library,,8000000.0,,"AFL General Construction is a general contractor which specializes in additions, renovations and restorations of public and private buildings.",
327925,ANGELES Y MAS LLC,624190,Heidi Manotas,,,,7 week 1 on 1 Grief Recovery Assistance - Program Assistance once a week for 7 weeks,,700.0,11235,"MBE,WBE",Individual and Family Services,Other Individual and Family Services,,3087107501.0,,61004.0,"Our mission is to help individuals who are suffering and grieving after a significant personal loss, such as death of a loved one, divorce or loss of a job.  We offer assistance to clients develop strategies to cope with their losses.

We assist the bereaved to understand the complexity of their  emotions and help them to reduce the distress due to current grief.  The primary goal is to assist towards healing a broken heart.

Services are offered 1 on 1 sessions as well as group sessions (virtually or in person).",
328426,A UNITED CITY CONTRACTING INC.,236116,"Royal Charter Properties, Inc.","provide floor tiles in the bathroom, reglazed tub, painting, removal of exhaust vent cover and, and",,1996-08-09T00:00:00.000,Roofing Recovery,,70525.0,10502,"MBE,WBE",Residential Building Construction,New Multifamily Housing Construction (except For-Sale Builders),Royal Charter Properties,,,,Provide general construction services,
10450,"Alpha International Travel, Inc.",561510,Frederick Haynes,Reserved an airline ticket for the client.,,2003-07-06T00:00:00.000,Reserved an airline ticket for the client.,Reserved an airline ticket for the client.,998.2,10019,MBE,Travel Arrangement and Reservation Services,Travel Agencies,Darynne Messer,1010220043.0,,131.0,"Alpha International Travel provides national and international travel services. The company arranges airline tickets, ground transportation and lodging accommodations.",100.0
666,Architectural Sign Group Inc.,339999,Skanska- Moynihan Ph 2,Sign fabrication and installation.,"Metal Polishers  8A, Metal Polishers  28A",2001-03-23T00:00:00.000,(347) 498 4489,Fabrication & Installation of Signage,1903912.71,11003,MBE,Other Miscellaneous Manufacturing,All Other Miscellaneous Manufacturing,3rd Track - Various LIRR Stations,,5000000.0,,"Architectural Sign Group Inc., and its staff have been fabricating, managing and installing custom way finding architectural signage projects in the tri-state area for over 15 years. Our staff is well versed in implementing a signage program from the pre-bid process to the final punch list. Our fabrication, project management and installation capabilities are tailored to the individual needs
and necessities of your specific architectural way finding signage program. We offer services to architects, engineers, developers, contractors and government agencies. Our team is providing for construction, city agencies, hospitals, buildings, institutional way finding, schools, offices, and transportation. Architectural Sign Group Inc. is certified by NYS, NYC, DASNY, PANYNJ, SCA, and
MTA.",90.0
389768,3As Renovation LLC,562910,Tanya,,,2023-12-28T00:00:00.000,"Performed a full interior renovation, focusing on enhancing the apartment’s aesthetics, functionalit",,12000.0,11738,MBE,Remediation and Other Waste Management Services,Remediation Services,,,,,"A’s Renovation is a licensed and insured home improvement company (HI-71042) serving New York City with high-quality renovation and remodeling services. With over 20 years of experience, we specialize in kitchens, bathrooms, basements, carpentry, windows, doors, siding, painting, spackling, framing, and finished carpentry. We are EPA Lead-Safe Certified and in the process of obtaining a Mold Remediation Contractor License, ensuring homes are safe from lead hazards and harmful mold conditions. Our goal is to create beautiful, functional, and healthier living spaces for our clients. Contact 3A’s Renovation today at 516-654-4042",
10138,A C Security Management,561621,NYC DHS,Add/upgrade panic-intrusion security system. Provided and installed additional panic buttons Wired a,,2003-05-16T00:00:00.000,"Replace security DVR's, repair bad wire connections, replace monitors, program system and instructio","Install 16 camera CCTV systems in Elizabeth NJ, rewire 12 camera CCTV systems at Benjamin Moore Plan",50000.0,10303,MBE,Investigation and Security Services,Security Systems Services (except Locksmiths),NYC DOHMH,,,,"Installation of security systems. CCTV systems, intrusion systems and card access systems.",100.0
100796,Access Therapies Inc.,541990,Core Access Therapies,Physical Therapist Staffing Services,,2004-04-23T00:00:00.000,Physical Therapy Staffing Services,Temporary Nursing Staff,500000.0,46278,MBE,"Other Professional, Scientific, and Technical Services","All Other Professional, Scientific, and Technical Services",Rosebud Hospital,,,,"Our Minority owned and certified company was founded in October 2004 with a primary focus on fulfilling staffing needs to various types of facilities and rehab centers. 
We have received a response of satisfaction from our clients all across the nation. Our team of professionals has motivated us as a company to grow faster to better accommodate. Access Therapies consists of more than 200 therapist and Nurses. 
Along with Private Healthcare Facilities (Hospitals, SNFs, Outpatient, Home Care and Correctional Facilities) Access Therapies is also fulfilling staffing needs for State Government and Federal Government Facilities
In order to fulfill staffing requirements all across the nation, Access Therapies primarily focuses on these types of assignments:
• Travel assignments
• Permanent placement
• Temporary to Permanent
At Access Therapies, our management & staffing department is comprised of highly qualified, experienced individuals who must meet stringent guidelines for licensed practice nationwide. Our staffing team primarily focuses on the placement of the disciplines:  
• Physical Therapist
• Occupational Therapist
• Physical Therapist Assistant
• Occupational Therapist Assistant
• Speech  Language Pathologist
• Registered Nurse
• Nurse Practitioner
• Licensed Practical Nurse",100.0
369755,AE CM Services,236210,Calgi Construction,Construction management,,2015-08-06T00:00:00.000,Construction mangement,Construction mangement,163000.0,11105,MBE,Nonresidential Building Construction,Industrial Building Construction,The McCloud Group,4008930030.0,,105.0,"Construction management services, Construction management, Project management, Estimating value engineering, Budget estimates.",25.0
10265,"Adolescent, Inc.",541430,VOA,Motion graphic and content production,,2003-09-29T00:00:00.000,Branding / Creative & Design Direction  / Production / Brand Content / Video /Digital / Social Media,"Sesame Street has been helping kids grow smarter, stronger, and kinder all around the world since 19",300000.0,10005,MBE,Specialized Design Services,Graphic Design Services,Bandujo Advertising,1000267501.0,,7.0,"We are a multi-disciplined design studio based in New York City. Our services include: Creative & design direction, directing, animation (2D & 3D), branding, motion graphics, editing, graphic design and production. Broadcast, digital, DOOH.",100.0
10569,Antarctic Creative LLC,541511,New York Hall of Science,Worked with the museum team to completely redesign their information architecture into a simple and,,2013-01-01T00:00:00.000,Oversaw the complete redesign of the company's website that made NYSCI's exhibits accessible online.,"Developed a full new brand identity, including renaming, messaging architecture and visual identity.",200000.0,10014,MBE,Computer Systems Design and Related Services,Custom Computer Programming Services,Leslie-Lohman Museum of Art,1005927501.0,,71.0,"Antarctic is more than just a digital agency; it's a team of visionary problem-solvers dedicated to making a positive impact on the world. With a razor-sharp focus on designing and building comprehensive, thoughtful websites, Antarctic partners with non-profits, cultural institutions, and cause-focused organizations to create persuasive online experiences that drive meaningful action. Powered by a creative backbone that's second to none, the team at Antarctic also excels at crafting marketing and outreach campaigns that captivate audiences and leave a lasting impression. 


Notable clients include The New York Hall of Science, God’s Love We Deliver, Food Bank for NYC, and Ronald McDonald House Charities.",100.0
357046,Ability & Beyond Fitness LLC,812990,Josephine Narcisse,,,2020-08-07T00:00:00.000,Provided in-home fitness activities,,80.0,11580,"MBE,WBE",Other Personal Services,All Other Personal Services,,,,,"Ability & Beyond Fitness is a forward-thinking LLC consulting business that addresses disparities that adults with developmental disabilities face. As an expert group of committed occupational and physical therapists, our aim is always to provide a safe and reliable service in the realm of health and fitness. In a unique social and inclusive environment, we provide an individualized fitness plan to specifically address physical fitness concerns among adults 25 and older with developmental disabilities.",
2159,A to Z Mail Room and Shipping,423990,Department of Health & Mental Hygiene,had custom bottle boxes made,,1998-04-01T00:00:00.000,Had custom envelopes made and delivered,Had Evidence cones made and custom printed,16300.0,7010,WBE,Miscellaneous Durable Goods Merchant Wholesalers,Other Miscellaneous Durable Goods Merchant Wholesalers,DEP,,,,"A to Z Mail Room and Shipping distributes tape, bubble wrap, bags, bows, ribbons, shopping bags, gift bags, wrapping paper, price markers and custom printed labels. The company specializes in custom printing especially business cards, envelopes and letterheads. A to Z customizes boxes, tissue paper, ribbon, liquor boxes, padded bags and scale labels.",100.0
325042,AAA'S Electrical Contracting Corporation,236220,SCA,Did electrical work.,,2015-04-09T00:00:00.000,Remove existing cameras and install new cameras,Did electrical work.,612000.0,10016,"MBE,WBE",Nonresidential Building Construction,Commercial and Institutional Building Construction,Checkmate Communications,1008600055.0,,74.0,"AAA's Electrical Contracting Corp performs all aspects of low, high voltage electrical work. The company provides electrical needs such as new installation, altering and repairing electrical wiring, lighting, conduit and public address systems.  AAA's Electrical Contracting bids on electrical work and electrical contracts and performs other functions ancillary to an electrical contracting business.",100.0
10506,Ameritech Systems Corp.,541990,VIP Community Services,"Design, procurement and installatoionof Video, Access Control, Intercoms,Fire Alarms, and Intrusion",,2004-09-29T00:00:00.000,"Video, Access Control and Intrusion Detection systems",Fire Alarm System,250000.0,11354,MBE,"Other Professional, Scientific, and Technical Services","All Other Professional, Scientific, and Technical Services",Yellowstone,4043610027.0,,907.0,"Electronic systems integrator of access control, CCTV, fire alarms, biometrics, digital signage, IP intercoms, phone systems - analog & VOIP, data/video storage, SOHO solutions, Remote Control & Automation, Cloud services, cable infractructure, video analytics, central station monitoring.",100.0
324737,"ADIC Engineers, LLC",541330,Fran Chung/Hae J. Chung,"Mechanical (HVAC), electrical, and plumbing system design",,2009-10-30T00:00:00.000,"Mechanical (HVAC), electrical, sprinkler, plumbing and fire alarm system design services",Mechanical (HVAC) system to accommodate pressure spike in the Data Center when fire protection pre-a,15000.0,7675,MBE,"Architectural, Engineering, and Related Services",Engineering Services,ijKim architect,,,,"Our business is a consulting engineering firm focused on primarily HVAC (Mechanical), Plumbing, Sprinkler, and Fire Alarm System design of all types of commercial, residential, government buildings, and construction administrations as well as space/building renovations.  We also perform life cycle cost analysis, energy modelings (E-Quest or Trane Trace 700), code analysis, building department filings and services.",100.0
103126,AMC Dental,621210,NYC Department of Health and Mental Hygiene,,,2013-02-28T00:00:00.000,Conducted site visits at various schools.,,9999.0,11004,WBE,Offices of Dentists,Offices of Dentists,,4084440008.0,,155103.0,AMC Dental does dental consulting.,
303811,Ai-Alt Structural Engineering PLLC,541330,"Gasbarro Structural Engineering, PLLC",Steel (Tekla) modeling and connection engineering.,,2018-09-28T00:00:00.000,Structural sub-consulting for the Fordham University New Building Addition (Phase 1) and Arcade (Pha,Design of Support of Excavations (SOE) for Fordham University New Building Addition (Phase 1) and Ar,175650.0,11747,MBE,"Architectural, Engineering, and Related Services",Engineering Services,Fordham University,,,,"AI-Alt is a NYC based structural engineering and design consultancy firm providing a wide range of services including: structural and construction engineering, facade consulting, flood mitigation, resiliency design and waterfront structure design.",100.0
10201,"AC Power, LLC",221114,Robert T Winzinger Inc.,"Managed development of a 7MW solar facility on a former landfill in Egg Harbor Township, NJ",,2016-11-01T00:00:00.000,"Managed development of 7MW solar facility on a former landfill in Delanco, NJ",Provided consulting services on various proposed solar facilities located in New Jersey,250000.0,10010,WBE,"Electric Power Generation, Transmission and Distribution",Solar Electric Power Generation,Robert T. Winzinger Inc,1008230055.0,,58.0,"AC Power develops solar energy projects providing the full suite of services from site assessment to permitting to design, construction and operation.",100.0
10087,8 Path Solutions LLC,541990,"Del V.I., LLC",Reviewed and provided feedback on the domains. Reviewed the course mapping. Reviewed self evaluation,,2011-06-10T00:00:00.000,Provided statistical analysis.,Reviewed and provided feedback on the domains. Reviewed the course mapping. Reviewed self evaluation,5600.0,10036,"MBE,WBE","Other Professional, Scientific, and Technical Services","All Other Professional, Scientific, and Technical Services",LinkedIn Corporation,1010890001.0,,117.0,"8 Path Solutions LLC offers innovative strategic, technical, and data science solutions through customized business services.",100.0
1341,"Affordable Office Services, Inc.",449110,tirion,"delivery, staging, installation",,2001-09-14T00:00:00.000,"delivery, staging, installation assembly, move relocation",sale of office furniture and cubicles,121000.0,10454,MBE,Furniture and Home Furnishings Retailers,Furniture Retailers,altice,2025910037.0,,1902.0,"We are a professional furniture company with over 20 years excellent history. We can assist you with space planning, wood restoration, reupholstering, painting, storage long/short term, work stations (cubicles) installation and sale. We are equipped with a full professional staff.",100.0
100452,"Academy Marking Products, Inc.",339940,NY State Courts Administration,to purchase various marking devices,,2007-12-24T00:00:00.000,Court Seals; Self inking stamps & daters; Printed Stationary for Judges; Signage,Manufacture self inking date stamps,36692.0,11040,WBE,Other Miscellaneous Manufacturing,Office Supplies (except Paper) Manufacturing,Kings County District Attorney,,,,"Manufacturer of Marking Devices; Rubber stamps, self inking stamps,
date stamps, inspection stamps, professional stamps, embossing seals, signage, printing, business cards, envelopes, advertising specialties",100.0
3199,"Admiral Courier Services, Inc.",492110,Emergency Skill,Delivered food.,,2005-05-01T00:00:00.000,Delivered packages.,,120000.0,10018,MBE,Couriers and Express Delivery Services,Couriers and Express Delivery Services,Sweetgreen,1007880004.0,1500000.0,113.0,Admiral Courier is a same day delivery service.,
10416,"All Renovation Construction, LLC",238350,Bruno Frustaci Contracting Inc.,"Framing, thermal, fire-stopping, acoustical sealants, sheetrock, finished carpentry and cabinetry.",,2007-10-09T00:00:00.000,"Framing, thermal, fire-stopping, acoustical sealants, sheetrock, finished carpentry and cabinetry.","Framing, thermal, fire-stopping, acoustical sealants, sheetrock, finished carpentry and cabinetry.",6400000.0,10030,MBE,Building Finishing Contractors,Finish Carpentry Contractors,Cheever Development Corp.,1020230036.0,1749829.0,228.0,"All Renovations Construction LLC is a General Contractor that provides quality carpentry labor for Commercial, Institutional and Residential projects in New York. With the use of the most up-to-date installation techniques and materials. All Renovations offers the following services: Acoustical Ceilings, Framing, Drywalls, taping, insulation, cabinetry, trim, doors, hardware Accessories, Black Iron & Lath, Light & Heavy Gauge Structural framing, Shaft Wall Assemblies, Fire Stopping.",20.0
