fax_number,location,seats103,common_audition5,method4,grade9gefilledflag5,requirement8_2,program8,total_students,method3,eligibility8,common_audition3,requirement5_1,offer_rate1_6,ell_programs,grade9geapplicants8,requirement2_3,latitude,requirement7_1,requirement5_3,requirement3_3,grade9geapplicants3,earlycollege,admissionspriority42,method5,auditioninformation7,grade9geapplicants5,seats9ge10,applicants4specialized,grade9swdapplicants1,:@computed_region_yeji_bk3q,method1,offer_rate1_5,seats3specialized,grade9gefilledflag6,prgdesc9,language_classes,applicants3specialized,grade9geapplicantsperseat6,addtl_info1,requirement3_2,requirement2_2,requirement4_4,:@computed_region_92fq_4b7q,interest2,psal_sports_coed,auditioninformation5,grade9swdapplicantsperseat1,graduation_rate,seats1specialized,neighborhood,requirement2_1,school_accessibility,appperseat4specialized,seats9ge6,offer_rate3_3,seats9swd10,offer_rate3_1,method2,interest7,requirement4_3,grade9geapplicants7,grade9geapplicants2,seats102,grade9swdfilledflag4,requirement4_8,admissionspriority25,census_tract,requirement1_1,admissionspriority16,grade9geapplicantsperseat5,prgdesc5,prgdesc7,requirement1_7,requirement5_2,requirement8_1,requirement6_4,academicopportunities3,requirement2_6,seats1010,appperseat3specialized,grades2019,offer_rate2_1,community_board,admissionspriority24
718-946-5035,"2800 OCEAN PARKWAY, BROOKLYN NY 11235(40.582627, -73.968733)",Yes,,Screened,N,,Abraham Lincoln High School D75 Inclusion Program,1904,Ed. Opt.,"Open to students currently in or recommended for District 75 Special Education Inclusive Services. If you are not currently in or recommended for these services, please contact D75info@schools.nyc.gov",,,,English as a New Language; Transitional Bilingual Education: Urdu,,Punctuality,40.581681,,,"Standardized Test Scores: English Language Arts, Math",375.0,,,Audition,,97,,,136.0,2,Ed. Opt.,,,Y,,"Cantonese, Spanish",,9,College Trips; Extended Day Program; Extended Day Program  (Credit Recovery); Health Center; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Internships; Summer Orientation; Weekend Programs,"Standardized Test Scores: English Language Arts, Math",Punctuality,,45,Business,,"Students will prepare and submit the following to Mr. Carlos Molina, Director of the Photography Program, via mail (to the school's address) or email (CMolina2@schools.nyc.gov) by early December: A portfolio of the student's work. The portfolio should consist of ten pieces in which the student displays his or her visual sensibility (sense of humor, design, taste). The portfolio can be drawings, paintings and/or photography. All applicants must submit a portfolio; however, if you do not have a portfolio for submission, you may come during one of the audition dates to create your portfolio.",6.0,0.75,,West Brighton,Punctuality,Partially Accessible,,28,,,,Ed. Opt.,Zoned,,N/A - zoned program,266.0,No,Y,,,354,Attendance,,3,"Techniques of black and white, color, digital studio, scientific, still, and video imaging that prepare students for both college and professional careers. Interested students may schedule an appointment for a tour of the program.","Zoned students have access to all Abraham Lincoln High School programs. This includes AP classes, specialized electives, academic clubs and the Music, Theater and Fine Arts pathway. In this pathway, students are exposed to different facets of the Arts. Through creative expression, students will share universal themes, values and emotions. They will improve their social skills, develop a creative eye, and gain multiple perspectives in their chosen artistic field.",,,,,"Elective Opportunities: Theater, set building, chorus, band, statistics, forensics, media, production, lifeguarding, and beginning swimming.",Punctuality,,,9 to 12,,313,
718-295-3674,"500 EAST FORDHAM ROAD, BRONX NY 10458(40.859466, -73.888625)",,,,,,,352,,,,,,English as a New Language,,,40.860043,,,,,,,,,,,,309.0,5,Ed. Opt.,,,,,"American Sign Language, Japanese, Spanish",,,Community School,,,,22,,,,14.0,0.86,,Belmont,,Partially Accessible,,,,,,,,,,,,,,,387,,,,,,,,,,"Science: Honors, Pre-AP including Chemistry and Physics, and Advanced Placement. Electives include: Forensic Science and STEM pathways",,,,9 to 12,,206,
212-927-6129,"549 AUDUBON AVENUE, MANHATTAN NY 10040(40.856532, -73.92606)",,,,,,,423,,,,,,English as a New Language; Dual Language: Spanish; Transitional Bilingual Education: Spanish,,,40.855855,,,,,,,,,,,,113.0,4,Ed. Opt.,,,,,Spanish,,,College Trips; Community School; Dress Code; Extended Day Program; Extended Day Tutoring; Health Center; Internships Available; Online Grading System; Weekend Programs; Orientation; Summer Bridge; Summer Orientation; Uniform,,,,39,,,,3.0,0.75,,Washington Heights N.,"Course Grades: English, Math, Science, Social Studies",Partially Accessible,,,,,,,,,,,,,,,277,Attendance,,,,,,,,,"We offer after-school homework help and tutoring. We also offer Saturday School for credit accumulation, Regents Prep Tutoring, and SAT Preparation.",,,,9 to 12,20% of offers went to this group,112,
212-255-4756,"225 WEST 24TH STREET, MANHATTAN NY 10011(40.745677, -73.996354)",Yes,,D75 Special Education Inclusive Services,,,,1577,Audition,,1.0,Audition with common components,,English as a New Language,,Punctuality,40.745156,,Audition with common components,"Course Grades: English (68-100), Math (65-100), Science (68-100), Social Studies (67-100)",288.0,,,,,,,,129.0,4,Audition,,,,,Spanish,,,College Trips; Extended Day Program; Extended Day Credit Recovery; Extended Day Tutoring; Health Center; Internships Available; Multi-Session School; Online Grading System; Weekend Programs; Orientation; Summer Internships; Summer Orientation,"Course Grades: English (65-100), Math (64-100), Science (65-100), Social Studies (65-100)",Punctuality,,10,Visual Art & Design,Stunt,,3.0,0.95,,Chelsea-Union Sq,Punctuality,Fully Accessible,,,,,,Audition,,Audition - Go to https://www.myschools.nyc/en/help/high-school/audition-dates/ for information and dates,,485.0,Yes,,,,91,Attendance,,,,,,Audition with common components,,,"HSFI partners with the Yale University Center for Emotional Intelligence to develop students' social emotional skills to handle teenage stress. HSFI also partners with Harvard University to promote diversity, equity, and true integration within our school community.",,,,9 to 12,,104,
718-299-4707,"1710 WEBSTER AVENUE, BRONX NY 10457(40.84325, -73.902969)",,,,,,,565,,,,,,English as a New Language,,,40.843588,,,,,,,,,,,,158.0,5,Ed. Opt.,,,,,Mandarin,,,Community School,,,,22,,,,5.0,0.61,,Claremont-Bathgate,,Fully Accessible,,,,,,,,,,,,,,,165,,,,,,,,,,High School Law Institute at NYU Law School and Columbia University Law School,,,,9 to 12,,203,
718-738-9077,"101-01 ROCKAWAY BOULEVARD, OZONE PARK NY 11417(40.680065, -73.838616)",Yes,,Ed. Opt.,N,,,2366,Screened,,,,,"English as a New Language; Transitional Bilingual Education: Bengali, Spanish",,"Course Grades: English, Math, Science, Social Studies",40.679639,,,"Standardized Test Scores: English Language Arts, Math",489.0,,,Ed. Opt.,,257,,,32.0,3,Screened,,,N,,"Bengali, French, Spanish",,9,College Trips; Community School; Extended Day Program; Health Center; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Internships; Summer Orientation; Weekend Programs,"Standardized Test Scores: English Language Arts, Math","Course Grades: English, Math, Science, Social Studies",,41,Law & Government,Cricket,,3.0,0.72,,South Ozone Park,Punctuality,Fully Accessible,,25,,,,Ed. Opt.,Zoned,,N/A - zoned program,466.0,Yes,Y,,,864,Attendance,Open to New York City residents,3,"Prepares students for careers in business and computer science. Students will participate in Virtual Enterprise, Microsoft certiport certification, Co-Op Tech, and internships. Students will be able to earn a CDOS credential upon graduation.",,,,,,"Each Small Learning Community has roughly 280 students, with its own director, school counselor, and dean of student life.",Punctuality,,,9 to 12,,410,
718-681-8650,"250 EAST 164TH STREET, BRONX NY 10456(40.828009, -73.917705)",,,,,,,510,,,,,,English as a New Language,,,40.828696,,,,,,,,,,,,174.0,5,Screened,,,,,Spanish,,,Community School,,,,42,,,,11.0,0.87,,E. Concourse-Concourse Village,Course Grades: Average (73-100),Not Accessible,,,,,,,,,,,,,,,18302,Attendance,,,,,,,,,Beauty and Joy of Computing Program,,,,6 to 12,,204,
718-643-9516,"49 FLATBUSH AVENUE EXTENSION, BROOKLYN NY 11201(40.69733, -73.984528)",,,,,,,359,,,,,,English as a New Language,,,40.697339,,,,,,,,,,,,48.0,2,Screened: Language,,,,,,,,College Trips; Community School; Extended Day Program; Internship Expected,,,,38,,Cricket,,3.0,0.78,,DUMBO-Downtown Brooklyn,,Fully Accessible,,,,,,,,,,,,,,,15,,,,,,,,,,English and home language skill development; Computers available for every student; Extensive use of iPads; Authentic project-based learning,,,,9 to 12,,302,
718-723-7306,"207- 01 116TH AVENUE, CAMBRIA HEIGHTS NY 11411(40.698786, -73.74633)",,,,,,,413,,,,,,English as a New Language,,,40.697819,,,,,,,,,,,,56.0,3,Ed. Opt.,,,,,French,,,College Trips; Dress Code; Extended Day Program; Health Center; Online Grading System; Saturday Programs; Student Parent Orientation; Uniform; Weekend Programs,,,,6,,,,4.0,0.9,,Cambria Heights,"Course Grades: English, Math, Science, Social Studies",Partially Accessible,,,,,,,,,,,,,,,53401,Attendance,,,,,,,,,"Students take college courses (Computer Science, Pre-Calculus, Psychology, Sociology) at York College through the College Now program.",,,,9 to 12,,413,
718-728-3478,"48-10 31ST AVENUE, ASTORIA NY 11103(40.757072, -73.911165)",No,,Ed. Opt.,N,,,2344,Ed. Opt.,,,,,English as a New Language; Transitional Bilingual Education: Spanish,,Punctuality,40.75823,,,"Course Grades: English, Math, Science, Social Studies",243.0,,,Screened,,413,,,76.0,3,Screened,96% of offers went to this group,,N/A - zoned program,,"Bengali, French, Greek, Korean, Spanish",,N/A - zoned program,College Trips; Community School; Community Service Expected; Extended Day Program; Extended Day Credit Recovery; Extended Day Tutoring; Health Center; Internships Available; Online Grading System; Weekend Programs; Orientation; Summer Bridge; Summer Internships; Summer Orientation,"Course Grades: English, Math, Science, Social Studies",Punctuality,,33,Business,Cricket,,5.0,0.71,,Astoria,Punctuality,Not Accessible,,N/A - zoned program,,,,Ed. Opt.,,"Standardized Test Scores: English Language Arts, Math",,427.0,No,N,,Then to New York City residents,163,Attendance,Guaranteed offer to students who live in the zoned area,5,"Focuses on students' development of math and science research techniques, along with critical and analytical thinking skills. Students engage in individual projects, competitions, and trips to colleges and university research seminars. Students experience emergency service training including an EMT introduction course and multiple AP courses.",,,,,,"Environmental Science, Executive Internship, Gaining Early Awareness and Readiness for Undergraduate Programs (GEAR UP), Honors Classes",,,,9 to 12,,401,
718-977-4802,"116-25 GUY R BREWER BOULEVARD, JAMAICA NY 11434(40.685838, -73.783438)",,,,,,,462,,,,,,English as a New Language,,,40.686208,,,,,,,,,,,,134.0,3,Screened,,,,,Spanish,,,College Trips; Community Service Expected; Extended Day Program; Extended Day Credit Recovery; Extended Day Tutoring; Health Center; Online Grading System; Weekend Programs; Orientation; Summer Bridge; Uniform,,,,46,,Double Dutch,,6.0,0.79,,Baisley Park,Punctuality,Fully Accessible,,,,,,D75 Special Education Inclusive Services,,,,,,,,,278,Attendance,,,,,,,,,"Electives: Law Enforcement Careers, Public Safety Careers, Criminal Justice, NYPD Fitness, Legal Writing",,,,9 to 12,,412,
718-969-3552,"160-20 GOETHALS AVENUE, JAMAICA NY 11432(40.718027, -73.805923)",,,,,,,711,,,,,,English as a New Language,,,40.718831,,,,,,,,,,,,100.0,3,Screened,,,,,Spanish,,,College Trips; Online Grading System; Student Parent Orientation,,,,24,,,,6.0,0.97,,Flushing Heights-Hillcrest,Punctuality,Fully Accessible,,,,,3% of offers went to this group,,,,,,,,,,1267,Attendance,,,,,,,,,"Separate medical mentoring for boys and girls, Pre-Nursing program, College advisories, Guidance advisories",,,,6 to 12,62% of offers went to this group,408,
718-836-3955,"8301 SHORE ROAD, BROOKLYN NY 11209(40.626827, -74.038103)",Yes,1.0,Audition,Y,,,4559,Audition,,1.0,,,"English as a New Language; Transitional Bilingual Education: Arabic, Chinese, Spanish",,Audition with common components,40.627898,,,,165.0,,,Audition,,166,,,125.0,2,Screened,42% of offers went to this group,,N/A - zoned program,,"Arabic, French, Greek, Italian, Mandarin, Spanish",,N/A - zoned program,College Trips; Extended Day Program; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Orientation; Weekend Programs,,Audition with common components,,44,Performing Arts,Golf,"Applicants will be asked to perform two contrasting monologues (one minute each), and an on-demand dramatic or movement activity (e.g. impromptu reading from provided script or improvisation). Applicants should wear attire that allows free movement.",7.0,0.81,,Bay Ridge,"Standardized Test Scores: English Language Arts (3.5-4.5), Math (3.8-4.5)",Partially Accessible,,N/A - zoned program,,,,Audition,,,,101.0,No,N,,Then to Brooklyn students or residents,46,"Course Grades: English (89-100), Math (87-100), Science (90-100), Social Studies (90-100)",Guaranteed offer to students who live in the zoned area,6,"A sequential course of study focusing on acting, scene study, dramatic literature, playwriting, and performance. Students will have an opportunity to perform in musicals and dramatic plays.",,,,,,"Medical Science: Anatomy & Physiology, Astronomy, Astrobiology, Biological Medical Techniques, and Bio-Psychology",,,,9 to 12,,310,Then to New York City residents
718-564-2471,"911 FLATBUSH AVENUE, BROOKLYN NY 11226(40.649602, -73.957173)",,,,,,,467,,,,,,English as a New Language,,,40.649787,,,,,,,,,,,,73.0,2,Open,,,,,Spanish,,,,,,,11,Film/Video,"Cricket, Double Dutch, Stunt",,8.0,0.82,,Flatbush,,Partially Accessible,,,,,,Open,,,,208.0,Yes,,,,794,,,,,,,,,,"Robotics, Coding, ScriptEd Programming and internships, Calculus project",,,,9 to 12,,314,
718-893-6439,"1619 BOSTON ROAD, BRONX NY 10460(40.836245, -73.890591)",,,,,,,326,,,,,,English as a New Language,,,40.8359,,,,,,,,,,,,134.0,5,Ed. Opt.,,,,,"French, Spanish",,,College Trips; Dress Code; Extended Day Program; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Orientation; Uniform; Weekend Programs,,,,43,,,,6.0,0.72,,Crotona Park East,Punctuality,Not Accessible,,,,,,,,,,,,,,,155,Attendance,,,,,,,,,College Access for All offers college and career fairs with college lessons and activities in grades 9-12 and college workshops for parents.,,,,9 to 12,,203,
718-665-4547,"345 BROOK AVENUE, BRONX NY 10454(40.810314, -73.918774)",,,,,,,425,,,,,,English as a New Language,,,40.81004,,,,,,,,,,,,34.0,5,Screened: Language,,,,,French,,,College Trips; Extended Day Program; Health Center; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Internships; Summer Orientation; Uniform; Weekend Programs,,,,35,,"Outdoor Track, Table Tennis",,2.0,0.81,,Mott Haven-Port Morris,,Not Accessible,,,,,,,,,,,,,,,41,,,,,,,,,,internship,,,,9 to 12,,201,
718-361-9995,"35-12 35TH AVENUE, ASTORIA NY 11106(40.756099, -73.925182)",Yes,1.0,Audition,Y,,,853,Audition,,1.0,Audition - Go to https://www.myschools.nyc/en/help/high-school/audition-dates/ for information and dates,,English as a New Language,,Punctuality,40.756534,,Audition - Go to https://www.myschools.nyc/en/help/high-school/audition-dates/ for information and dates,Course Grades: Average (84-100),312.0,,,Audition,,448,,,42.0,3,Audition,,,Y,,Spanish,,20,College Trips; Online Grading System; Saturday Programs; Student Parent Orientation,Course Grades: Average (83-100),Punctuality,"{'url': 'http://3.0-4.5', 'description': 'Standardized Test Scores: English Language Arts (3.0-4.5), Math'}",33,Visual Art & Design,,"Students will take an abbreviated ballet class followed by modern and jazz dance combinations. Participants are to audition in appropriate dance attire: leotard, tights and ballet shoes.",14.0,0.96,,Astoria,Punctuality,Fully Accessible,,25,,,,Audition,,"Standardized Test Scores: English Language Arts (3.1-4.5), Math (3.1-4.5)",,589.0,Yes,Y,,,57,Attendance,Open to New York City residents,16,"Ballet, Modern Dance, Dance History, Choreography, and dance criticism courses; Jazz, Tap, Ballroom Dancing, Kinesiology, Anatomy, Career Management, and Dance Production courses; students attend live performances and take part in school productions.",,,Audition - Go to https://www.myschools.nyc/en/help/high-school/audition-dates/ for information and dates,,,"Apprenticeships with artists, projects with cultural institutions, community service through the arts, CUNY College Now",Punctuality,,,9 to 12,,401,
718-652-3525,"925 ASTOR AVENUE, BRONX NY 10469(40.860443, -73.860729)",,,,,,,607,,,,,,English as a New Language,,,40.859665,,,,,,,,,,,,446.0,5,Ed. Opt.,,,,,Spanish,,,College Trips; Community Service Expected; Dress Code; Extended Day Tutoring; Health Center; Internships Available; Online Grading System; Weekend Programs; Orientation; Summer Bridge; Summer Internships; Summer Orientation,,"Standardized Test Scores: English Language Arts, Math",,12,Science & Math,,,19.0,0.86,,Bronxdale,"Course Grades: English, Math",Partially Accessible,,,,,,Ed. Opt.,,,,,No,,,,324,Attendance,,,,,,,,,"Summer Bridge program for selected incoming 9th grade students, Teen Success Initiative (TSI), Young Men's & Young Women's Leadership",,,,9 to 12,,211,
718-329-8582,"2780 RESERVOIR AVENUE, BRONX NY 10468(40.869061, -73.897066)",,,,,,,491,,,,,,English as a New Language,,,40.870293,,,,,,,,,,,,33.0,5,Screened: Language,,,,,Spanish,,,College Trips; Extended Day Program; Extended Day Tutoring; Health Center; Internships Available; Online Grading System; Weekend Programs; Summer Bridge; Summer Orientation; Uniform,,,,40,,,,2.0,0.52,,Van Cortlandt Village,,Fully Accessible,,,,,,,,,,,,,,,409,,,,,,,,,,"Extensive after-school and Saturday academy for English Language supports, tutoring, and enrichment, including counseling and college preparation.",,,,9 to 12,,207,
718-243-0815,"101 PARK AVENUE, BROOKLYN NY 11205(40.697177, -73.976104)",Yes,1.0,Audition,N,,,313,Audition,,1.0,Writing Exercise (On-Site),,English as a New Language,,Punctuality,40.696324,Audition with common components,Writing Exercise (On-Site),"Course Grades: English (65-100), Math (55-100), Science (65-100), Social Studies (60-100)",69.0,,,Audition,,19,,,29.0,2,Audition,75% of offers went to this group,,,,Spanish,,,College Trips; Dress Code; Extended Day Program; Extended Day Program  (Credit Recovery); Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Uniform; Weekend Programs,"Course Grades: English, Math, Science, Social Studies",Punctuality,,48,Performing Arts,Double Dutch,"Students must perform a prepared selection and two major scales. Sight reading, rhythm and tonal memory will be tested.",7.0,0.71,,Fort Greene,Punctuality,Not Accessible,,,,,,Audition,,"Standardized Test Scores: English Language Arts (1.9-4.5), Math (1.6-4.5)",,39.0,Yes,Y,,Then to District 13 students or residents,211,Attendance,,2,"Music theory and history, techniques and performance, music composition, music analysis, conducting, Marching Band, Jazz Band, Concert Band, and small ensembles.",,,Writing Exercise (On-Site),,Audition - Go to https://www.myschools.nyc/en/help/high-school/audition-dates/ for information and dates,"AP for All, College Advisory, Summer School, McKinney After-School Academic Program, CUNY College Now, Algebra For All, Software Engineering",,,,6 to 12,22% of offers went to this group,302,Then to District 13 students or residents
718-444-5419,"6565 FLATLANDS AVENUE, BROOKLYN NY 11236(40.634451, -73.916927)",,,,,,,189,,,,,,English as a New Language,,,40.633285,,,,,,,,,,,,90.0,2,Ed. Opt.,,,,,French,,,College Trips; Community School; Community Service Expected; Extended Day Program; Extended Day Credit Recovery; Extended Day Tutoring; Health Center; Internships Available; Online Grading System; Orientation; Summer Bridge; Summer Internships; Summer Orientation,,,,8,,,,7.0,0.69,,Canarsie,Punctuality,Partially Accessible,,,,,,,,,,,,,,,950,Attendance,,,,,,,,,Post-Secondary Readiness Academy,,,,9 to 12,,318,
718-796-7051,"120 WEST 231ST STREET, BRONX NY 10463(40.875636, -73.901565)",,,,,,,430,,,,,,English as a New Language,,,40.875916,,,,,,,,,,,,84.0,5,Ed. Opt.,,,,,Spanish,,,College Trips; Dress Code; Health Center; Internships Available; Online Grading System; Weekend Programs; Summer Orientation,,,,29,,,,3.0,0.66,,Van Cortlandt Village,Punctuality,Not Accessible,,,,,,,,,,,,,,,273,Attendance,,,,,,,,,"New York University Mini-Meds Program, New York Alliance for Careers in Healthcare HS Work-Based Learning Initiative",,,,9 to 12,,208,
718-295-3631,"500 EAST FORDHAM ROAD, BRONX NY 10458(40.859466, -73.888625)",,,,,,,402,,,,,,English as a New Language,,,40.860043,,,,,,,,,,,,389.0,5,Ed. Opt.,,,,,Spanish,,,College Trips; Dress Code; Extended Day Program; Health Center; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Internships; Summer Orientation; Weekend Programs,,,,22,,,,18.0,0.92,,Belmont,,Partially Accessible,,,,,,,,,,,,,,,387,Attendance,,,,,,,,,"Futures and Options, Urban Ambassadors, Literacy Leaders, SEO Scholars, Fordham University",,,,9 to 12,,206,
718-688-7206,"1065 ELTON STREET, BROOKLYN NY 11208(40.657266, -73.874064)",,,,,,,528,,,,,,English as a New Language,,,40.657434,,,,,,,,,,,,141.0,2,Ed. Opt.,,,,,Spanish,,,Community School,,,,25,,,,14.0,,,Bergen Beach,,Fully Accessible,,,,,,D75 Special Education Inclusive Services,,,,,,,,,1070,,,,,,,,,,"Emphasis on arts residencies and arts integration across grades, content, and curriculum.",,,,6 to 12,,305,
