fax_number,appperseat3specialized,grades2018,common_audition4,admissionspriority17,directions5,prgdesc9,interest7,requirement6_2,grade9geapplicantsperseat6,offer_rate5,offer_rate2,requirement4_2,code3,method5,grade9geapplicantsperseat2,seats6specialized,seats2specialized,seats9ge9,requirement1_7,language_classes,program7,extracurricular_activities,prgdesc5,admissionspriority63,city,admissionspriority42,boys,primary_address_line_1,ptech,grade9swdfilledflag7,eligibility3,pct_stu_safe,grade9swdapplicants3,geoeligibility,seats1010,grade9gefilledflag2,grade9gefilledflag3,interest9,seats106,requirement2_7,seats108,prgdesc3,addtl_info1,grade9geapplicantsperseat3,seats1specialized,interest5,method8,end_time,requirement2_6,requirement6_6,prgdesc6,method3,psal_sports_girls,requirement5_7,grade9swdapplicantsperseat5,total_students,requirement2_1,eligibility7,seats103,longitude,admissionspriority26,requirement1_2,offer_rate3,requirement4_3
718-893-6439,,9 to 12,,,,,,,,,,,,,,,,,,Spanish,,"Career Exploration, College and Field Trips, Computer Science, Health Fair, Playwriting, Poetry Club, National Honor Society, Service Learning Program, Step Dance",,,Bronx,,,1619 Boston Road,,,,0.86,,,,,,,,,,,College Trips; Dress Code; Internships; Multi-Session School; Student Parent Orientation; Summer Bridge Program; Summer Orientation; Uniform,,,,,3:50pm,,,,,"Softball, Volleyball",,,344,,,,-73.890591,,,,
718-696-3730,,9 to 12,,,,,,,,,,,,,,,,,,Spanish,,"Academic Enrichment, Advisory Days (College Trips), Biking, Camping Trips (9th and 10th Grade), Dance, Drama, Explore Week (Three days of Service Learning Projects), Fitness, Instrumental and Vocal Music Program, Mosholu Montefiore Community Center Work Readiness Program (WIA), Peer Group Connection, Peer Mediation, Senior Internship, Student Council, Swimming, Technology, Visual Arts, Yearbook",,,Bronx,,,800 East Gun Hill Road,,,,0.67,,,,,,,,,,,College Trips; Extended Day Program; Extended Day Program (Tutoring); Health Center; Internships; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Orientation,,,,,3:00pm,,,,,"Basketball, Cross Country, Indoor Track, Outdoor Track, Softball, Swimming, Volleyball",,,415,,,,-73.861649,,,,
212-587-3874,,9 to 12,,,,,,,,,,,,,,,,,,"French, German, Italian, Japanese, Latin, Mandarin, Spanish",,"Annual Concerts, ARISTA Honors Society, Big Sibs, Chess, Dances, Dramas, JSA, Math Team, Model UN, Musicals, Robotics, Science Olympiad, Speech and Debate, Student Union, Theater Productions; as well as over 190 student-run clubs, 42 PSAL sports teams and several student publications.",,,Manhattan,,,345 Chambers Street,,,,0.96,,,,,,,,,,,College Trips; Student Parent Orientation,,814.0,,,3:35pm,,,,,"Badminton, Basketball, Bowling, Cross Country, Fencing, Golf, Gymnastics, Handball, Indoor Track, Lacrosse, Outdoor Track, Soccer, Softball, Swimming, Table Tennis, Tennis, Volleyball",,,3365,,,,-74.013921,,,,
718-295-3631,,9 to 12,,,,,,,,,,,,,,,,,,Spanish,,"Alpha Phi Fem Club, Art Club, Book Club, Career Exploration Club, Dance Team, Drama Club, Film Club, Flag Football, Gaming Club, German Club, Intro to Latin Dance Club, Journalism Club, JROTC, LGBTQ Club, Men of Strength, Moot Court/Mock Trial, Neighborhood Helpers, Science Club, Soccer Club, Spanish Club, Tutoring in all subjects, Weight Training Club, Women of Strength, Work-based Learning Opportunities, Yearbook/Senior Committee",,,Bronx,,,500 East Fordham Road,,,,0.81,,,,,,,,,,,College Trips; Dress Code; Extended Day Program; Extended Day Program (Tutoring); Health Center; Internships; Multi-Session School; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Internships; Summer Orientation; Weekend Programs,,,,,3:35pm,,,,,"Basketball, Cross Country, Indoor Track, Outdoor Track, Softball, Volleyball",,,423,,,,-73.888625,,,,
718-893-7368,,9 to 12,,,,,,,,,,,,,,,,,,"French, Spanish",,"Academic Tutoring, Adventure Ed (city & nature explorations), Book Club, Computer Coding Club, Film Club, Game Club, HER Story, International Club, Intramural Basketball, Japanese Club (anime/j-pop/manga), Knitting Club, Mentoring, Music & Jazz, National Honor Society/Arista, Photography Club, Poetry, Project Competitions, Robotics Team (Technology & engineering), Saturday Workshops, Student Government, Theater/Performance Arts Program, Visual Art Residencies, Yearbook Club, Young Men's Group",,,Bronx,,,1110 Boston Road,,,,0.86,,,,,,,,,,,College Trips; Community School; Extended Day Program; Extended Day Program (Tutoring); Health Center; Internships; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Orientation; Uniform,,,,,3:06pm,,,,,"Basketball, Softball, Volleyball",,,394,,,,-73.90392,,,,
718-987-5872,,9 to 12,,,,,,,,,,,,,,,,,,Russian,,"The extracurricular program features over 100 after-school clubs and activities such as: Dance, Drama, Literary Magazine (Trope), Ensembles, National Honor Society, Orchestra, Parent Leadership Academy, Peer Mediation and Conflict Resolution, Publication (Tech Times), Showcase, S!NG, Spring Musical, Student Government, Symphonic Band; More than 90 clubs, activities, and special events",,,Staten Island,,,485 Clawson Street,,,,0.99,,,,,,,,,,,College Trips; Internships; Multi-Session School; Online Grading System; Student Parent Orientation; Summer Bridge Program; Summer Internships; Summer Orientation,,300.0,,,2:30pm,,,,,"Badminton, Basketball, Bowling, Cross Country, Fencing, Golf, Handball, Indoor Track, Outdoor Track, Soccer, Softball, Swimming, Table Tennis, Tennis, Volleyball",,,1312,,,,-74.117086,,,,
718-601-0821,,9 to 12,,,,,,,,,,,,,8,,,,,"French, Japanese, Spanish",,Extracurricular activities and clubs will be determined by students and their interests.,,,Bronx,,,100 West Mosholu Parkway South,,,,0.8,,,,Y,,,,,,,College Trips; Dress Code; Extended Day Program; Extended Day Program (Tutoring); Online Grading System; Student Parent Orientation; Uniform,,,,,3:24pm,,,,,"Basketball, Bowling, Cross Country, Flag Football, Gymnastics, Handball, Indoor Track, Outdoor Track, Soccer, Softball, Swimming, Tennis, Volleyball",,,449,,,,-73.889011,,,,
718-888-7526,,9 to 12,,,,,,,,,,,,,,,,,,Mandarin,,"Chess, Chorus, Community Arts, Computer Programming, Dance, Drama, Engineering, Green Team, GSA, Math Team, Student Government; students are encouraged to form additional clubs. Tutoring is offered Monday to Thursday; Saturday Regents Prep is offered in January, May, and June. SAT Prep is also offered on Saturdays.",,,Flushing,,,35-01 Union Street,,,,0.89,,,,,,,,,,,College Trips; Community Service Expected; Extended Day Program; Extended Day Program (Tutoring); Saturday Programs; Student Parent Orientation; Uniform,,,,,3:29pm,,,,,"Badminton, Basketball, Handball, Indoor Track, Soccer, Softball, Table Tennis, Volleyball, Wrestling",,,399,,,,-73.826811,,,,
718-299-4707,,9 to 12,,,,,,,,,,,,,,,,,,"American Sign Language, Spanish",,"Art Club, Band, buildOn, Cheerleading/Dance, Chess Club, Men's Club, Mock Trial Team, Moot Court Team, National Honor Society, Photography Club, Student Senate, Yoga Club",,,Bronx,,,1710 Webster Avenue,,,,0.68,,,,,,,,,,,College Trips; Community Service Expected; Dress Code; Extended Day Program; Extended Day Program (Tutoring); Internships; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program,,,,,3:18pm,,,,,"Basketball, Flag Football, Softball, Volleyball",,,651,,,,-73.902969,,,,
718-329-0433,,9 to 12,,,,,,,,,-55% of offers went to this group,,,,4,,,,,"French, Spanish",,"Academic Intervention Services, AIDS Awareness Day, Art, Blood Drive, Breast Cancer Walk, Canned Food Drive, Chorus, Dance Company, Enchanted Garden, English Language Arts (ELA) Enrichment Program, Fashion Show, Freshman Honors Theatre Ensemble, Guitar, Math, National Honor Society, Peer Mediation, Penny Harvest, PM School, Poetry Slam, Science, Senior Council, Stage Crew, Step Team, Student Government, Student Producers, Video Production Workshop, Yearbook",,,Bronx,Then to New York City residents,,99 Terrace View Avenue,,,,0.76,,,,N,,,,,,,College Trips; Community Service Expected; Extended Day Program; Extended Day Program (Credit Recovery); Extended Day Program (Tutoring); Health Center; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program,,,,,3:00pm,,,,,"Basketball, Flag Football, Golf, Gymnastics, Handball, Indoor Track, Outdoor Track, Soccer, Softball, Tennis, Volleyball",,,395,,,,-73.912686,,,,
718-380-6809,,6 to 12,,,,,,,,,,,,,,,,,,"French, Japanese, Latin, Spanish",,"Anime, Book Club, Debate Club, GSA, Glee Club, Math Tutorial, Mathletes, National Honor Society, Peer Mediation, Senior Committee, Silver Chord, SING, Spirit Squad, Student Government, Studio Art, Yearbook; Students are encouraged to initiate clubs pertaining to their individual interests",,,Fresh Meadows,,,158-40 76th Road,,,,0.85,,,,,,,,,,,College Trips; Extended Day Program; Online Grading System; Student Parent Orientation,,,,,3:05pm College classes can extend to 5pm,,,,,"Tennis, Volleyball",,,575,Punctuality,,,-73.80938,,,,
212-567-3958,,6 to 12,,,,,,,,,,,,,,,,,,"Arabic, French, Hebrew, Portuguese, Spanish",,,,,Manhattan,,,4600 Broadway,,,,0.87,,,,,,,,,,,,,,,,4pm,,,,,"Basketball, Softball, Volleyball",,,598,Punctuality,,,-73.930082,,,,
718-564-2541,,6 to 12,,,,,,,,,,,,,,,,,,"French, Spanish",,"Anime, Chess, Performance Art, School Yearbook, STEP, Study Center, Student Government, Technology, Teen Talk, Tutoring, Video Production, Young Entrepreneurs",,,Brooklyn,,,911 Flatbush Avenue,,,,0.8,,,,,,,,,,,College Trips; Dress Code; Extended Day Program; Extended Day Program (Tutoring); Health Center; Multi-Session School; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Orientation; Uniform,,,,,2:45pm,,,,,"Basketball, Flag Football, Indoor Track, Outdoor Track, Softball, Swimming, Table Tennis, Tennis, Volleyball",,,559,Punctuality,,,-73.957173,,,,
212-781-0742,,4 to 12,,,,,,,,,,,,,,,,,,Spanish,,,,,Manhattan,,,511 West 182nd Street,,,,0.88,,,,,,,,,,,,,,,,3pm,,,,,"Cross Country, Flag Football, Indoor Track, Outdoor Track, Soccer",,,806,Punctuality,,,-73.930991,,,,
718-542-7294,,9 to 12,,,,,,,,,,,,,,,,,,Spanish,,,,,Bronx,,,1180 Rev. J.A. Polite Avenue,,,,0.64,,,,,,,,,,,,,,,,4pm,,,,,"Basketball, Soccer, Softball",,,436,,,,-73.896925,,,,
718-545-2980,,9 to 12,,Priority given to New York City residents who are English Language Learners,,,"Hospitality, Travel, & Tourism",,3,,,Demonstrated Interest: School Visit,Q29M,Ed. Opt.,6,,,N/A - zoned program,Demonstrated Interest: School Visit,"French, Greek, Italian, Mandarin, Spanish",Global Languages Academy,"ASPIRA, Dance, Digital Media Program, Fall and Spring Drama and Musical Productions, Junior Reserve Officers' Training Corps (JROTC), Multicultural Festival, National Honor Society, SING, Spirit Squad, Winter and Spring Concerts; More than 20 multicultural and interdisciplinary clubs","Students explore ethical, moral, cultural, and legal factors affecting societies past and present. This program also supports LIC's AVID program which focuses on college readiness skills. Through frequent field trips to major cultural institutions of New York City, this program prepares well-rounded individuals who have skills to serve their community.",,Astoria,,,14-30 Broadway,,N,,0.76,37,,,N,N,Zoned,Yes-20,,No,"In partnership with the National Academy Foundation, students are prepared to apply skills in supervisory and managerial positions in hotels and restaurants. Students will have senior year internships and take the NOCTI exam for CTE requirements.",College Trips; Community School; Extended Day Program; Internships; Multi-Session School; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Orientation,2,,Law & Government,Screened: Language,3:39pm,,,"Students interested in being a part of Broadway Productions are provided with an opportunity to earn Chancellor's Endorsed Diploma in the Arts. Students will also write, direct, and perform in musicals and plays. Open to all who want to perform, learn an instrument, sing, create sets, and learn to run productions.",Screened,"Basketball, Bowling, Fencing, Golf, Gymnastics, Handball, Lacrosse, Soccer, Softball, Swimming, Tennis, Volleyball",,6,2090,,,Yes-20,-73.933907,,Attendance,,Demonstrated Interest: School Visit
