brooklyn_condominiums_comparable_properties_condo_section,brooklyn_condominiums_comparable_properties_address,comparable_rental_3_total_units,brooklyn_condominiums_comparable_properties_year_built,comparable_rental_2_boro_block_lot,comparable_rental_3_building_classification,brooklyn_condominiums_comparable_properties_estimated_expense,comparable_rental_2_year_built,comparable_rental_1_market_value_per_sqft,brooklyn_condominiums_comparable_properties_total_units,comparable_rental_1_expense_per_sqft,comparable_rental_1_net_operating_income,comparable_rental_1_year_built,comparable_rental_3_gross_income_per_sqft,comparable_rental_2_building_classification,brooklyn_condominiums_comparable_properties_building_classification,comparable_rental_2_total_units,comparable_rental_2_estimated_expense,comparable_rental_3_net_operating_income,brooklyn_condominiums_comparable_properties_net_operating_income
0054-R1,1 ROCKWELL PLACE,20,1900.0,3-02114-0023,C1-WALK-UP,380530,1907.0,58.36,30,10.32,120812,1930,19.87,C7-WALK-UP,R2-CONDOMINIUM,47.0,408003.0,"230,097",311343
0974-R1,450 BEDFORD AVENUE,20,,3-02424-0014,D9-ELEVATOR,73353,1915.0,40.61,6,9.97,201966,1915,11.85,D9-ELEVATOR,R4-CONDOMINIUM,24.0,305900.0,"113,193",89609
1173-R1,191 SPENCER STREET,150,2004.0,3-02104-0008,D9-ELEVATOR,186434,1927.0,110.9,18,13.03,1102334,1982,16.13,D9-ELEVATOR,R4-CONDOMINIUM,71.0,409988.0,"960,988",268284
1171-R1,197 SPENCER STREET,150,2004.0,3-02104-0008,D9-ELEVATOR,186434,1927.0,110.9,18,13.03,1102334,1982,16.13,D9-ELEVATOR,R4-CONDOMINIUM,71.0,409988.0,"960,988",268284
0064-R1,1113 5 AVENUE,32,1922.0,3-02104-0008,D9-ELEVATOR,366421,1927.0,78.91,36,8.35,298688,1900,19.44,D9-ELEVATOR,R4-CONDOMINIUM,71.0,409988.0,"214,018",378715
2209-R1,622 FOSTER AVENUE, ,2006.0,3-05420-0050, ,300077,1991.0,74.12,35,8.93,502248,1964, ,D1-ELEVATOR,R4-CONDOMINIUM,90.0,699529.0, ,673329
0722-R1,163 PROSPECT PARK WEST,12,1999.0,3-01097-0031,C1-WALK-UP,287137,1920.0,107.48,42,9.77,211824,1920,11.18,C1-WALK-UP,R2-CONDOMINIUM,16.0,173959.0,"78,916",380623
1991-R1,1562 WEST 6 STREET,20,2006.0,3-07161-0007,C1-WALK-UP,145376,1978.0,47.67,24,9.61,294982,1927,16.03,C1-WALK-UP,R4-CONDOMINIUM,12.0,119739.0,"110,477",218064
2237-R1,95 LEXINGTON AVENUE,16,1910.0,3-01637-0001,D1-ELEVATOR,282069,1995.0,75.3,20,9.8,348240,1920,19.55,D1-ELEVATOR,R4-CONDOMINIUM,86.0,397010.0,"297,446",325771
2328-R1,100 SPENCER STREET,25,,3-02424-0035,D9-ELEVATOR,317856,1915.0,51.8,24,13.38,237661,1915,21.08,D9-ELEVATOR,R4-CONDOMINIUM,29.0,275528.0,"218,542",402864
2839-R1,66 NORTH 1 STREET,19,1910.0,3-02387-0002,D9-ELEVATOR,333910,2006.0,197.2,21,13.44,912800,2007,29.37,D1-ELEVATOR,R4-CONDOMINIUM,29.0,482104.0,"204,627",480504
1196-R1,5 LYNCH STREET,24,2004.0,3-02424-0035,D9-ELEVATOR,305046,1915.0,43.52,11,13.3,178498,1920,18.75,D9-ELEVATOR,R4-CONDOMINIUM,29.0,275528.0,"201,966",305046
2705-R1,1689 EAST 21 STREET, ,2006.0,3-06766-0077, ,191987,1963.0,60.64,18,8.5,511485,1948, ,D1-ELEVATOR,R4-CONDOMINIUM,70.0,455181.0, ,268782
