property_name,ambulatory_surgical_center,estimated_data_flag_fuel_2,hospital_general_medical_13,financial_office_number_of_1,mailing_center_post_office,leed_us_project_id,fuel_oil_4_use_kbtu,property_use_detail_alerts,other_water_sources_combined_1,data_center_pdu_input_site,data_center_it_energy,data_center_it_equipment,hospital_general_medical_3,property_floor_area_building,laboratory_gross_floor_area,energy_star_certification_3,primary_property_type_epa,national_median_energy_star,convenience_store_without,council_district,medical_office_percent_that,zoo_gross_floor_area_ft,movie_theater_gross_floor,office_percent_that_can_be_1,strip_mall_gross_floor_area,estimated_data_flag_natural,water_wastewater_investment,percent_better_than_national_2,restaurant_gross_floor_area,retail_store_percent_that,weather_normalized_site_energy,retail_store_computer_density,electricity_grid_purchase,indirect_ghg_emissions_metric,source_energy_use_kbtu,residence_hall_dormitory,retail_store_cash_register,multifamily_housing_number_1,parent_property_id,multifamily_housing_resident,hospital_general_medical_5,performing_arts_gross_floor,retail_store_worker_density,veterinary_office_gross_floor,site_energy_use_kbtu,water_wastewater_estimated,wholesale_club_supercenter,hotel_gross_floor_area_ft,electricity_use_generated_1,food_sales_gross_floor_area,hospital_general_medical_17,medical_office_number_of
ROSENBERG: 1955 Grand Concourse,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.",Not Available,Not Available,Not Available,Not Available,Not Available,67350,Not Available,No,Multifamily Housing,50,Not Available,13.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,7380431.8,Not Available,0,82.1,9975202.1,Not Available,Not Available,0,Not Applicable: Standalone Property,No specific resident population,Not Available,Not Available,Not Available,Not Available,7499563.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1540 Broadway,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"One or more of the uses for this property has default values set for its details in the selected timeframe. Enter actual values for these details through the Details tab for this property.; One or more of the values for <i>use details</i> (ex: hours of operation, number of workers) is unusual.  For example, it is not typical for an office to have more than 2 computers per person.  You may want to review your use details to make sure they're correct.  You may have a legitimate reasons for having a use detail outside of our ""typical range.""  If it is legitimate, then you can ignore this alert and/or explain this in the comment field, if applicable.",Not Available,Not Available,Not Available,Not Available,Not Available,958553,Not Available,No,Office,50,Not Available,4.0,Not Available,Not Available,Not Available,100,Not Available,No,Not Available,Not Available,Not Available,100,103488684.1,0.05958,0,7898.2,311495733.5,Not Available,0.40562,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,2.00032,Not Available,103434530.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
MBD Brooklyn-Marjorie Realty,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,200000,Not Available,No,Distribution Center,50,Not Available,45.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,7452720.2,Not Available,0,339.3,16663094.4,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,7568222.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Jopin Realty,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3407065.5,"The most recent bill for one or more meters in use in the selected timeframe is either more than 120 days old or prior to your <b>Next Eligible Date</b>.; The meter <b>Electric-2</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.; More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.",Not Available,Not Available,Not Available,Not Available,Not Available,61950,Not Available,No,Multifamily Housing,50,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
130 Fulton Street,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.; The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.",Not Available,Not Available,Not Available,Not Available,Not Available,80631,Not Available,No,Multifamily Housing,50,Not Available,1.0,Not Available,Not Available,Not Available,100,Not Available,No,Not Available,Not Available,1200,Not Available,4900801,Not Available,0,138.1,8719960.3,Not Available,Not Available,21,Not Applicable: Standalone Property,No specific resident population,Not Available,Not Available,Not Available,Not Available,4926606.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
525 West End Avenue - 8530,Not Available,No,Not Available,Not Available,Not Available,Not Available,10856413.8,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.; One or more of the uses for this property has default values set for its details in the selected timeframe. Enter actual values for these details through the Details tab for this property.",Not Available,Not Available,Not Available,Not Available,Not Available,188821,Not Available,No,Multifamily Housing,50,Not Available,6.0,100,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,13305578.5,Not Available,0,200.5,18703943.9,Not Available,Not Available,52,Not Applicable: Standalone Property,No specific resident population,Not Available,Not Available,Not Available,Not Available,13321052.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
41 Madison Ave,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,527815,Not Available,No,Office,50,Not Available,2.0,Not Available,Not Available,Not Available,100,Not Available,No,Not Available,Not Available,5192,Not Available,65755010.5,Not Available,0,5584.3,131026583.8,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,66794978.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
ATCO - 373 Park Avenue South,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,Not Available,Not Available,Not Available,Not Available,Not Available,104232,Not Available,No,Office,50,Not Available,2.0,Not Available,Not Available,Not Available,100,Not Available,No,Not Available,Not Available,8180,Not Available,Not Available,Not Available,0,576.8,31717576.9,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,16283865,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Astor Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,135743,Not Available,No,Office,50,Not Available,1.0,Not Available,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2380253693,Not Available,0,218671.8,2988668375,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,2470487498,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Manhattan Ave,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.; The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.",Not Available,Not Available,Not Available,Not Available,Not Available,318600,Not Available,No,Other,50,Not Available,33.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2740518.4,Not Available,174655.7546,223,8605227.8,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,2740518.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
175 East 79 Tenants Corp,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.",Not Available,Not Available,Not Available,Not Available,Not Available,92216,Not Available,No,Multifamily Housing,50,Not Available,5.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,7142802,Not Available,3396.345,121.1,10387374.4,Not Available,Not Available,34,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,7141072.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Bayberry Greens Condo,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"The meter <b>Electric 255680142858027</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.; More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.; The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.",Not Available,Not Available,Not Available,Not Available,Not Available,94704,Not Available,No,Multifamily Housing,50,Not Available,32.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Trinity- 12-16 Vestry Street,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,61791,Not Available,Yes,Office,50,Not Available,1.0,Not Available,Not Available,Not Available,100,Not Available,No,Not Available,Not Available,Not Available,Not Available,3281295.1,Not Available,0,194.3,8434299.7,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,3278424.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Waterman- 400 Park Avenue,Not Available,Not Available,Not Available,158,Not Available,Not Available,Not Available,"The values for <i>use details</i> (ex: hours of operation, number of workers) must fit within a range that  is consistent with the reference data used to create the ENERGY STAR score (e.g., offices must be at least 5,000 square feet and open at least 30 hours per week). Values for one or more use detail for this property falls outside the range for the selected time frame and therefore you cannot receive a score.; One or more of the uses for this property has default values set for its details in the selected timeframe. Enter actual values for these details through the Details tab for this property.; One or more of the values for <i>use details</i> (ex: hours of operation, number of workers) is unusual.  For example, it is not typical for an office to have more than 2 computers per person.  You may want to review your use details to make sure they're correct.  You may have a legitimate reasons for having a use detail outside of our ""typical range.""  If it is legitimate, then you can ignore this alert and/or explain this in the comment field, if applicable.",Not Available,Not Available,Not Available,Not Available,Not Available,197959,Not Available,No,Office,50,Not Available,4.0,Not Available,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,Not Available,0,18126940.3,Not Available,229749.6965,1566.7,39029363.4,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,18401682,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
REBNY Sample,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.; This property does not have any use information (ex: Office, Restaurant). Please add at least one property use with complete use details (ex: Number of Workers, Number of Computers).; The meter <b>Electricity</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,50,Not Available,4.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3617065,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
The Ludlow,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.",Not Available,Not Available,Not Available,Not Available,Not Available,210043,Not Available,No,Multifamily Housing,50,Not Available,1.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,13369268.1,Not Available,0,425,24954152.4,Not Available,Not Available,243,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,13369268.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
801 Tilden St.,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.",Not Available,Not Available,Not Available,Not Available,Not Available,318060,Not Available,No,Multifamily Housing,50,Not Available,12.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,33329871.8,Not Available,0,424.6,45011489.1,Not Available,Not Available,0,Not Applicable: Standalone Property,No specific resident population,Not Available,Not Available,Not Available,Not Available,33517238.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Trinity- 435 Hudson,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,269084,Not Available,No,Office,50,Not Available,3.0,Not Available,Not Available,Not Available,100,Not Available,No,Not Available,Not Available,5447,Not Available,Not Available,Not Available,1640940.341,1962.8,82424635.7,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,30495197.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Brooklyn Marine Coop,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.",Not Available,Not Available,Not Available,Not Available,Not Available,267505,Not Available,No,Multifamily Housing,50,Not Available,46.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,269077.4698,356.9,36491474.3,Not Available,Not Available,49,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,26046303.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
32 West 82nd Street,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.; The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.",Not Available,Not Available,Not Available,Not Available,Not Available,61244,Not Available,No,Multifamily Housing,50,Not Available,6.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,4419983.4,Not Available,0,62.2,6106243.1,Not Available,Not Available,57,Not Applicable: Standalone Property,No specific resident population,Not Available,Not Available,Not Available,Not Available,4425196.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
9 East 37th Street,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,65000,Not Available,Yes,Office,50,Not Available,4.0,Not Available,Not Available,Not Available,100,Not Available,No,Not Available,Not Available,3500,Not Available,Not Available,Not Available,0,136.6,8383008,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,4732371.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Lycee Francais,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"The most recent bill for one or more meters in use in the selected timeframe is either more than 120 days old or prior to your <b>Next Eligible Date</b>.; The meter <b>Uninterruptible Power Supply Meter</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.; One or more of the values for <i>use details</i> (ex: hours of operation, number of workers) is unusual.  For example, it is not typical for an office to have more than 2 computers per person.  You may want to review your use details to make sure they're correct.  You may have a legitimate reasons for having a use detail outside of our ""typical range.""  If it is legitimate, then you can ignore this alert and/or explain this in the comment field, if applicable.",Not Available,Not Available,Uninterruptible Power Supply (UPS) supports only IT Equipment (preferred),Not Available,Not Available,163120,Not Available,No,K-12 School,50,Not Available,5.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,8936601.9,Not Available,0,538.7,23325592.2,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,9035037,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
45 Rockefeller Plaza (630 5th Ave) (Bld 6),Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,One or more of the uses for this property has default values set for its details in the selected timeframe. Enter actual values for these details through the Details tab for this property.,Not Available,Not Available,Not Available,Not Available,Not Available,1217115,Not Available,No,Office,50,Not Available,4.0,Not Available,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,Not Available,100,166519776.8,0.2,0,13196.1,350198443.4,Not Available,0.3,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,1,Not Available,166897228.3,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available
"Concourse One CompanyM, LLC",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.",Not Available,Not Available,Not Available,Not Available,Not Available,51000,Not Available,No,Parking,50,Not Available,15.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,864532.4,Not Available,0,6,1086893.5,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,889530,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
509 48th Avenue - 5th Street Lofts Condominium,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.; The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.",Not Available,Not Available,Not Available,Not Available,Not Available,155680,Not Available,No,Multifamily Housing,50,Not Available,26.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,8266470.7,Not Available,0,267.7,15620338,Not Available,Not Available,116,Not Applicable: Standalone Property,No specific resident population,Not Available,Not Available,Not Available,Not Available,8326729.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
725 Fifth Ave.,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.; One or more of the values for <i>use details</i> (ex: hours of operation, number of workers) is unusual.  For example, it is not typical for an office to have more than 2 computers per person.  You may want to review your use details to make sure they're correct.  You may have a legitimate reasons for having a use detail outside of our ""typical range.""  If it is legitimate, then you can ignore this alert and/or explain this in the comment field, if applicable.",Not Available,Not Available,Not Available,Not Available,Not Available,805842,Not Available,No,Multifamily Housing,50,Not Available,4.0,Not Available,Not Available,Not Available,100,Not Available,No,Not Available,Not Available,Not Available,Not Available,72608571.4,Not Available,0,5979,174019819.4,Not Available,Not Available,263,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,72685470.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
132 West 21st Street,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.; The meter <b>#4 Oil</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.; The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.",Not Available,Not Available,Not Available,Not Available,Not Available,27358,Not Available,No,College/University,50,Not Available,3.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16519.35962,641.8,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
325 Riverside Dr.,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.",Not Available,Not Available,Not Available,Not Available,Not Available,74899,Not Available,No,Multifamily Housing,50,Not Available,6.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,5719532.5,Not Available,0,78.9,8035943.8,Not Available,Not Available,52,Not Applicable: Standalone Property,No specific resident population,Not Available,Not Available,Not Available,Not Available,5723312.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
