school_name,program4,grade9gefilledflag7,requirement_3_7,grade9gefilledflag1,common_audition1,prgdesc8,interest5,grade9geapplicantsperseat9,grade9geapplicants12,seats2specialized,grade9geapplicants7,state_code,seats108,seats9swd11,method1,requirement_2_2,prgdesc9,admissionspriority29,interest6,seats9swd6,seats9swd8,school_email,grade9geapplicantsperseat10,code2,grade9swdapplicants8,requirement_1_2,prgdesc12,grade9swdapplicants7,addtl_info1,borough,ptech,offer_rate2_4,council_district,eligibility1,admissionspriority15,grade9swdfilledflag11,auditioninformation6,offer_rate4_2,grade9swdfilledflag9,end_time,grade9swdapplicantsperseat6,girls,requirement_3_4,academicopportunities4,admissionspriority12,offer_rate4_1,prgdesc7,seats9ge1,common_audition4,requirement_1_7,psal_sports_boys,seats1010,admissionspriority18,grade9geapplicantsperseat7,prgdesc3,interest2,admissionspriority22,freshmanschedule,gradespan,requirement_2_1,attendance_rate,requirement_2_9,method2,grade9gefilledflag10,offer_rate1_9,admissionspriority14,interest11,admissionspriority11,seats101,offer_rate2_9,grade9geapplicants10,grade9swdapplicants9,admissionspriority41,auditioninformation7
Boys and Girls High School,Boys and Girls High School ACES 12:1:1 Program,,,N,,,Zoned,,,,,NY,,,Ed. Opt.,2018-19 Final Grades - 40%,,,,,,lgaston2@schools.nyc.gov,,K10E,,2018-19 ELA/Math State Test Scores - 20%,,,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Community School,Dress Code,Extended Day Credit Recovery,Extended Day Program,Health Center,Online Grading System,Orientation,Summer Internships,Summer Orientation,Uniform,Weekend Programs",BROOKLYN,,,36,Open only to Brooklyn students or residents,Guaranteed offer to students who live in the zoned area,,,,,3:19pm,,,,"Community Partnerships: Manhattan Theater Club, Brooklyn Navy Yard (STEAM)",,,,50,,,"Basketball, Cross Country, Football, Handball, Indoor Track, Outdoor Track, Soccer, Tennis, Volleyball",,,,"This program provides students with rigorous academic course-work and a sequence of applied skills in the following career pathways: Electrical Installation, Architecture, Computer Programming, and Theater Arts. Students will have the opportunity to earn an Advanced Regents diploma, pursue industry-recognized credentials and additional industry training, and receive support to enter the workforce.",Humanities & Interdisciplinary,,8:05am-3:19pm,9 to 12,,0.81999999,,Screened,,,,,,0.0,,,,,
Baccalaureate School for Global Education,,,,Y,,,,,,,,NY,,,Screened,,,,,,,30Q580@schools.nyc.gov,,,,,,,,QUEENS,,,26,,,,,,,2:20pm,,,,"Four years of Foreign Language, Mathematics, Science, English, History, Arts/ Technology and Physical Education",,,,86,,,"Basketball, Soccer",,,,,,,8:00am-2:20pm,7 to 12,2018-19 Final Grades - 10%,0.95999998,,,,,,,Priority to continuing 8th graders,0.0,,,,,
East Bronx Academy for the Future,,,,N,,,,,,,,NY,,,Ed. Opt.,,,,,,,information@eastbronxacademy.org,,,,,,,"College Trips,Community School,Extended Day Program,Health Center,Online Grading System,Orientation,Summer Internships,Weekend Programs",BRONX,,,17,,,,,,,2:35pm,,,,,,,,64,,,Tennis,,,,,,,8:15am-2:35pm,6 to 12,,0.82999998,,,,,,,Priority to continuing 8th graders,0.0,,,,,
Central Park East High School,,,,Y,,,,,,,,NY,,,Screened,,,,,,,mmessi@cpe-hs.org,,,,,,,Diversity in Admissions,MANHATTAN,,,8,,,,,,,3:25pm,,,,"SAT Prep classes, Peer Health Exchange, Peer Tutoring",,,,91,,,"Baseball, Basketball, Bowling, Football, Outdoor Track, Soccer, Volleyball, Wrestling",,,,,,,9:05am-3:25pm,9 to 12,2018-19 Final Grades - 40%,0.97000003,,,,,,,Open to New York City residents,0.0,,,,,
Academy for College Preparation and Career Exploration: A College Board School,,,,N,,,,,,,,NY,,,Ed. Opt.,,,,,,,principal@academyforcollegeprep.me,,,,,,,"College Trips,Community Service Expected,Dress Code,Extended Day Credit Recovery,Extended Day Program,Extended Day Tutoring,Extended Year,Health Center,Internship Expected,Internships Available,Online Grading System,Orientation,Summer Bridge,Summer Orientation,Uniform,Weekend Programs",BROOKLYN,,,40,,,,,,,2:20pm,,,,"Brooklyn College Community Partnership after-school and during free time academic support, hands-on creative projects with working artists, college prep and impromptu counseling",,,,67,,,"Baseball, Basketball, Bowling, Cross Country, Football, Indoor Track, Outdoor Track, Soccer, Volleyball, Wrestling",,,,,,,8:00am-2:20pm,6 to 12,,0.85000002,,,,,,,Priority to continuing 8th graders,0.0,,,,,
Columbia Secondary School,,,,Y,,,,,,,,NY,,,Screened,,,,,,,roxanabosch@columbiasecondary.org,,,,,,,"Career and Technical Education (CTE),Dress Code,Extended Day Program,Online Grading System,Orientation",MANHATTAN,,,7,,,,,,,2:26pm,,,,CTE program(s): Engineering,,,,76,,,"Basketball, Rugby, Soccer",,,,,,,8:00am-2:26pm,6 to 12,2018-19 Final Grades - 40%,0.92000002,,,,,,,Priority to continuing 8th graders,0.0,,,,,
Civic Leadership Academy,,,,Y,,,,,,,,NY,,,Ed. Opt.,,,,,,,info@CLAnyc.org,,,,,,,10th Grade Seats Available,QUEENS,,,25,,,,,,,2:40pm,,,,"National Association for Music Education Tri-M Music Honor Society, Saturday English as a New Language program for students and parents",,,,119,,,"Rugby, Table Tennis",,,,,,,8:20am-2:40pm,9 to 12,,0.91000003,,,,,,,Open to New York City residents,1.0,,,,,
Forsyth Satellite Academy,,,,,,,,,,,,NY,,,Transfer,,,,,,,infoforythsatellite@gmail.com,,,,,,,,MANHATTAN,,,1,For Current Eighth Grade Students: Open only to students who will be turning 16 years of age during the upcoming school year and entering high school for the first time. For Current 9th Grade Students: Open only to students who are at least 16 years of age and have attended another high school for at least one year. Students must also successfully complete the school's interview process.,,,,,,,,,,Students are offered paid internships through our Learning to Work Program,,,,,,,Basketball,,,,,,,,9 to 12,,0.54000002,,,,,,,,1.0,,,,,
Brooklyn Democracy Academy,,,,,,,,,,,,NY,,,Transfer,,,,,,,23K643@schools.nyc.gov,,,,,,,10th Grade Seats Available,BROOKLYN,,,42,"Open only to New York City residents who are between 17 and 21 years of age, have been enrolled in high school for at least one year, and have a minimum of 10 high school credits.",,,,,,,,,,Intra/Interdisciplinary courses that allow students to engage in higher level thinking skills and cross-function of standards,,,,,,,Basketball,,,,,,,,9 to 12,,0.63999999,,,,,,,,1.0,,,,,
Epic High School - South,,,,N,,,,,,,,NY,,,Ed. Opt.,,,,,,,Southinfo@epicschoolsnyc.org,,,,,,,"College Trips,Community Service Expected,Dress Code,Extended Day Program,Extended Day Tutoring,Online Grading System,Orientation,Summer Bridge,Summer Orientation",QUEENS,,,28,,,,,,,3:15pm,,,,"Variety of college-level courses and, CUNY College Now, after-school academic intervention programs",,,,68,,,Basketball,,,,,,,8:55am-3:15pm,9 to 12,,0.83999997,,,,,,,Priority to Queens students or residents,0.0,,,,,
Rockaway Park High School for Environmental Sustainability,,,,N,,,,,,,,NY,,,Ed. Opt.,,,,,,,Tdamelio@schools.nyc.gov,,Q36G,,,,,"10th Grade Seats Available,Career and Technical Education (CTE),LYFE (Living For The Young Family Through Education)",QUEENS,,,32,,,,,,,2:20pm,,,,"Partner with College Access for All, overnight college trips, SAT prep, cultural awareness trips.",Priority to Queens students or residents,,,45,,,"Baseball, Basketball, Football, Soccer, Tennis, Volleyball",,,,,Engineering,Then to New York City residents,8:00am-2:20pm,9 to 12,,0.77999997,,Ed. Opt.,,,,,Priority to Queens students or residents,0.0,,,,,
Gotham Collaborative High School,,,,N,,,,,,,,NY,,,Open,,,,,,,admissions@gchs.nyc,,X32B,,,,,"10th Grade Seats Available,College Trips,Extended Day Credit Recovery,Extended Day Program,Extended Day Tutoring,Health Center,Internships Available,Online Grading System,Summer Orientation,Weekend Programs",BRONX,,,18,,,,,,,3:00pm,,,,"College Access: CUNY College Now, Monroe Early College Program, Monroe College Presidential Partnership School, Monroe College Dual Enrollment, AP, frequent college trips (including out-of-state college tours)",Priority to Bronx students or residents,,,85,,,"Baseball, Basketball, Football, Outdoor Track, Soccer",,,,,Humanities & Interdisciplinary,Then to New York City residents,8:00am-3:00pm,9 to 12,,0.80000001,,Ed. Opt.,,,,,Priority to Bronx students or residents,1.0,,,,,
New Design High School,,,,Y,,,,,,,,NY,,,Ed. Opt.,,,,,,,admissions@newdesignhigh.com,,,,,,,"College Trips,Extended Day Credit Recovery,Health Center,Internships Available,Orientation,Summer Bridge,Summer Orientation",MANHATTAN,,,1,,,,,,,3:20pm,,,,Weekly academic and life coaching for all students.,,,,99,,,"Badminton, Baseball, Basketball, Bowling, Handball, Volleyball, Wrestling",,,,,,,9:00am-3:20pm,9 to 12,,0.82999998,,,,,,,Open to New York City residents,0.0,,,,,
Queens Technical High School,Computer Technology and Information Systems,,,Y,,,Cosmetology,,,,,NY,,,Audition,2018-19 Final Grades - 45%,,,,,,24Q600@schools.nyc.gov,,Q68L,,2018-19 ELA/Math State Test Scores - 10%,,,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Community School,Extended Day Program,Extended Day Tutoring,Internship Expected,Multi-Session School,Online Grading System,Orientation,Summer Bridge,Weekend Programs",QUEENS,,,26,,Open to New York City residents,,,,,4:15pm,,,2019-20 Marking Period Grades - 45%,,Open to New York City residents,,,24,,,"Baseball, Basketball, Bowling, Handball, Soccer, Wrestling",,,,"Through six six-week rotations, this program provides students with experience in: Introduction to Barbering, Business, Electrical Installation, Plumbing, Graphic Arts, Cosmetology, and Electronics.",Engineering,,8:30am-4:15pm,9 to 12,,0.92000002,,Screened,,,Open to New York City residents,,Open to New York City residents,0.0,,,,,
DeWitt Clinton High School,Clinton School of Engineering & Computer Science,,,N,,,Visual Art & Design,,,,N/A - new program,NY,,,Ed. Opt.,,,,Performing Arts/Visual Art & Design,N/A - new program,,DWCadmissions@clintonhs.net,,X10H,,,,N/A - new program,"10th Grade Seats Available,College Trips,Community School,Community Service Expected,Dress Code,Extended Day Program,Extended Day Tutoring,Health Center,Internship Expected,Internships Available,LYFE (Living For The Young Family Through Education),Online Grading System,Orientation,Summer Bridge,Summer Internships,Summer Orientation,Weekend Programs",BRONX,,6% of offers went to this group,11,,Priority to Bronx students or residents,,,,,3:20pm,N/A - new program,,,"The Clinton School of Art and Design provides 4 year course sequences in Instrumental, Vocal, Dance, Visual Arts & Graphic Design; with over 15 elective courses",Priority to Bronx students or residents,,"This program offers a 4 yr sequence in the techniques of vocal, modern band, marching band, and music production. They will progress from beginner, intermediate, and advanced levels over the course of four years. Alongside technique, students learn to become vocalists, instrumentalists, and produce music in a real studio. Portfolio elements include: school/ outside performances, guest artist repertory, and stage production experiences. Students are exposed to careers including a modern or marching band performer, educator, and music producer.",59,,,"Baseball, Basketball, Cross Country, Football, Indoor Track, Outdoor Track, Soccer, Swimming, Tennis, Volleyball, Wrestling",,,N/A - new program,"This early college program offers honors-level core subjects, Advanced Placement classes, Syracuse University courses, Lehman College Now, and PLTW courses in Biomedical Science, Engineering, and Computer Science. Students maintain an 85% avg; scholarships are offered to participate pre-college programs at Ivy League Colleges. Free SAT Prep provided. Students take elective courses in Instrumental, Dance, Visual Arts & Graphic Design, and Vocal.",Performing Arts/Visual Art & Design,Then to New York City residents,8:30am-3:20pm,9 to 12,,0.81999999,,Screened: Language,,,Priority to Bronx students or residents,,Priority to Bronx students or residents,1.0,,,,,
City-As-School,,,,,,,,,,,,NY,,,Transfer,,,,,,,,,,,,,,,MANHATTAN,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43000001,,,,,,,,,,,,,
Bronxdale High School,,,,Y,,,,,,,,NY,,,Open,,,,,,,admissions@bronxdalehs.org,,Y53U,,,,,"Career and Technical Education (CTE),College Trips,Community School,Dress Code,Extended Day Program,Health Center,Online Grading System,Summer Internships,Summer Orientation,Weekend Programs",BRONX,,,13,,,,,,,2:44pm,,,,Arts & Electives: Dance with endorsement; Visual and Graphic Arts; Drama Partnerships with organizations across NYC; Campus Band,,,,84,,,"Baseball, Basketball, Bowling, Football, Indoor Track, Lacrosse, Outdoor Track, Soccer, Tennis, Volleyball",,,,,,,8:24am-2:44pm,9 to 12,,0.85000002,,D75 Special Education Inclusive Services,,,,,Priority to Bronx students or residents,0.0,,,,,
"Urban Assembly School for Media Studies, The",,,,N,,,,,,,,NY,,,Ed. Opt.,,,,,,,denisedejesus@uamhighschool.org,,M22Y,,,,,"10th Grade Seats Available,College Trips,Health Center",MANHATTAN,,,6,,,,,,,2:39pm,,,,"Early College Access Program, AP For ALL, John Jay Early College Access Program",,,,95,,,"Badminton, Baseball, Basketball, Bowling, Cross Country, Handball, Outdoor Track, Soccer, Volleyball, Wrestling",,,,,,,8:15am-2:39pm,9 to 12,,0.85000002,,ASD/ACES Program,,,,,Open to New York City residents,1.0,,,,,
Liberation Diploma Plus,,,,N/A - transfer school,,,,,,,,NY,,,Transfer,,,,,,,fjordan4@schools.nyc.gov,,,,,,,"10th Grade Seats Available,College Trips,Extended Day Program,Orientation,Summer Internships",BROOKLYN,,,47,For Current Eighth Grade Students-Open only to students who are at least 15 1/2 years of age and entering high school for the first time. For Other Students-Open only to students who are at least 16 years of age and have attended another high school for at least one year.,,,,,,2:40pm,,,,,,,,25,,,Basketball,,,,,,,8:30am-2:40pm,9 to 12,,0.47999999,,,,,,,,1.0,,,,,
"City Polytechnic High School of Engineering, Architecture, and Technology",,,,Y,,,,,,,,NY,,,Ed. Opt.,,,,,,,admissions@citypolyhs.org,,,,,,,"Career and Technical Education (CTE),Early College",BROOKLYN,1.0,,33,,,,,,,3:05pm,,,,Range of college planning and Work Based Learning experiences that begin in the freshman year,,,,90,,,"Baseball, Basketball, Bowling, Handball, Indoor Track, Outdoor Track, Soccer",,,,,,,8:20am-3:05pm,9 to 14,,0.91000003,,,,,,,Open to New York City residents,0.0,,,,,
"Science Skills Center High School for Science, Technology and the Creative Arts",Humanities and the Arts,,,N,,,Health Professions,,,,,NY,,,Ed. Opt.,2018-19 Final Grades - 40%,,,Computer Science & Technology,6,,13K419@schools.nyc.gov,,K78B,,2018-19 ELA/Math State Test Scores - 20%,,,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Community School,Community Service Expected,Dress Code,Extended Day Program,Extended Day Tutoring,Health Center,Internship Expected,Internships Available,Multi-Session School,Online Grading System,Orientation,Summer Bridge,Summer Internships,Summer Orientation,Uniform,Weekend Programs",BROOKLYN,,,33,,Open to New York City residents,,,,,3:40pm,15,,2019-20 Marking Period Grades - 40%,"Dual Credit Courses- Various Colleges, College Now, CUNY College Now, Law, Organic Chemistry, Psychology, SAT Prep, Drama",Open to New York City residents,,,45,,,"Basketball, Outdoor Track, Soccer",,,,Challenging courses in the field of engineering.,Science & Math,,8:00am-3:40pm,9 to 12,,0.92000002,,Screened,,,Open to New York City residents,,Open to New York City residents,1.0,,,,,
W. H. Maxwell Career and Technical Education High School,,,,N,,,,,,,,NY,,,Ed. Opt.,,,,,,,LValesP@schools.nyc.gov,,K68C,,,,,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Community Service Expected,Dress Code,Extended Day Credit Recovery,Extended Day Program,Internships Available,LYFE (Living For The Young Family Through Education),Online Grading System,Orientation,Summer Bridge,Summer Internships,Summer Orientation,Uniform",BROOKLYN,,,37,,,,,,,3:17pm,,,,Accelerated three year graduation track is available,Open to New York City residents,,,100,,,Basketball,,,,"This program trains students to gravitate towards a career in the salon/spa industry. Upon completion of training, students will be eligible to take the New York State Board Licensing Examination in Nail Technology, Natural Hair Care and Appearance Enhancement, which covers all areas of Cosmetology. While in training, students have an opportunity to practice their skills on clients in the community, work-based experiences and in school.",Health Professions,,7:59am-3:17pm,9 to 12,,0.76999998,,Ed. Opt.,,,,,Open to New York City residents,1.0,,,,,
"High School for Law, Advocacy and Community Justice",,,,N,,,,,,,,NY,,,Ed. Opt.,,,,,,,jvega36@schools.nyc.gov,,,,,,,"10th Grade Seats Available,College Trips,Health Center,Online Grading System,Orientation",MANHATTAN,,,6,,,,,,,2:49pm,,,,"Criminal Law, Constitutional Law, Everyday Law, Forensics, Genetics, Astronomy, Computer Science, Robotics, Pre-Calculus, Honors Level Courses",,,,111,,,"Badminton, Baseball, Basketball, Bowling, Cross Country, Handball, Outdoor Track, Soccer, Volleyball, Wrestling",,,,,,,8:05am-2:49pm,9 to 12,,0.86000001,,,,,,,Open to New York City residents,1.0,,,,,
High School for Violin and Dance,,,,N,,,,,,,,NY,,,Ed. Opt.,,,,,,,jabramo2@schools.nyc.gov,,,,,,,LYFE (Living For The Young Family Through Education),BRONX,,,16,,,,,,,2:30pm,,,,Forensics and Anatomy are offered to Senior students.,,,,85,,,"Baseball, Basketball, Soccer",,,,,,,8:09am-2:30pm,9 to 12,,0.76999998,,,,,,,Priority to Bronx students or residents,0.0,,,,,
CSI High School for International Studies,,,,Y,,,,,,,,NY,,,Open,,,,,,,alentini@schools.nyc.gov,,,,,,,"10th Grade Seats Available,College Trips,Community Service Expected,Dress Code,Extended Day Program,Online Grading System,Orientation,Summer Bridge,Summer Orientation",STATEN IS,,,51,,,,,,,3:45pm,,,,"Strong academic/college prep. with strict policy on timely homework (late work not graded), strong school tone: zero tolerance of student misconduct.",,,,81,,,"Baseball, Basketball, Cross Country, Fencing, Indoor Track, Soccer, Tennis, Wrestling",,,,,,,7:30am-3:45pm,9 to 12,,0.94999999,,,,,,,"Priority to Districts 20, 21, and 31 students or residents",1.0,,,,,
"Boerum Hill School for International Studies, The",,,,N,,,,,,,,NY,,,Screened,2018-19 Final Grades - 40%,,,,,,bhsadmissions@k497.org,,K21B,,2018-19 ELA/Math State Test Scores - 20%,,,"Career and Technical Education (CTE),College Trips,Community Service Expected,Extended Day Program,Extended Day Tutoring,Health Center,Internships Available,Online Grading System,Orientation,Summer Bridge,Summer Internships,Summer Orientation,Weekend Programs",BROOKLYN,,,33,,,,,0% of offers went to this group,,2:35pm,,,,"International school trips to Costa Rica, Canada and France connected to service learning and academic courses",Priority to continuing 8th graders,1% of offers went to this group,,62,,,"Baseball, Basketball",,,,,Culinary Arts,Then to District 15 students or residents,8:15am-2:35pm,6 to 12,2018-19 Final Grades - 40%,0.81,,Screened,,,,,Priority to continuing 8th graders,0.0,,,,Then to New York City residents,
Claremont International High School,,,,N,,,,,,,,NY,,,Screened: Language,,,,,,,09X564@schools.nyc.gov,,,,,,,LYFE (Living For The Young Family Through Education),BRONX,,,16,"Open only to New York City residents living in the continental United States four years or fewer who currently identify as English Language Learners per New York City Department of Education guidelines scoring at the Entering, Emerging, or Transitioning levels on the NYSESLAT, NYSITELL, or LAB-R.",,,,,,3:19pm,,,,,,,,64,,,"Baseball, Basketball, Soccer",,,,,,,8:40am-3:19pm,9 to 12,,0.86000001,,,,,,,,0.0,,,,,
Frank Sinatra School of the Arts High School,Vocal Music,,,Y,,,Performing Arts,,,,,NY,,,Audition,,,,Performing Arts,5,,cmarchetta@schools.nyc.gov,,Q40J,,,,,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Community Service Expected,Extended Day Tutoring,Internships Available,Online Grading System,Orientation",QUEENS,,,26,,Open to New York City residents,,"Students will present two memorized, contrasting, one-minute monologues that must be from published plays (no Internet or original material will be accepted). Students may also be asked to do a ""cold read"" from selected scenes.",,,3:00pm,15,,,Partnership with CUNY College Now and opportunity for students to take college courses,Open to New York City residents,,,23,,,"Baseball, Basketball",,,,"Small group instruction on orchestral and band instruments; jazz and concert bands, advanced wind ensemble, string and symphonic orchestras, chamber music of all instrument families, theory, ear training, music history and keyboard harmony.",Visual Art & Design,,8:10am-3:00pm,9 to 12,,0.92000002,,Audition,,,Open to New York City residents,,Open to New York City residents,1.0,,,,,
Bronx Arena High School,,,,,,,,,,,,NY,,,Transfer,,,,,,,trodriguez@bronxarena.org,,,,,,,10th Grade Seats Available,BRONX,,,17,Open only to New York City residents who are overage and undercredited and are entering high school for the first time. Students must also successfully complete the school's interview process.,,,,,,,,,,Customized coursework based on your needs & interests,,,,,,,,,,,,,,,9 to 12,,0.52999997,,,,,,,,1.0,,,,,
