code1,method1,academicopportunities1,program4,grade9geapplicantsperseat1,end_time,grade9geapplicantsperseat8,bus,seats9ge3,requirement3_6,directions5,admissionspriority51,neighborhood,program10,applicants4specialized,interest2,admissionspriority64,seats9swd7,grade9geapplicants5,eligibility2,grade9geapplicants6,admissionspriority63,seats9swd2,requirement4_4,admissionspriority14,international,interest9,common_audition4,prgdesc3,admissionspriority37,requirement6_3,building_code,program8,code6,grade9swdapplicantsperseat1,requirement5_5,requirement4_7,seats9swd3,seats1specialized,requirement3_1,program6,requirement1_8,grade9swdapplicants7,requirement5_4,prgdesc2,subway,ell_programs,grade9geapplicantsperseat2,requirement1_5,interest6,common_audition7,grade9geapplicants1,program7,requirement2_4,admissionspriority33,grade9gefilledflag10,prgdesc7,grade9swdapplicantsperseat6,primary_address_line_1,grade9geapplicants9,method6,grade9swdfilledflag2,overview_paragraph,program3,seats9ge1,school_email,academicopportunities3,grade9gefilledflag3
h55A,Limited Unscreened,iLearnNYC: Program for expanded online coursework and self-paced learning,,4.0,3:40pm,,"Bx11, Bx27, Bx36, Bx4, Bx4A",,,,,West Farms-Bronx River,,,,,,,,,,,,,,,,,,,X420,,,3.0,,,,,,,,,,,6 to Elder Ave,English as a New Language,,,,,363.0,,,,,,,1300 Boynton Avenue,,,,"Our mission at The Metropolitan Soundview High School is to educate and cultivate students who will excel academically, demonstrate a sense of civic responsibility, and manifest respect for their community, their natural environment, and the people they encounter from all walks of life. By participating in a college preparatory curriculum, adding community service, and a demanding physical fitness program, the school nurtures well-rounded young adults. We will prepare our graduates to be lifelong learners and productive citizens.",,86.0,efrias@schools.nyc.gov,"Double literacy and mathematics classes, Collins Writing, Culture of Respect and Responsibility, Advisories",
X07R,Limited Unscreened,Validus holds a mock Regents to prepare students for the January and June exams. Results determine strengths and areas for improvement.,,5.0,2:40pm,,"Bx11, Bx15, Bx17, Bx21, Bx32, Bx41, Bx41-SBS",,,,,Claremont-Bathgate,,,,,,,,,,,,,,,,,,,X970,,,5.0,,,,,,,,,,,,English as a New Language,,,,,345.0,,,,,,,1595 Bathgate Avenue,,,,"Validus Preparatory Academy is a small, NYC DOE public high school, serving students in grades 9Â–12. Our mission is to provide students with an education that empowers them academically, socially, and economically, with an emphasis on careers in the healthcare profession. Validus offers a rigorous curriculum, leading to New York State Regents and Local diplomas. Some of the colleges and universities our graduates attend include Vanderbilt, Syracuse, NYU, Boston College, UMass, SUNY Binghamton, Brandeis, and Borough of Manhattan Community College. We serve a diverse student body, supported by a safe, inclusive, character-building environment. Parents are engaged as well, participating in active forums for input on substantive issues.",,65.0,CHibber@schools.nyc.gov,Credit Recovery for students to make up for shortfalls in required courses.,
K73A,Ed. Opt.,"El Puente, CUNY College Now courses, Public Service Learning, Honors Classes, Drama, Arts",,4.0,2:45pm,,"B15, B38, B46, B47, B52, B54, B60, Q24",,,,,Bushwick,,,,,,,,,,,,,,,,,,,K913,,,5.0,,,,,,,,,,,J to Kosciusko St; M to Central Ave; Z to Myrtle Ave,English as a New Language,,,,,387.0,,,,,,,1155 Dekalb Avenue,,,,"EBC High School for Public ServiceÂ–Bushwick is a small school focused on individual excellence, high academic standards, and service to the community. We have an educational culture that instills respect, self-discipline, and strong intellectual values. At EBC, students are offered the opportunity to serve their community and are supported by our staff through an advisory program. Students, staff, and parents/guardians thrive in a school that values personalization in education and prepares students for college and life after high school while nurturing and empowering students to serve as tomorrowÂ’s leaders today!",,105.0,32k545@schools.nyc.gov,,
M64A,Screened,Free college courses at neighboring universities,,19.0,,,"BM1, BM2, BM3, BM4, BxM10, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M14A, M14D, M15, M15-SBS, M2, M20, M23, M3, M5, M7, M8, QM21, X1, X10, X10B, X12, X14, X17, X2, X27, X28, X37, X38, X42, X5, X63, X64, X68, X7, X9",,,,,Chelsea-Union Sq,,,,,,,,,,,,,,,,,,,M868,,,9.0,,,,,Attendance and Punctuality,,,,,,"1, 2, 3, F, M to 14th St - 6th Ave; 4, 5, L, Q to 14th St-Union Square; 6, N, R to 23rd St",English as a New Language,,,,,1515.0,,,,,,,10 East 15th Street,,,,"Students who are prepared for college must have an education that encourages them to take risks as they produce and perform. Our college preparatory curriculum develops writers and has built a tight-knit community. Our school develops students who can think analytically and write creatively. Our arts programming builds on our 25 years of experience in visual, performing arts and music on a middle school level. We partner with New Audience and the Whitney Museum as cultural partners. We are a International Baccalaureate (IB) candidate school that offers opportunities to take college courses at neighboring universities.",,80.0,admissions@theclintonschool.net,,
K55C,Limited Unscreened,Students participate in the Leadership-Cadet meetings on Friday evenings; We offer Robotics/Pre-Engineering.,,16.0,2:30pm,,"B13, B26, B38, B52, B54, B60, Q55, Q58",,,,"Then to Districts 24, 30 and 32 students or residents",Bushwick,,,,,,,,,,,,,,,,,,,K554,,,11.0,,,,,,,,,,,"L, M to Myrtle Ave-Wyckoff Ave",English as a New Language,,,,,809.0,,,,,,,321 Palmetto Street,,,,We educate students from grades six through twelve. All students wear a school uniform and participate in the Leadership Cadet Program. Our school culture is built on respecting others and our mission is to challenge the minds of our students each day both in and out of class. We expect our students to develop career goals and to cultivate the leadership traits and principles that are taught during the Leadership Cadet Program on Friday evenings.,,52.0,,Video/Photography: Digital Formatting (Saturday elective),
X11X,Limited Unscreened,iLearnNYC: Program for expanded online coursework and self-paced learning,,15.0,3pm,,"Bx1, Bx15, Bx17, Bx19, Bx2, Bx21, Bx32, Bx33, Bx4, Bx41, Bx41-SBS, Bx4A",,,,Then to New York City residents,Mott Haven-Port Morris,,,,,,,,,,,,,,,,,,,X149,,,13.0,,,,,,,,,,,"2, 5 to 3rd Ave-149th St ; 4 to 138th St - Grand Concourse ; 6 to 3rd Ave - 138th St",English as a New Language,,,,,1065.0,,,,,,,360 East 145th Street,,,,"In collaboration with the College Board, our school assists students in mastering a challenging curriculum, guiding them to college entrance, and preparing them for success. Through exposure to state-of-the-art instruction and support, in a respectful and welcoming environment, students are inspired to set the highest academic standards and career goals for themselves. Our students learn to think critically, communicate effectively, and be open to new experiences. They are trained to become lifelong learners who are receptive to a wide range of ideas and beliefs. In turn, a strong school communityÂ—families, teachers, and staff equally committed to these high idealsÂ—supports our students and provides a solid foundation for their success.",,73.0,EFlanag2@schools.nyc.gov,"New York City Connected Learning, PENCIL, SUPA (Syracuse University Project Advancement), College credit bearing courses for advanced students",
Q76A,Limited Unscreened,"CUNY College Now at Queens College; Science Technology Entry Program (STEP) Academy at Baruch College, New York University, and St. John's University",,9.0,2:50pm,,"Q29, Q38, Q53, Q58, Q72",,,,,Elmhurst,,,,,,,,,,,,,,,,,,,Q744,,,9.0,,,,,,,,,,,7 to Junction Blvd,English as a New Language,,,,,1041.0,,,,,,,45-10 94th Street,,,,"Civic Leadership Academy is a small school offering a challenging academic program with the goal of every student going to college. Our high expectations and focus on strong work habits, combined with an emphasis on critical reading, writing, and thinking skills, promote college and career readiness. The learning environment is highly personalized and supported by a dedicated and caring staff. Our curriculum is enhanced by a focus on community service, which gives students opportunities to discover their place in the world and their capacity to make a difference in their communities. We encourage parents to take an active role in helping us reach the goal of every student going to college.",,120.0,info@CLAnyc.org,"Lunch Tutoring, National Honor Society (NHS); Music, Art, and Dance Programs; New York State School Music Association (NYSSMA) Competition",
X77R,Limited Unscreened,Double literacy and mathematics classes,,6.0,4pm,,"Bx11, Bx17, Bx19, Bx21, Bx27, Bx35, Bx4, Bx4A, Bx5, Bx6",,,,,Longwood,,,,,,,,,,,,,,,,,,,X099,,,5.0,,,,,,,,,,,"2, 5 to Simpson St",English as a New Language,,,,,407.0,,,,,,,1180 Rev. J.A. Polite Ave.,,,,"Metropolitan High School is a small learning community with the goal of preparing citizens for the future. Our team of dedicated teachers and staff are committed to creating a safe and nurturing environment where every student participates in engaging and invigorating instruction. We have a strict discipline code, a school uniform, community partnerships, and supportive staff to create a safe learning culture where all students can graduate with confidence knowing they can be successful beyond high school.",,65.0,mnarayanan@schools.nyc.gov,Culture of Respect and Responsibility,
M73A,Limited Unscreened,CTE program(s) in: Information Technology,,6.0,2:50pm,,"BM1, BM2, BM3, BM4, BxM18, M103, M15, M15-SBS, M22, M5, M9, QM11, QM25, QM7, QM8, X1, X10, X10B, X11, X12, X14, X15, X17, X17A, X19, X2, X27, X28, X3, X4, X42, X5, X8",,,,,Chinatown,,,,,,,,,,,,,,,,,,,M520,,,6.0,,,,,,,,,,,"1 to Chambers St ; 2, 3, A, C to Fulton St-Broadway-Nassau ; 4, 5, 6, J, Z to Brooklyn Bridge - City Hall ; E to Park Place ; N, Q to Canal St ; R to City Hall",English as a New Language,,,,,586.0,,,,,,,411 Pearl Street,,,,"Through close partnerships with the Borough of Manhattan Community College (BMCC) and with the advertising and media industry, our school prepares students for success at four-year colleges and competitive careers. Students have the option to remain at our school for up to six years and can earn an Associate Degree at no cost in addition to their CTE-endorsed high school Regents diploma. In the first four years, students participate in job shadowing, field trips, training seminars, and summer internships. All of our community members are accountable for our five pillars: Scholarship, Creativity, Character, Responsibility, and Empathy. Students are held to high standards and expected to participate in the development of our community.",,93.0,Info@meca-nyc.org,Professional mentor program; Small advisory groups led by faculty mentors; Microsoft Office Specialist Certifications,
L56A,Limited Unscreened,"Community Activism, Service Activities, Advisory, College-level curriculum beginning in the ninth grade",,2.0,3:20pm,,"B13, Q56",,,,,Cypress Hills,,,,,,,,,,,,,,,,,,,K420,,,2.0,,,,,,,,,,,"J, Z to 75th St Â– Elderts Lane",English as a New Language,,,,,158.0,,,,,,,999 Jamaica Avenue,,,,"CHCP is a community built on high expectations for instruction with a well-structured and adaptive curriculum to meet the social and emotional needs of scholars. StudentsÂ’ voices, rigorous instruction, and collaboration with all stakeholders creates a safe, nurturing environment that fosters scholarsÂ’ civic and academic excellence. Collaboration amongst CHCPÂ’s educators, parents, and community groups supports learning so that scholars stay engaged, stay in school longer, and enjoy their school experience. CHCP is a small learning community where scholars are known as individuals and receive a personalized education based on inquiry, problem solving and reflection.",,90.0,eguy2@schools.nyc.gov,,
X65A,Limited Unscreened,CTE program(s) in: Law Academy,,2.0,2:20pm,,"Bx5, Bx6",,,,,Castle Hill-Clason Point,,,Law & Government,,,,,,,22.0,,,,,,,,,X972,,,2.0,,,,,,,,,,"This program helps students explore careers in the legal and political fields while strengthening their reading, writing and public speaking skills. Our Law Academy program creates a learning environment committed to community and character development.",6 to Whitlock Ave,English as a New Language,1.0,,,,46.0,,,,,,,1440 Story Avenue,,,N,"The Felisa RincÃ³n de Gautier Institute for Law and Public Policy helps students explore careers in the legal and political fields while strengthening their reading, writing, and public speaking skills. Our academic program encourages depth of study and creates a learning environment committed to community and character development. We have a real-world and culturally relevant curriculum that sponsors collaborative partnerships for learning. Students have the opportunity to become involved in college level classes, mentoring, community service projects, and internships.",,24.0,glaboy@schools.nyc.gov,"The Sonia Sotomayor Honors Instructional Program (HIP), Computer Forensics, Forensic Science, Crime Scene Investigation",
Q31 J,Ed. Opt.,"Students have a myriad of academic opportunities at Wagner including but not limited to art classes which include Drawing, Drama, and Digital Arts.",,11.0,2:51pm,,"B24, B62, Q100, Q101, Q102, Q32, Q39, Q60, Q67, Q69",,,,,Hunters Point-Sunnyside,,,Humanities & Interdisciplinary,,,,,,,4.0,,,,,,,,,Q891,,,11.0,,,,,Writing Exercise,,,,,See above description.,"7 to 33rd St; E, M, R to Queens Plaza; G to Court Sq Â– 23rd St",English as a New Language,,,,,1120.0,,,,,,,47-07 30th Place,,,,"Our school is known for being academic, artistic, and athletic while providing a warm and welcoming community. Our teachers meet weekly in either grade teams or departments to create rich and meaningful experiences for students. All students have a CORE teacher responsible for monitoring their academic and social/emotional progress. We have a partnership with College Bound Initiatives (CBI) which provides our students and families with a full-time college counselor. Come to a place where people know you well and are dedicated to supporting your future goals. Many of our staff members have been here for more than 10 years and our graduates often come back and visit. Be a part of the Wagner family!",,101.0,svu@schools.nyc.gov,Year-long introductory courses in Arts and Technology for ninth graders; Student Government Association,
Q07R,Limited Unscreened,"Technology, Microsoft Office and Adobe Certification, Coding, Graphic Design, Advisory, College and Career Counseling",,5.0,3:30pm,,"B62, Q100, Q101, Q102, Q32, Q39, Q60, Q66, Q67, Q69",,,,,Hunters Point-Sunnyside,,,,,,,,,,,,,,,,,,,Q735,,,6.0,,,,,,,,,,,"7 to 33rd St ; E, M, R to Queens Plaza ; G to Court Sq - 23rd St ; N, Q to Queensboro Plaza",English as a New Language,,,,,465.0,,,,,,,30-20 Thomson Avenue,,,,"The High School of Applied Communication is committed to developing a productive learning environment that fosters meaningful and respectful collaboration among students, staff, parents and guardians, and the community in order to achieve common goals. With a strong focus on promoting literacy and communication skills across the curriculum, instruction is delivered through an individualized, standards-based, and authentic learning program. Routines, active engagement, and opportunities to apply new knowledge characterize all the classes, supporting a culture of responsibility, citizenship and self-directed, lifelong learning.",,92.0,24Q267@schools.nyc.gov,,
M17J,Screened,College Prep Support Courses such as Freshman as well as Junior Seminar and Research Literacy,,23.0,3:15pm,,"BxM1, BxM11, BxM2, BxM3, BxM4, M1, M101, M102, M103, M106, M15, M15-SBS, M2, M3, M4, M96, M98",,,,,East Harlem South,,,,,,,,,,,,,,,,,,,M495,,,21.0,,,,,Attendance and Punctuality,,,,,,6 to 103rd St,English as a New Language,,,,,1746.0,,,,,,,230 East 105th Street,,,,"Our motto is Â“Purpose, Preparation, Pride.Â” Our mission is to educate all students to be critical thinkers who research, solve problems, express ideas in writing, provide evidence to support arguments, and read challenging texts. Our students graduate prepared for college. Our classes and highly structured four-year advisory system help students develop individual and social responsibility by setting the highest personal and academic standards. Our students acquire a set of values and a sense of kinship that allows them to reach ambitious goals. We develop rich, caring, and warm relationships with our students through our bustling sports and after-school programs. Our students are welcomed and valued members for our school community.",,77.0,"Medmonds@schools.nyc.gov, AP",Full-time librarian; Small class size of 19 students; CUNY College Now (eleventh and twelfth grade); Engaging courses: Anatomy,
X19A,Limited Unscreened,Students complete Performance-Based Assessment Tasks (PBATs) as a replacement for some Regents Exams.,,7.0,3:23pm,,"Bx1, Bx10, Bx16, Bx2, Bx22, Bx26, Bx28, Bx30, Bx34, Bx38, BxM3, BxM4",,,,,Van Cortlandt Village,,,,,,,,,,,,,,,,,,,X440,,,6.0,,,,,,,,,,,"4 to Mosholu Parkway ; B, D to Bedford Park Blvd",English as a New Language; Transitional Bilingual Education: Spanish,,,,,610.0,,,,,,,100 West Mosholu Parkway South,,,,"Bronx Collaborative students are academic detectives, bringing New York CityÂ’s unique resources and rich history into the classroom to investigate and solve real-world challenges. Teachers connect students with community leaders, organizations, and professionals to collaborate on exciting projects. These real-world teamwork experiences offer students feedback that prepares them for success in college and careers. Teachers and counselors know our families, recognize studentsÂ’ talents, and support their needs from the first day of school to graduation. We prepare students for success after high school with special attention to preparing for four-year colleges. Restorative practices and social justice are key features of the school activities.",,86.0,newstudentinfo@bxchs.org,Faculty create custom courses such as Food Chemistry and Sports Algebra in all core subjects based on personal expertise and hands-on experience.,
L53A,Limited Unscreened,Performance major: Acting-movement and voice; Students explore theatrical literature and work on ensemble building and public speaking skills,,5.0,2:20pm,,"B13, B14, B15, B20, BM5, Q7, Q8",,,,,East New York,,,Performing Arts,,,,,,,9.0,,,,,,,,,K218,,,6.0,,,,,,,,,,"Students gain artistic confidence by engaging in and learning about technical theater, stagecraft, designing and creating scenery, costume design, lighting, make-up, special effects, and basic drafting skills. Students actively participate in preparing the schoolÂ’s main stage productions.","A, C to Euclid Ave",English as a New Language,2.0,,,,240.0,,,,,,,370 Fountain Avenue,,,N,"We offer a challenging academic curriculum that emphasizes classical literature, academic writing, technology, and self-expression through the performing arts. Our students have the opportunity to master all aspects of performing arts production, including acting, public speaking, stage production, costume design, set design, lighting, production management, and marketing. SMART Boards and student laptops are used in daily instruction. The bi-weekly advisory/college readiness program allows students to work collaboratively and develop strong communication skills. Students attend classes in our fully equipped, state-of-the-art science, and computer labs, which they can also access after school.",,45.0,schoolforclassics09@gmail.com,"Dance major: Training, history, and techniques of dance culminating in a dance portfolio",
L74A,Limited Unscreened,The Learning to Work partner for Metropolitan Diploma Plus High School is New York City Mission Society.,,,,,"B15, B35, B60, B8",,,,,Brownsville,,,,,,,,,,,,,,,,,,,K275,,,,,,,,,,,,,,L to New Lots Avenue followed by B15; 3 to Rockaway Avenue followed by B60 ,English as a New Language,,,,,,,,,,,,985 Rockaway Avenue,,,,"Metropolitan Diploma Plus High School is a learning community where adults are committed to supporting studentsÂ’ potential as they reconnect to education and embark on paths filled with opportunity. Through collaboration with New York City Mission Society, students can participate in real-world experiences that provide challenges, knowledge, choice, and positive outcomes. Students engage in learning experiences to improve college and career readiness skills. Youth development and leadership play an important role as students re-engage in high school.",,,myallowitz@schools.nyc.gov,"College Trips, Targeted instruction across all content areas",
Y52A,Screened: Language,"Creative Friday Afternoons: Visual Arts, Fashion Design, Sculpture, Piano, Guitar, Chorus, African Dance, Hip-Hop, Yoga, Tae Kwon Do",,4.0,3:22pm,,"Bx12, Bx12-SBS, Bx26, Bx39, Bx8, BxM11",,,,,Bronxdale,,,,,,,,,,,,,1.0,,,,,,X415,,,2.0,,,,,,,,,,,"2, 5 to Pelham Parkway",English as a New Language,,,,,321.0,,,,,,,925 Astor Avenue,,,,"The High School of Language and Innovation seeks students who have big ideas, enjoy working in teams, and love learning languages. We teach many students who are new to the country. For this reason, our schoolÂ’s student body speaks languages including Spanish, Arabic, Urdu, Bengali, French, Albanian, Wolof, and more! Students learn self-discipline, responsibility, and respect in every class. They are encouraged to speak up, challenge each other, and study at a college level.",,86.0,info@languageandinnovation.org,"Learning CulturesÂ® instructional model, which emphasizes collaborative learning and student choice",
L50A,Limited Unscreened,CTE program(s) in: Law and Public Service,,2.0,2:30pm,,"B103, B17, B42, B6, B60, B82, BM2",,,,,Canarsie,,,,,,,,,,,,,,,,,,,K500,,,3.0,,,,,,,,,,,L to Canarsie Â– Rockaway Pkwy,English as a New Language,,,,,195.0,,,,,,,1600 Rockaway Parkway,,,,"All students graduate equipped with the knowledge, skills, and personal choices to pursue college and professional careers in public service. Our graduates serve as public ambassadors who take action in their community, city, and nation. We are a proud AVID school that offers a variety of college level classes beginning in ninth grade. Students enjoy our partnerships with the Justice Resource Center (JRC), Momentum Teens, and several colleges. Students in all grades attend CUNY College Now and Smart Scholars classes after school and on weekends. Students in all grades participate in moot court and mock trial at Fordham University. Our goal is to extend these offerings to 80 to 110 students annually by 2017.",,90.0,NChinebuah@schools.nyc.gov,"Electives in Law, Business and Community Activism; Daily Advisory Classes; Weekly Town Hall Meetings",
X08R,Limited Unscreened,iLearnNYC: Program for expanded online coursework and self-paced learning,,4.0,3:30pm,,"Bx11, Bx17, Bx19, Bx21, Bx36",,,,,Crotona Park East,,,,,,,,,,,,,,,,,,,X098,,,4.0,,,,,,,,,,,"2, 5 to 174th St",English as a New Language,,,,,311.0,,,,,,,1619 Boston Road,,,,"Our school offers a unique program that involves the participation of experts in various fields who work with our students in project-based learning at cultural institutions and colleges. Beginning in grade ten, students take high school classes on college campuses. In grade eleven, students may become eligible to register for college courses.",,86.0,krodriguez10@schools.nyc.gov,"Peer Tutoring, Honors Classes, MOUSE Tech Team, Online credit recovery classes",
Q22A,Ed. Opt.,"CTE program(s) in: Arts, A/V Technology & Communication, Information Technology",,6.0,2:05pm,,"B32, B62, Q100, Q101, Q102, Q103, Q32, Q39, Q60, Q66, Q67, Q69",,,,,Hunters Point-Sunnyside,,,,,,,,,,,,,,,,,,,Q725,,,8.0,,,,,,,,,,,"7, E, G, M to Court Sq - 23rd St ; F to 21st St - Queensbridge ; N, Q to Queensboro Plaza ; R to Queens Plaza",English as a New Language,,,,,1244.0,,,,,,,21-16 44th Road,,,,Information Technology High School (ITHS) is a state-of-the-art high school dedicated to preparing students to meet the demands of the 21st century. Technology is our chief focus and is offered as a specialty area of learning. Our goal is to ensure that all our graduates will be college-ready with the skills necessary to succeed in tomorrowÂ’s world of work.,,195.0,msolomon@schools.nyc.gov,"Certifications presently offered: Adobe Certified Expert (ACE), Apple Certified Macintosh Technician (ACMT).",
K45A,Screened,"Saturday Academy and PM School (provide students with test prep); Tutorial, Credit Recovery, Art",,8.0,3pm,,"B15, B20, B6, B83, B84, BM5",,,,,East New York,,,,,,,,,,,,,,,,,,,K819,,,9.0,,,,,Attendance and Punctuality,,,,,,3 to Van Siclen Ave,English as a New Language,,,,,525.0,,,,,,,2057 Linden Boulevard,,,,"Our educational philosophy is based upon the growth of kindness, curiosity, and critical thinking, traits necessary for achievement in higher education, the professional world, and one's personal life. Ninety-minute periods, average class size of twenty one, and a dedicated group of teachers create a learning experience that motivates and challenges our students. We offer an accelerated Regents program that provides students the opportunity to complete all required Regents exams by the end of sophomore year. Many of our students choose to complete Advanced Regents diplomas, advanced coursework, and examinations that better prepare them for a college education upon graduation.",,63.0,ayard3@schools.nyc.gov,Students have the opportunity to complete a foreign language sequence that will lead to an Advanced Regents diploma,
Q70A,Ed. Opt.,iLearnNYC: Program for expanded online coursework and self-paced learning,,2.0,2:30pm,,"Q20A, Q20B, Q25, Q34, Q46, Q64, Q65, QM1, QM4, QM5, QM6, QM7, QM8",,,,,Kew Gardens Hills,,,,,,,,,,,,,,,,,,,Q707,,,3.0,,,,,,,,,,,,English as a New Language,,,,,300.0,,,,,,,75-40 Parsons Boulevard,,,,"This is a small, college preparatory high school that offers Honors, Advanced Placement (AP), and ICT classes. Our College Head Start Program enables students to earn college credits in 11th and 12th grades. We provide a challenging academic curriculum, Smartboards, computer labs, comprehensive student activities, and personalized counseling program. RFK provides students with an extensive array of Academic Intervention Services, including: Extended Day Instruction, Saturday Academy, Free SAT Prep Courses, Saturday ELL Academy, Saturday and After-School College Advisement, and Saturday and After-School Regents Preparation. Students of Robert F. Kennedy Community High School are required to complete 50 hours of community service.",,148.0,babdell@schools.nyc.gov,"CUNY College Now at RFK Campus-Queensborough Community College, Advanced Art, Digital Photography, Computer Applications, Web Design",
M65R,Limited Unscreened,"Courses such as Law & Ethics, Forensics, and Public Speaking in addition to courses that prepare them for a Regents or Advanced Regents Diploma",,10.0,3:45pm,,"B39, M103, M14A, M14D, M15, M15-SBS, M21, M22, M9",,,,Then to Manhattan students or residents,Chinatown,,,,,,,,,,,,,,,,,,,M445,,,8.0,,,,,,,,,,,"B, D to Grand St ; F, J, M, Z to Delancey St-Essex St",English as a New Language,,,,,647.0,,,,,,,350 Grand Street,,,,"At The Urban Assembly Academy of Government and Law (AGL), we are preparing students to be successful in life beyond high school. As a college and career readiness high school, and a school that promotes social justice, we are committed to ensuring that all students are matched with a post graduation opportunity. Through our law and government theme, we provide students with real-life and hands-on experiences that equip them with the academic and social skills needed for their next step in life. At AGL, we are planting the seeds for future success.",,68.0,contact@uaagl.org,Advanced students can take Advanced Placement (AP) courses and CUNY College Now courses to earn college credit,
Q16A,Ed. Opt.,"DaVinci Science and Math Institute, Mentor Law and Humanities Institute, Journalism and Media Studies, Performing Dance",Performing Dance,28.0,4pm,,"Q27, Q30, QM5, QM8",118.0,,,,Oakland Gardens,,,Communications,,,,Open only to Queens students or residents,,,26.0,Audition,,,,,The DaVinci Program offers four years of Honors level and AP Math and Science courses along with research opportunities and competitions.,,,Q415,,,10.0,,,2.0,,,,,,Honors/Accelerated coursework in Math/Science,,,English as a New Language,14.0,,,,3206.0,,"Standardized Test Scores: English Language Arts (1.9-4.5), Math (1.9-4.5)",,,,,57-00 223rd Street,,,Y,"We are a school of excellence and a school with a heart. College and career preparation for all students is our goal. We offer intensive writing instruction, many advanced and specialty courses, and extensive athletic, arts, and extracurricular programs.",DaVinci Science/Math Research Institute,115.0,gmartor@schools.nyc.gov,"Mock Trial, Senior Thesis, Creative Writing, Play Production, Media Studies, Band, Orchestra, Chorus, Guitar",Y
Q10A,Ed. Opt.,CTE program(s) in: Law and Public Safety,Media & Communication Arts Institute,3.0,2:45pm,,"Q11, Q112, Q21, Q37, Q41, Q52, Q53, Q7, QM15",86.0,Attendance and Punctuality,,,South Ozone Park,,,Humanities & Interdisciplinary,,5.0,187.0,,258.0,,16.0,,Open to New York City residents,,,,Includes approved curricula in Medical Laboratory Assisting and a new curricula in Sports Medicine.,,,Q480,Zoned,Q10F,4.0,,,16.0,,,S.T.E.M. Academy,,25.0,,"Prepares students for careers in social sciences, law, and international relations. Students will participate in Model UN, Moot Court, and Mock Trial.",A to 104th St-Oxford Ave,"English as a New Language; Transitional Bilingual Education: Bengali, Spanish",2.0,,Computer Science & Technology,,194.0,Art History & Fine Arts,,,,"There are three tracks to the fine arts program: art history (includes visual arts), theater, and technical music. Students take the three-year Art Regents exam. Music students also have the opportunity to participate in New York State School Music Association (NYSSMA) activities while developing their instrumental and vocal skills.",7.0,101-01 Rockaway Boulevard,,Screened,N,"As a large school, students can choose from a broad array of Advanced Placement (AP) and CUNY College Now classes, numerous electives in expanding technology, science, writing, art, and music programs, more than thirty athletic teams, clubs, and extracurricular activities. We have eight Small Learning Communities, each with its own area of focus led by staff who work with the same group of students for all four years. We prepare all students for college and career, supported by partners such as CEI-PEA, York College, and New York City College of Technology. We have upcoming partnerships with SUNY Albany and are a candidate for the International Baccalaureate Program. We have adopted a PBIS Framework to promote a positive school culture.",Medical and Fitness Careers,58.0,MPanindranauth@schools.nyc.gov,"Each Small Learning Community has roughly 300 students, with its own director and guidance counselor team",N
R60A,Ed. Opt.,"CTE program(s) in: Architecture and Construction, Information Technology, Manufacturing Production, Marketing, Sales & Service",Graphic Design,4.0,2:35pm,,"S40, S42, S44, S46, S48, S51, S52, S61, S62, S66, S74, S76, S78, S81, S84, S86, S90, S91, S92, S94, S96, S98",22.0,,,,New Brighton-St. George,,,Computer Science & Technology,,6.0,82.0,,116.0,,14.0,,Open to New York City residents,,,,"Students become proficient in Cisco to take the Cisco Certified Networking Associate Exam (CCNA)Â—successful completion of this program prepares students for computer repair and maintenance, network design, and infrastructure support to install computer connections, program routers, and maintain computer networks. Internships partners include ASI, Digital Edge, and State Senator Diane Savino.",,,R600,,R60P,6.0,,,6.0,,,Automotive Technology,,43.0,,"The Software Engineering program (SEP) will give students training and experience in coding. The SEP core topics are Python, Scratch, HTML, CSS, processing, and Java. Additional programming electronics and robotics skills are learned with Arduino, and LEGO robotics. Within robotics, students learn LEGO Mindstorms, EV3, and digital fabrication. Within 3-D printing using Makerbot, students learn Flash, animation, and Action Script. Internship partners include NYC DIIT and Ernst & Young.",SIR to St George,English as a New Language,4.0,,Computer Science & Technology,,117.0,Construction/Carpentry,"Standardized Test Scores: English Language Arts (1.9-4.5), Math (1.8-4.5)",,,"Integrated program that leads to industry based certification. Students are prepared for entry-level positions in construction trades. Curriculum includes carpentry and mechanical construction and CNC Router and MasterCam production. Students are prepared for college and industry positions. Internship partners include E.B. Pritchard Architecture & Glass, Millers Tug and Barge, NYC Division of School facilities, Scaran HVAC, and RGM Signs.",5.0,290 St Marks Place,,Ed. Opt.,Y,"McKee prepares you for college, career, and life. Here, you learn more, whether your dream is to design the most iconic building in New York City or join the Local 20. At McKee, we have small classes, committed faculty, secure grounds, and sophisticated technology. We provide you with the knowledge, study habits, resources, and guidance to attend college and shine once you do. We equip you with skills and certifications to start your career in fields like construction, drafting, electrical engineering, graphic arts, and software engineering. We teach you to think for yourself. We know you Â– your name, where you are from, how you learn, where you struggle Â– and you will never be just a number. Remember Â– McKee: College, Career, and Life.",Computer Systems Networking,27.0,SHenry2@schools.nyc.gov,Scholars Institute: Honors Courses,N
