fax_number,ell_programs,shared_space,extracurricular_activities,priority01,diplomaendorsements,census_tract,school_email,partner_financial,council_district,expgrade_span_max,partner_hospital,end_time,priority04,number_programs,addtl_info1,partner_cultural,partner_highered,bin
718-575-1366,ESL,Yes,"American Classic League Honor Awards Society, Archon Student Service Honor Society, Arista National Honor Society, Art Shows, Brain Bee, The Classic School Newspaper, Consultative Council, Crimson and Gold Yearbook, Festival of Nations, Freshman Grade Leaders, The Journal of Science Research, Junior Grade Leaders, Math Team, Mock Trial, Model United Nations, Moot Court; Mu Alpha Theta Honor Society, New York City Science & Engineering Fair and Junior Science & Humanities Symposium, NYC & NYS History Day, NYS Science Honor Society, Quantum Cat Literary/Science Magazine, The Phoenix Literary/art magazine, School Play, Science Olympiad Team, Senior Council, SING, Sophomore Grade Leaders, Spring Concert, Student Government; More than 25 clubs including: Amnesty International, Anime, Chess, Creative Writers’ Workshop, Drama, Free the Children, Glamour Gals, Glee Club, Jewish Culture, Key Club, Knitting, Latin Dance, Muslim Student Association, Photography, Red Cross, Seekers, GSA, Robotics, PAWS, Society for the Preservation of the Earth",Open to New York City residents,,809.0,admissions@thhs.qc.edu,,24.0,,North Shore-Long Island Jewish Hospital,3:05 PM,,1,iLearnNYC: Program for expanded online coursework and self-paced learning,"Whitney Museum, Museum of Modern Art (MoMA), The Metropolitan Museum of Art, New-York Historical Society, 92nd Street Y, Theatre Development Fund, Repertorio Espanol, Japan-America Society, New York Pops, Studio in a School, Aaron Copland School of Music, Arts Connection, New York Philharmonic","Queens College, Hofstra University, Hunter College, Pratt Institute, The Cooper Union for the Advancement of Science and Art, York College, Taft Institute for Government at Queens College, Queensborough Community College, NYU Langone Medical Center, Weill-Cornell Medical College of Cornell University",4538714.0
212-831-5206,ESL,Yes,"Peer Mentoring, Young Women's Leadership Club, Young Men's Leadership Club, Industry/Business Mentors, Student Advisory Council, Skills USA, Future Business Leaders of America, National Honor Society, Key Club, Peer Tutoring, PM, Saturday School; As the school grows, we expect to offer JROTC programs for interested students",Priority to Manhattan students or residents who attend an information session,,206.0,info@uaglobalcommerce.org,,9.0,,,3:15 PM,Then to New York City residents,1,,Materials for the Arts,"Maritime College, Rutgers University, SUNY Farmingdale, New York City College of Technology, Arizona State University",1054156.0
718-271-4041,ESL,Yes,"Leadership Project, Peer Tutoring, Advanced English, Art Design and Exhibition, Baile Folklorico, Campaña Verde, Comics, Crochet, Dance, Drama Class, Family Festivals, Guitar, History Regents Prep, Latino Youth for Higher Education Program (LYHEP), Math Regents Prep, Music, Newspaper, Photography, Saturday Explorers, Science Regents Prep, Social Action Projects and Campaigns, Sports, Student Congress, Talent Show, Voice","Open only to New York City residents living in the United States four years or fewer whose home language is Spanish and are English Language Learners per New York City Department of Education guidelines scoring at the Entering, Emerging or Transitioning levels on the NYSESLAT, NYSITELL, or LAB-R.",,463.0,mgarg@panamericanihs.org,,25.0,,,3:15 PM,,1,,"Queens Museum of Art, Metropolitan Museum of Modern Art, Repertorio Español, Baile Folklorico","Columbia University, New York University",4437166.0
212-283-8109,ESL,No,"Advisory, Choral Ensemble, Dance, Debate Team, International, Mentoring, Moot Court, Music, Poetry, Squash Book",Priority to continuing 8th graders,,228.0,lmcdouglad@schools.nyc.gov,,9.0,,New York-Presbyterian Hospital (school-based Clinic),2:40 PM,Then to New York City residents,1,,"The Studio Museum of Harlem, Apollo Theater","The City College of New York, Columbia University",1058843.0
718-333-7725,ESL,Yes,"Art Studio, Boys Group, Chess Club, College Start, Computer/Technology Team, Girls Club, Peer Mediators, Peer Mentors, Photography, Poetry/Spoken Word, SAT Prep, Student Government, Theater, The Walking Dead Critique Club, Video Games, Yearbook",Priority to New York City residents who attend an information session,,306.0,dohara@leaders6-12.org,,47.0,,,3:25 PM,,1,,,Kingsborough Community College,3186454.0
718-389-3427,ESL,Yes,"After-School Tutoring, Art Club, Museum Studies, Book Club, Technology Team, Consultative Council, Dance Team, Rocketry Club, Multicultural Club, National Honor Society, Peer Mediation, Peer Tutoring, Regents Review, Saturday Academy, Senior Council, Student Government, Yearbook",Priority to Queens students or residents who attend an information session,,179.0,24Q267@schools.nyc.gov,,26.0,,,3:30 PM,Then to New York City residents,1,,"The Museum of the Moving Image, The American Museum of Natural History, Museum of Modern Art (MoMA), New York City Opera","Bard College, LaGuardia Community College",4003517.0
718-329-8559,ESL,Yes,"National Honor Society, Chamber Music, Brass Quintet, Campus Council, Chess, Clarinet Quartet, Conflict Resolution/Peer Mediation, Newsletter Team, Dance, Drama, Guitar Class, Gospel Choir, Latin Band, Men’s Choir, Music Section Leaders, Musical Theatre, Percussion Ensemble, Philosophy, Prom Committee, Regents Preparation, Rock Band, Saxophone Quartet, School Leadership Team (SLT), several performances and competitions throughout the Tri-State Area, String Quartet, Student Council, Student Recital Series, Woodwind Quintet, Yearbook Committee, Yoga, Recycle-A-Bicycle, Teen Battle Chef, Disney’s Magic Music Days, Six-Flags Music Showcase, Journalism, SAT Prep, College Tours; Flag Football, Basketball, Cheerleading, Summer Camps for Summer Band, Strings, and Choir",Open to New York City residents,Arts,409.0,yperez4@schools.nyc.gov,Municipal Credit Union (Adopt-A-School),11.0,,Full Service Montefiore Clinic,3:45 PM,,3,,"Bronx Arts Ensemble, Exploring the Arts, Bronx Council on the Arts, Lincoln Center for the Performing Arts, Metropolitan Opera, Westchester Community Band, Disney Entertainment, Lehman College Band, Lehman College Choir","Lehman College, Queens College, SUNY Fredonia, New York University, Columbia University, Teachers College Columbia University, Mercy College",2015241.0
718-542-4377,ESL,Yes,"Yoga, Dance, Glee, Mentoring, Music Production, Outdoors; Senior Leadership Association, Student Government, Visual Arts, Film",Priority to New York City residents who attend an information session,,131.0,info@bccprep.com,Bethex Federal Credit Union,16.0,,,2:15 PM,,1,,"Deep Sea Innertainment, Inc.","Lehman College, Bronx Community College",2004868.0
718-725-0390,ESL,No,"Model UN, Student Government, Math, Anime, Book, Innovative Voices Writing, Computer, Photography, Debate, and Tutoring",Eligibility: Open only to female students,Math,236.0,lharding@tywlsqueens.org,,24.0,,,2:57 PM,Then to New York City residents,1,iLearnNYC: Program for expanded online coursework and self-paced learning,Jamaica Center for Arts and Learning,"Cornell University, Gettysburg College, University of Rochester, University of Richmond, University of Virginia, Bowling Green University, Saint John's University, and Queens College",4207510.0
212-246-2913,ESL,Yes,"College Guidance, Computer Tech, Dance, Future Business Leaders of America (FBLA), Drama Internships, Journalism, Navy JROTC, Photography, School Store, Student Government, Visual Art",Priority to Manhattan students or residents who attend an information session,CTE,127.0,solomon@nycBOSS.org,Morgan Stanley mentoring program,3.0,,,3:30 PM,Then to New York City residents,1,iLearnNYC: Program for expanded online coursework and self-paced learning,Abrons Arts Center (Henry Street Settlement),"St. John's University, Long Island University",1026646.0
212-567-1825,ESL,Yes,"National Honor Society, SkillsUSA, Health Occupations Student Association, Theater, Marching Band, Chorus, Web Design, Robotics, Dance, Soccer, Poetry, Student Government",Priority to Manhattan students or residents who attend an information session,,291.0,inwoodearlycollege@gmail.com,,10.0,14.0,"NY Presbyterian Hospital is one of our Founding Partners, providing mentors, internships, and thought partnership to our school.",3:00 PM,Then to New York City residents,1,,,"Guttman Community College is our Founding College Partner, providing mentors and college faculty who co-plan and co-teach high school courses. The College also provides dual enrollment in college courses and full degree programs- free of charge- for Inwood Early College students.",1076776.0
718-488-1724,ESL,Yes,"Basketball Team, Class Leadership Program, Creative Writing, Hip-Hop Dance, Drama and Theater, Homework Help, Afterschool Subject Tutoring, Science, Movie Club, Music, Playwriting, Student Council and Student Advisory, Regents Preparation, Yearbook, New York Runners, Baruch College, STEP, Saturday Academy",Priority to Brooklyn students or residents who attend an information session,,39.0,nnicolas@schools.nyc.gov,,33.0,,,3:00 PM,Then to New York City residents,1,,,,3331754.0
718-893-6439,ESL,Yes,"Aerobics, Art History, College and Field Trips, College and Health Fairs, Computer Graphics, Dance, Drama, Field Day, Career, Playwriting, Step Team, Student Government, Technology, Travel",Priority to Bronx students or residents who attend an information session,,155.0,krodriguez10@schools.nyc.gov,,17.0,,,3:30 PM,Then to New York City residents,1,iLearnNYC: Program for expanded online coursework and self-paced learning,"American Museum of Natural History, New York Botanical Garden, New-York Historical Society, Schomburg Center for Research in Black Culture, Bronx Zoo","Lehman College, New York University, Program REACH",2009867.0
718-575-4069,"ESL, Transitional Bilingual Education: Chinese, Spanish",No,"African, Agriculture Publication, Agriculture Sales Team, Anime, Anti-Bullying Alliance, Arista, Art, Aspire, Blood Drive, Book, Cheerleading, Chemistry Olympiad, Chess, Chinese, College Now, College Visitations, Conflict Resolution, Dance Team, Debate Team, Desi Club, Drama, Educate for Peace and Progress, Envirothon Team, Duelist Club, Equine Team, Euro Challenge, Fashion, Film, Floriculture, Foreign Language, Freshman Year Initiative, Future Farmers of America (FFA), Glee, Green Team, In-House Plant Science, Indo-Pak, , Japanese, Journalism, Junior Air Force ROTC Drill Team, K-Pop, Key, Latin, Leadership Program, Literary Magazines, Livestock Judging Team, Mock Trial, Moot Court, Muslim Students Association, N.Y.C.S.E.F, Intel, S.I.S., Peer Mediation, Robotics, Civil Engineering, School Dance, School Newspaper, Science Olympiad, Small Animal Care, Student Ambassador, Student Animal Science/Plant Science Competitions, Student Union, Talent Show, Winter Carnival, Wrestling, Yearbook",Open to New York City residents,"CTE, Math, Science",809.0,ICastillo@schools.nyc.gov,,24.0,,,3:47 PM,,4,iLearnNYC: Program for expanded online coursework and self-paced learning,,"Cornell University, LaGuardia Community College, Queensborough Community College, Queens College, State University of New York (SUNY) Cobleskill, SUNY Morrisville",4439900.0
718-978-2309,ESL,Yes,"Robotics, Game Design, Words from Within Poetry, Urban Word, Project Prize Queensborough Community College (QCC) Liberty Partnership, Arista, Band, Dance Ensemble, French, Glee, Gospel Choir, Opportunity to audition for HAI Theater Company, Jazz Band, Student Government, Television Production and Editing, Theater Arts, Tutoring, Web Design, Yearbook",For Q53A only: a. Priority to Queens students or residents who attend an information session b. Then to New York City residents who attend an information session c. Then to Queens students or residents d. Then to New York City residents,,53401.0,,,27.0,,Jamaica Hospital Center (on-site facility),2:45 PM,,2,iLearnNYC: Program for expanded online coursework and self-paced learning,"Young Audiences,Jamaica Center for Arts and Learning, HAI theater, Black Spectrum Theater,","Queensborough Community College, The City College of New York, York College, Fashion Institute of Technology, The Cooper Union for the Advancement of Science and Art",4238003.0
212-517-7147,ESL,Yes,"Before- and After-school Tutoring, Computer, Dance, Digital Imaging, Editing, Guitar, Human Rights, Instrumental Music (lessons), Kaplan SAT Prep, Regents Prep, SAT Prep, School Newspaper, Stock Market, Student Government, Video Production, Yearbook","Eligibility: Open only to New York City residents living in the United States four years or fewer who are English Language Learners per New York City Department of Education guidelines scoring at the Entering, Emerging or Transitioning levels on the NYSESLAT, NYSITELL, or LAB-R.",,118.0,GRodriguez2@schools.nyc.gov,,5.0,,Mount Sinai Adolescent Health Center,3:05 PM,,1,,"Manhattan Class Company, Art Resources for Teachers and Students (ARTS), American Folk Art Museum, The Jewish Museum, New Victory Theater, Early Stages Theater Company, Reel Lives","Borough of Manhattan Community College, LaGuardia Community College, Hunter College, John Jay College, The City College of New York, New York City College of Technology",1083343.0
212-262-0702,ESL,Yes,"Art, Badminton, Board Games, Envirothon, Fantasy Science Fiction, Leadership Class, Literature, Marketing/Public Relations, Model UN, Multicultural Aspects,National Honor Society (Arista), Photography, Student Government, Weight Training, Yearbook, Youth Environmental Stewards (YES), Yoga, Salsa Dance, Marketing/Public Relations, Video games/Sci-Fi/Fantasy, Math Team, French",Open to New York City residents,,139.0,GGross@schools.nyc.gov,,3.0,,Jewish Board of Family and Children Services,3:45 PM,,2,iLearnNYC: Program for expanded online coursework and self-paced learning,"Open Stages at Lincoln Center, American Museum of Natural History, New-York Historical Society, Alvin Ailey American Dance Theater, Pearl Theatre Company, New York Botanical Garden, Wave Hill","Columbia University Center for Ecological Research and Conservation (CERC), John Jay College, University of Vermont, City University of New York (CUNY), SUNY College of Environmental Science and Forestry (ESF), Hunter College, Baruch College",1026841.0
718-392-3315,ESL,Yes,"Conflict Resolution, Early College Program, Middle College National Consortium, National Honor Society, Peer Counseling, Yearbook, Senior Council Committee, Beginner Guitar, Chess, Community Service Project, Digital Storytelling, Robotics",Priority to Districts 24 and 30 students or residents,,179.0,jgonzalez10@schools.nyc.gov,,26.0,,Western Queens Consultation Center,1:55 PM,,1,,,LaGuardia Community College,4003442.0
718-734-3286$,ESL,Yes,"After-School and Saturday classes provide extra support and preparation for the NYS Regents Exams; AP Preparation, Accelerated Classes, Art, Dance, Fitness, Green Team, Nova Net (online classes), Student Government, Mentoring, Theatre, Yearbook",Priority to Queens students or residents who attend an information session,,94201.0,Ddefreitas2@schools.nyc.gov,,32.0,,,3:30 PM,Then to New York City residents,2,,Dance Theatre Etcetera,St. John's University Kingsborough Community College York College Adelphi University,4303773.0
718-345-8069,ESL,Yes,"Debate Club, After-School Band, Step Team, Art Club, Praise Dance Troupe, Double Dutch, Drama, Future Teachers of America, Girls’ Leadership and Mentorship (GLAM), Boys’ Leadership, Mentoring, Game Design Club, National Honor Society, Peer Mediation, Peer Tutoring, Yearbook, Newsletter, Cheerleading",For K20A only: a. Priority to Brooklyn students or residents b. Then to New York City residents,,924.0,,NYS Taxation and Finance VITA Program,41.0,,"Brookdale University Hospital & Medical Center, Brownsville Multi-Service Family Health Service & Kings County Hospital",2:40 PM,,2,iLearnNYC: Program for expanded online coursework and self-paced learning,"Studio in One, Brooklyn Museum, Brooklyn Academy of Music, Broadway Cares, Stage Doors, Center for Arts Education, Materials for the Arts",Medgar Evers College: College Now,3081419.0
212-683-7338,ESL,No,"After-school Open Help Sessions (in all academic areas), Amnesty International, Art, Community Service, Debate, Drama, Film, Gay-Straight Alliance (GSA), International Exchange, Lorax (Environmental Club), Model UN, Music, National Honor Society (NHS), Peer Tutoring, Rap, Red Cross, School Newspaper, School Play, Dance, Photography, Coding club, InvenTeam, Tech Team, Senior Mentors, Student Government, UNICEF, Writing, Yearbook",Priority to District 2 students or residents,"Math, Science",56.0,bcchs@bcchsnyc.net,Credit Suisse,2.0,,,2:50 PM,,1,iLearnNYC: Program for expanded online coursework and self-paced learning,"Manhattan Class Company Theater Group, American Composers Orchestra, MiMA music, Henry Street Settlement, World Savvy","Baruch College, Harvard University, MIT",1016745.0
212-253-8095,ESL,Yes,"Union Square Partnership, Fitness, Debate, Model UN, National Honor Society, Vineyard Theatre, School Plays and Musicals, Arts Shows, Dance",Open to New York City residents,Arts,50.0,sdicicco@schools.nyc.gov,,2.0,,,3:30 PM,,3,iLearnNYC: Program for expanded online coursework and self-paced learning,"Theatre Development Fund, Battery Dance, New York City Center, Greenwich Village Orchestra (GVO), Vineyard Theater, Center for Arts Education, Lincoln Center, Manhattan Theatre Club, American Ballet Theatre, New Museum, MOMA and The New York Historical Society","New York University (NYU), Parsons The New School for Design, Fashion Institute of Technology (FIT), School of Visual Art (SVA), New York City College of Technology",1017828.0
718-363-3206,ESL,Yes,"Academic Intervention Services (AIS), AP Prep, Archon National Community Service Honor Society, Arista National Academic Honor Society, Band, Benefit Concert Planning Committee, Chorus, Coro Leadership Training Program, Documentary Filmmaking Team, Downtown Community Television (DC-TV) Film & Media, Drama, Fitness, Gay-Straight Alliance (GSA), Keyboard Lab, Medical, Reaction, NY Cares Youth Service, Peer Mediation Team, Poetry, Regents Prep, Safe Harbor Peer Leadership, Literary Magazine, Newspaper, Student Government, Teaching Assistants, Travel, Wingate Generals Step Team",Priority to Brooklyn students or residents,,810.0,jpfeil@schools.nyc.gov,,40.0,,"SUNY Downstate Medical Center, Kings County Hospital Center, Kingsbrook Jewish Medical Center",3:15 PM,,3,,"Pratt Institute (Saturday School), Fidelity FutureStage, Penn State (Altoona Dance Department), Brooklyn College (Art Lab) (BCAL), NY Exploring Program, Brooklyn Public Library, NY Aquarium, NYC Parks Department","Brooklyn College, Medgar Evers College, High School Law Institute at Columbia University and New York University, New York Law School, Arthur Ashe Institute for Urban Health at SUNY Downstate Medical Center",3107227.0
212-580-0156,ESL,Yes,"After-school tutoring for academic courses, After-school Regents preparatory classes, Book, Community Service Projects, Dance, Award-Winning Drama Club, Debate Team, Internships through our various partnerships, Peer Mentoring, Student Government, Fundraising Committee, Yearbook Committee",Priority to New York City residents who attend an information session,,151.0,,,6.0,,St. Luke's/Roosevelt Hospital Clinic,3:15 PM,,1,,"Carnegie Hall, Manhattan Neighborhood Network, Museum of Modern Art, Human Rights Watch, The Art Students League, Studio in a School, Materials for the Arts","New York University, Peer Health Exchange at Columbia University, College Now at John Jay College, Fordham University STEP Program",1030343.0
212-666-3805,ESL,Yes,"Model UN, Architecture, Architectural Design, Book Circles, Chess, Cooking, Robotics, Film, Gardening, Journalism, Musical Theater, Latin Dance, Math Bowl, Math Problem Solving, Moot Court, Multimedia Design, Neuroscience, Photography, Green Team, Urban Ecology, Contrariwise Philosophy Journal, Gay-Straight Student Alliance Student Government, Studio Art, Science Bowl, Webpage; Students serve on the Borough Advisory Council",Priority to continuing 8th graders,"Math, Science",20901.0,roxanabosch@columbiasecondary.org,,7.0,,,3:20 PM,,1,,,"Columbia University, Teachers College Students can take college courses at CU starting in 10th grade",1059526.0
