property_name,address_1,worship_facility_gross_floor,weather_normalized_site_eui,financial_office_gross_floor,performing_arts_gross_floor,alert_data_center_issue_with,office_percent_that_can_be,year_built,office_weekly_operating_hours,weather_normalized_site,electricity_use_generated_1,ambulatory_surgical_center,estimated_values_water,weather_normalized_source_1,last_modified_date_property,national_median_site_eui,annual_maximum_demand_meter,parent_property_name,energy_star_certification_2,residence_hall_dormitory,hotel_percent_that_can_be,fuel_oil_4_use_kbtu,estimated_data_flag_fuel,source_eui_kbtu_ft,generation_date,account_id,water_use_intensity_all_water,direct_ghg_emissions_metric,hospital_general_medical_5,difference_from_national_1,irrigated_area_ft,list_of_all_property_use,difference_from_national,multifamily_housing_resident,number_of_buildings,electricity_use_grid_purchase,estimated_data_flag_district,parking_gross_floor_area,borough,data_center_pdu_input_meter,multifamily_housing_number_3,alert_energy_meter_has_single,annual_maximum_demand_mm,diesel_2_use_kbtu,national_median_reference,source_energy_use_kbtu,weather_normalized_site_3,third_party_certification_2,address_2,national_median_source_energy,hospital_general_medical,source_energy_use_adjusted
National Arts Club,15 Gramercy Park South,,87.6,,,Ok,,1905,,5.9,,,No,12508278.2,03/19/2018 11:53 AM EDT,45.2,,,No,,,,No,122.3,2018-03-19T00:00:00.000,115010,39.25,405.3,,75.1,,Social/Meeting Hall,75.1,,1,1876647.4,,,MANHATTAN,,,Ok,,,CBECS - Social/Meeting,11627311.6,559571.8,,,6641076.1,,
17181 - 1384 Broadway,1384 Broadway,,64.2,,,Ok,100.0,1928,40.78,8.7,,,No,27163583.6,03/16/2018 01:45 PM EDT,106.3,,,No,,,,,131.0,2018-04-03T00:00:00.000,19173,,0.0,,-43.1,,"Medical Office, Office, Other",-43.1,,1,6073641.5,No,,MANHATTAN,,,Ok,,,CBECS - Office & Bank/Financial,26469004.5,1747855.4,,,46522360.6,,26734647.5
Clinton Towers/PP&H,730 Oakland Place,,168.3,,,Ok,,1973,,28.7,,,No,31513342.0,02/16/2018 03:08 PM EST,54.6,,,No,,,,,363.8,2018-02-20T00:00:00.000,8076,15076.63,300.3,,195.5,,Other,195.5,,1,7682349.3,,,BRONX,,,Ok,,,CBECS - Other,30059003.8,2371778.1,,,10173860.6,,
ZARA - 89-11 153 Street,89-11 153 Street,,,,,Ok,,1942,,,,,No,,,59.6,,,No,,,,No,,2018-04-12T00:00:00.000,46448,,,,,,Multifamily Housing,,No specific resident population,1,,,,QUEENS,,1.19812,Ok,,,Fannie Mae Industry Survey - Multifamily,,,,,11958914.0,,
380 BROADWAY LLC,380 BROADWAY,,1.1,,,Ok,,1915,,0.3,,,No,95875.7,02/27/2018 04:12 PM EST,39.2,,,No,,,,,3.5,2018-03-01T00:00:00.000,213213,20.84,0.0,,-97.2,,Other,-97.2,,1,30533.7,,,MANHATTAN,,,Ok,,,CBECS - Other,95875.7,8948.9,,,3385828.5,,
Gotham Tower,42-09 28 Street,,79.8,,,Ok,100.0,2011,50.0,18.1,,,No,139418187.1,03/07/2018 04:21 PM EST,104.6,,,No,,,,,211.9,2018-03-29T00:00:00.000,57868,13.59,540.4,,-25.6,,"Office, Other, Parking",-25.6,,1,40810504.9,,27433.0,QUEENS,,,Ok,,,CBECS - Office & Bank/Financial,138827825.5,11852700.1,,,186656959.0,,138827825.5
535 West 163 Street HDFC,535 West 163 Street,,91.2,,,Ok,,1900,,4.5,,,No,4299577.1,04/02/2018 01:03 PM EDT,94.2,,,No,,,,No,126.3,2018-04-02T00:00:00.000,211081,75.33,189.1,,-2.8,,Multifamily Housing,-2.8,No specific resident population,1,541251.1,,,MANHATTAN,,2.03963,Ok,,,Fannie Mae Industry Survey - Multifamily,4333134.1,155431.7,,,4458628.1,,4333134.1
Kaufman Hall,406 West 31 Street,,112.9,,,Ok,,1970,,10.4,,,No,67495049.8,02/16/2018 11:59 AM EST,102.4,Electricity 490118072905000 (4825820),,No,350000.0,,,Yes,194.4,2018-03-22T00:00:00.000,8679,42.1,1455.2,,10.7,,Residence Hall/Dormitory,10.7,,1,12638048.3,,,MANHATTAN,,,Ok,2017-07-01T00:00:00.000,,CBECS - Dormitory,68053190.9,3651903.5,,,61467683.3,,68053190.9
Standard Hotel,848 Washington Street,,285.0,,,Ok,,2006,,36.8,,,Unable to Check (not enough data),115669185.6,03/09/2018 10:21 PM EST,109.1,,,No,,100.0,,,550.2,2018-03-12T00:00:00.000,53293,,1645.7,,152.3,,Hotel,152.3,,1,25735692.4,,,MANHATTAN,,,Ok,,,CBECS - Hotel & Motel/Inn,113343613.1,7577110.3,,,44920145.2,,113343613.1
1530-1532 Townsend,1530-1532 Townsend Ave,,77.9,,,Ok,,1926,,3.8,,,No,5686684.0,03/20/2018 11:42 AM EDT,97.3,,,Yes,,,,,102.7,2018-03-27T00:00:00.000,21058,57.11,163.7,,-26.1,,Multifamily Housing,-26.1,No specific resident population,1,676989.3,,,BRONX,,1.80004,Ok,,,Fannie Mae Industry Survey - Multifamily,5361349.1,198414.2,,,7251412.0,,5361349.1
Serviam Gardens 323 East 198th St.,323 East 198th Street,,91.1,,,Ok,,1931,,5.2,,,No,9295544.1,03/12/2018 12:24 PM EDT,87.1,,,No,,,,,126.3,2018-03-29T00:00:00.000,11575,49.11,251.6,,-2.1,,Multifamily Housing,-2.1,,1,1230762.7,,,BRONX,,1.20069,Ok,,,Fannie Mae Industry Survey - Multifamily,8837716.5,365466.0,,,9028509.1,,8837716.5
Webster Ryer 2380 Ryer Ave,2380 Ryer Ave,,110.2,,,Ok,,1925,,7.0,,,Unable to Check (not enough data),4882605.5,03/12/2018 02:31 PM EDT,85.1,,,No,,,,,159.8,2018-03-29T00:00:00.000,11575,,127.2,,23.4,,Multifamily Housing,23.4,,1,700614.3,,,BRONX,,1.79661,Ok,,,Fannie Mae Industry Survey - Multifamily,4715386.7,206046.9,,,3822291.9,,4715386.7
934 Carroll St,934 Carroll St,,,,,Ok,,1926,,,,,No,,03/16/2018 06:12 PM EDT,59.6,,,No,,,,,,2018-03-23T00:00:00.000,995,114.88,,,,0.0,Multifamily Housing,,No specific resident population,1,,,,BROOKLYN,,1.65328,Possible Issue,,,Fannie Mae Industry Survey - Multifamily,,,,,6499877.0,,
Treeline West LLC 177 Livingston St,177 Livingston Street,,92.2,,,Ok,100.0,1895,58.37,16.9,,,No,19327765.5,03/26/2018 12:42 PM EDT,104.8,,,No,,,,,212.9,2018-03-26T00:00:00.000,13110,60.75,144.6,,-15.9,,Office,-15.9,,1,5123999.9,,,BROOKLYN,,,Ok,,,CBECS - Office & Bank/Financial,18947441.0,1501758.3,,,22533179.8,,18947441.0
BARD GRADUATE CENTER,410 WEST 58TH STREET,,74.9,,,Ok,,1910,,10.0,,,Unable to Check (not enough data),8385921.7,03/27/2018 09:07 AM EDT,80.9,,,No,55945.0,,,,144.7,2018-03-27T00:00:00.000,13110,,109.1,,-12.8,,Residence Hall/Dormitory,-12.8,,1,1890448.1,,,MANHATTAN,,,Ok,,,CBECS - Dormitory,8092558.7,559332.5,,,9284946.1,,8290308.4
600 Burke Ave,600 Burke Ave,,124.8,,,Ok,,1968,,3.9,,,No,8779767.0,04/03/2018 01:31 PM EDT,105.3,,,No,,,,,150.8,2018-04-03T00:00:00.000,71427,80.18,305.7,,11.4,,Multifamily Housing,11.4,No specific resident population,1,730418.7,,,BRONX,,1.64557,Ok,,,Fannie Mae Industry Survey - Multifamily,8336834.4,214911.1,,,7481447.5,,8336834.4
2764-66 Realty LLC,2766 university avenue,,,,,Ok,,1943,,3.4,,,Unable to Check (not enough data),,03/26/2018 09:11 AM EDT,70.8,,,Yes,,,,,66.6,2018-03-26T00:00:00.000,35731,,114.3,,-42.1,,Multifamily Housing,-42.1,No specific resident population,1,665110.8,,,BRONX,,1.38596,Ok,,,Fannie Mae Industry Survey - Multifamily,3795277.6,196436.1,,,6555783.8,,3795277.6
3472 Knox Place,3472 Knox Place,,93.2,,,Ok,,1931,,3.9,,,No,6776589.7,04/03/2018 01:28 PM EDT,94.3,,,No,,,,,119.8,2018-04-03T00:00:00.000,71427,135.2,216.1,,-6.4,,Multifamily Housing,-6.4,No specific resident population,1,698850.3,,,BRONX,,1.12963,Ok,,,Fannie Mae Industry Survey - Multifamily,6466997.5,209406.6,,,6908230.2,,
J A SHAMOSH LLC.,1100 LINWOOD STREET,,22.4,,,Ok,,1971,,3.7,,,No,3825002.6,03/08/2018 02:04 PM EST,33.5,METER#6725796 (4876145),,No,,,,,48.9,2018-03-08T00:00:00.000,73209,,37.6,,-35.3,,Non-Refrigerated Warehouse,-35.3,,1,962225.4,,,BROOKLYN,,,Ok,2017-07-01T00:00:00.000,,CBECS - Unrefrigerated Warehouse & Distribution Center,3763895.7,282012.1,,,5814026.1,,3820440.7
madison square garden,4 penn plaza,,125.7,,,Ok,,1968,,23.9,,,No,340056087.0,02/20/2018 10:36 PM EST,34.2,,,No,,,,,304.4,2018-02-21T00:00:00.000,14864,,342.1,,257.7,,Other - Entertainment/Public Assembly,257.7,,1,89965163.2,No,,MANHATTAN,,,Ok,,,CBECS - Public Assembly,335680673.1,26367277.9,,,93851258.2,,
West Farms 3,990-1000 178th Street,,283.5,,,Ok,,1972,,5.8,,,Unable to Check (not enough data),26796579.6,03/20/2018 02:21 PM EDT,137.0,,West Farms Square,No,,,,,329.0,2018-03-29T00:00:00.000,11575,,1067.6,,100.0,,Multifamily Housing,100.0,Other dedicated housing,1,1560876.2,,,,,2.94713,Ok,,,Fannie Mae Industry Survey - Multifamily,26006792.9,457466.6,,,13002900.1,,26006792.9
315 WEST 39TH STREET,315 WEST 39TH STREET,,48.6,,,Ok,100.0,1927,44.77,6.9,,,No,15387718.2,03/23/2018 04:43 PM EDT,102.9,,,Yes,,,,No,99.8,2018-03-23T00:00:00.000,149,30.39,229.2,,-53.6,,"Office, Other - Restaurant/Bar",-53.6,,1,3688548.3,,,MANHATTAN,,,Ok,,,CBECS - Office & Bank/Financial,15350490.1,1067510.5,,,33092900.2,,15350490.1
161-01 Jamaica Ave,161-01 Jamaica Ave,,106.1,,,Ok,100.0,1962,45.0,17.7,,,No,14247573.1,03/08/2018 06:39 PM EST,91.1,,,No,,,,,234.8,2018-03-08T00:00:00.000,115010,18.6,132.6,,12.5,,Office,12.5,,1,3651139.4,,,QUEENS,,,Ok,,,CBECS - Office & Bank/Financial,14086576.3,1060690.2,,,12526098.4,,14086576.3
28 Second Ave,28 Second Ave,,29.1,,,Ok,,1923,,3.2,,,No,3265891.5,03/26/2018 11:07 AM EDT,25.1,,,No,,,,,50.0,2018-04-04T00:00:00.000,37225,1.13,51.0,,5.1,,Self-Storage Facility,5.1,,1,652804.5,,,MANHATTAN,,,Ok,,,CBECS - Unrefrgerated Warehouse & Storage,3057710.8,196041.4,,,2908257.2,,
N4,1936 E. Tremont Avenue,,61.4,,,Ok,,1940,,3.4,,,Unable to Check (not enough data),23566581.5,03/23/2018 11:11 AM EDT,83.4,,,Yes,,,,,90.0,2018-03-28T00:00:00.000,11439,,53.4,,-32.0,,Multifamily Housing,-32.0,No specific resident population,1,2857339.6,No,,BRONX,,1.48923,Ok,,,Fannie Mae Industry Survey - Multifamily,22178421.5,833403.5,,,32633755.4,,22178421.5
175 lawrence,175 lawrence avenue,,64.6,,,Ok,89.29,1973,83.29,8.7,,,No,13602886.7,02/07/2018 09:50 AM EST,108.2,,,Yes,,,,,128.3,2018-03-16T00:00:00.000,59894,190.0,192.0,,-41.0,,Office,-41.0,,1,3082598.9,,,BROOKLYN,,,Ok,,,CBECS - Office & Bank/Financial,13475139.9,909082.6,,,22850242.9,,13475139.9
"1800 L Associates, LLC",1800 Avenue L,,0.6,,,Ok,,1948,,0.2,,,No,83450.3,03/22/2018 09:42 AM EDT,40.7,,1800 & 1818 Ave. L,No,,,,,1.7,2018-03-26T00:00:00.000,8690,,0.0,,-98.6,,Multifamily Housing,-98.6,No specific resident population,1,26280.0,,,BROOKLYN,,1.11111,Ok,,,Fannie Mae Industry Survey - Multifamily,82519.2,7789.1,,,6102270.0,,
8801 Shore RD BG Corp,8801 Shore Road,,28.0,,,Ok,,1920,,3.5,,,No,14998867.4,03/31/2018 10:01 PM EDT,45.1,,,Yes,,,,,54.6,2018-04-03T00:00:00.000,505,22.36,235.9,,-37.6,,Multifamily Housing,-37.6,No specific resident population,2,3310988.9,,,BROOKLYN,,0.64518,Ok,,,Fannie Mae Industry Survey - Multifamily,15058990.2,964783.4,,,24148007.1,,15058990.2
Sovereign - 425 East 58th Street&,425 East 58th Street,,129.7,,,Ok,,1972,,9.5,,,No,186582185.3,02/20/2018 09:58 AM EST,81.4,,,No,,,,No,203.8,2018-02-20T00:00:00.000,41987,51.65,4780.4,,59.3,,"Medical Office, Multifamily Housing, Parking, Retail Store",59.3,No specific resident population,1,29697683.7,,73500.0,MANHATTAN,,1.1455,Ok,,,Fannie Mae Industry Survey - Multifamily,186582185.3,8703892.2,,,117098211.3,,
DOE Fund- Porter Avenue Housing Development,89 Porter Avenue,,,,,Ok,,2004,,,,,No,,,73.9,,,No,70000.0,,,,,2018-04-02T00:00:00.000,46448,,,,,,Residence Hall/Dormitory,,,1,,,,BROOKLYN,,,Ok,,,CBECS - Dormitory,,,,,8045247.0,,
831 Bartholdi Street,301 Bartholdi Street,,,,,Ok,,1974,,,,,Unable to Check (not enough data),,03/20/2018 10:17 PM EDT,77.6,,,No,,,,,110.6,2018-03-25T00:00:00.000,58761,,396.6,,-4.4,,Multifamily Housing,-4.4,,1,2000136.9,,,,,1.4,Possible Issue,,,Fannie Mae Industry Survey - Multifamily,14121220.8,,,,14767832.0,,14121220.8
Murray Hill - 180 Maiden Lane,180 Maiden Lane,,58.5,,,Ok,100.0,1983,21.45,8.8,,,No,152738189.3,03/16/2018 01:45 PM EDT,65.8,,,No,,,,,125.6,2018-04-03T00:00:00.000,19173,,52.2,,-15.1,,Office,-15.1,,1,35974642.6,No,,MANHATTAN,,,Ok,,,CBECS - Office & Bank/Financial,149480375.8,10473425.9,,,176135133.9,,
2186 Cruger Avenue Apartment Corp.,2186 Cruger Avenue,,4.1,,,Ok,,1930,,0.8,,,Unable to Check (not enough data),713030.9,03/22/2018 10:06 AM EDT,47.4,302239000500024 (39864210),,Yes,,,,,10.1,2018-03-22T00:00:00.000,152927,,4.9,,-91.4,,Multifamily Housing,-91.4,No specific resident population,1,196114.9,,,BRONX,,1.39807,Ok,2017-01-01T00:00:00.000,,Fannie Mae Industry Survey - Multifamily,713030.9,57478.0,,,8284102.6,,713030.9
801 West End Avenue Corp.,801 West End Avenue,,17.7,,,Ok,,1910,,3.0,,,Unable to Check (not enough data),5680653.9,04/02/2018 01:10 PM EDT,53.6,,,Yes,,,876000.0,,38.9,2018-04-03T00:00:00.000,213325,,77.3,,-67.4,0.0,Multifamily Housing,-67.4,No specific resident population,1,1429194.2,,,MANHATTAN,,1.00694,Ok,,,Fannie Mae Industry Survey - Multifamily,5596356.2,426438.5,,,17155655.8,,5596356.2
288 Crown Street,288 Crown Street,,23.6,,,Ok,,1957,,6.9,,,No,5801412.3,03/13/2018 11:11 AM EDT,41.8,,,No,,,,,74.8,2018-04-01T00:00:00.000,15870,100.8,0.0,,-43.1,,Multifamily Housing,-43.1,,1,1865921.8,,,BROOKLYN,,1.4,Ok,,,Fannie Mae Industry Survey - Multifamily,5858994.6,541495.7,,,10297800.8,,5858994.6
777 East 31 Street - 40240,777 East 31 St,,89.4,,,Ok,,1961,,3.9,,,No,14820328.0,03/13/2018 10:40 AM EDT,95.3,,,No,,,,,117.6,2018-03-13T00:00:00.000,31047,97.0,464.9,,-10.5,,Multifamily Housing,-10.5,No specific resident population,1,1628687.8,,,BROOKLYN,,1.54524,Ok,,,Fannie Mae Industry Survey - Multifamily,14303773.9,477341.0,,,15980570.6,,14303773.9
GC - 498 7th Ave,498 7th Ave,,,,,Ok,100.0,1920,55.88,15.7,,,No,,04/02/2018 11:02 AM EDT,97.1,,,No,,,,No,178.6,2018-04-04T00:00:00.000,19173,42.44,562.6,,-35.3,,"Bank Branch, Office",-35.3,,1,50577042.8,,,MANHATTAN,,,Ok,,,CBECS - Office & Bank/Financial,167196024.3,14704961.5,,,258609279.7,,167196024.3
Kipling Arms,145 West 96th Street,,,,,Ok,,1900,,,,,No,,02/13/2018 12:04 PM EST,90.4,,,No,,,,,102.4,2018-03-04T00:00:00.000,58761,41.49,325.7,,-19.6,,Multifamily Housing,-19.6,,1,1277643.7,,,MANHATTAN,,1.4,Possible Issue,,,Fannie Mae Industry Survey - Multifamily,10449822.3,,,,13000046.8,,10449822.3
Dunmore Realty LLC,15 Sickles Street,,97.9,,,Ok,,1900,,0.7,,,Yes,5400961.0,03/27/2018 04:09 PM EDT,107.8,,,No,,,4640575.2,,98.4,2018-03-30T00:00:00.000,68460,119.45,349.4,,-14.5,,Multifamily Housing,-14.5,,1,129739.2,,,MANHATTAN,,1.4,Ok,,,Fannie Mae Industry Survey - Multifamily,5094362.2,38309.9,,,5960944.7,,5094362.2
1818 Anthony Ave.,1818 Anthony Ave.,,119.5,,,Ok,,1956,,4.8,,,No,9896845.7,03/23/2018 02:33 PM EDT,87.5,,,No,,,5564352.1,,149.5,2018-03-29T00:00:00.000,80044,77.16,453.0,,29.8,,Multifamily Housing,29.8,,1,1023454.8,,,BRONX,,1.4,Ok,,,Fannie Mae Industry Survey - Multifamily,9506172.0,302373.4,,,7321670.2,,9506172.0
45-08 40th Street (Charles McNally),45-08 40th Street,,88.0,,,Ok,100.0,1922,60.0,5.9,,,No,16259596.1,03/28/2018 03:43 PM EDT,82.1,,,No,,,,No,128.6,2018-03-28T00:00:00.000,41987,,407.3,,0.5,,"Multifamily Housing, Office, Retail Store",0.5,No specific resident population,1,2431494.2,,,QUEENS,,1.82561,Ok,,,Fannie Mae Industry Survey - Multifamily,15568048.3,712630.1,,,15492345.8,,
510 OP,510 ocean parkway,,106.9,,,Ok,,1931,,3.7,,,No,4270000.4,03/26/2018 01:20 PM EDT,97.9,,,No,,,,,131.2,2018-03-26T00:00:00.000,82827,90.57,143.7,,2.4,,Multifamily Housing,2.4,No specific resident population,1,384830.9,,,BROOKLYN,,1.91248,Ok,,,Fannie Mae Industry Survey - Multifamily,4048724.0,113274.9,,,3955584.1,,4048724.0
31 Bennett,31 Bennett Ave.,,,,,Ok,,1920,,4.0,,,No,,03/04/2018 11:34 AM EST,59.6,,,No,,,,,,2018-03-07T00:00:00.000,28589,,,,,40206.0,Multifamily Housing,,No specific resident population,1,558122.1,,,MANHATTAN,,2.43745,Ok,,,Fannie Mae Industry Survey - Multifamily,,160866.3,,,5143561.1,,
820 West End Avenue LLC,820 West End Avenue,,92.2,,,Ok,,1926,,3.7,,,No,13308915.0,03/27/2018 09:58 PM EDT,94.9,,,No,,,,No,117.2,2018-03-27T00:00:00.000,41987,41.92,419.0,,-9.4,,Multifamily Housing,-9.4,No specific resident population,1,1387137.1,,,MANHATTAN,,1.47401,Ok,,,Fannie Mae Industry Survey - Multifamily,12638602.4,402210.7,,,13945790.7,,12638602.4
West Chelsea Building LLC,508-516 West 26th Street,,38.5,,,Ok,,1927,,3.3,,,No,9249191.9,03/13/2018 09:27 AM EDT,72.9,,,No,,,3566346.5,,60.4,2018-03-23T00:00:00.000,82827,14.71,268.5,,-51.0,,Other,-51.0,,1,1667321.6,,,MANHATTAN,,,Ok,,,CBECS - Other,8837399.6,488663.9,,,18026889.7,,
N8,2140 E. Tremont Avenue,,69.0,,,Ok,,1940,,3.5,,,Unable to Check (not enough data),20971573.9,03/23/2018 11:23 AM EDT,82.2,,,No,,,,,99.3,2018-03-28T00:00:00.000,11439,,44.5,,-22.4,,"Multifamily Housing, Retail Store",-22.4,No specific resident population,1,2386664.8,No,,BRONX,,1.65576,Ok,,,Fannie Mae Industry Survey - Multifamily,19775893.6,689514.9,,,25481262.8,,
Operative Cakes,711-733 Brush Avenue,,,,,Ok,,1973,,7.1,,,No,,03/19/2018 12:28 PM EDT,42.7,,,No,,,,No,84.6,2018-03-19T00:00:00.000,74175,1.11,57.4,,-25.2,,Non-Refrigerated Warehouse,-25.2,,1,2564587.1,,,BRONX,,,Ok,,,CBECS - Unrefrigerated Warehouse & Distribution Center,8833819.4,745273.8,,,11805892.4,,8833819.4
