dbn,phone_number,admissionspriority12,requirement4_8,grade9swdapplicantsperseat9,interest7,admissionspriority22,prgdesc3,code5,seats9ge10,prgdesc1,auditioninformation6,admissionspriority38,school_accessibility_description,requirement5_5,requirement3_1,seats9swd9,method6,interest2,method8,requirement6_3,requirement7_1,seats107,seats3specialized,prgdesc5,academicopportunities5,applicants5specialized,language_classes,requirement6_1,transfer,admissionspriority33,requirement6_10,admissionspriority29,diplomaendorsements,method7,requirement2_2,prgdesc7,bus,requirement6_5,grade9gefilledflag4,code3,appperseat4specialized,appperseat6specialized,seats9ge1,advancedplacement_courses,requirement4_9,auditioninformation7,ptech,seats6specialized,program1,grade9geapplicantsperseat2,prgdesc2,college_career_rate,overview_paragraph,pbat,offer_rate1
10X237,718-432-6491,,,,,,,,,,,,,,,,,,,,,,,,,,Spanish,,,,,,,,,,"Bx1, Bx10, Bx2, Bx20, Bx22, Bx26, Bx3, Bx32, Bx7, Bx9, BxM1, BxM18, BxM2, BxM3",,,,,,106.0,"AP Biology, AP English Language and Composition, AP English Literature and Composition, AP U.S. History",,,,,"Marie Curie High School for Nursing, Medicine, and Allied Health Professions",,,0.68,"Our goal is to inspire students to learn as much as they can about health to prepare them for life experiences and future careers in health-related professions. Students will master skills in literacy, technology, and community responsibility. Graduates will succeed as a result of advanced level courses in math, science, and our interdisciplinary health curriculum. Courses are infused with various themes, skills, and contemporary issues prominent in the field of health. Students receive classroom visits from health care professionals and may take trips to observe them in the workplace. Our partnerships provide students with academic support, mentoring, and extended learning opportunities.",,-95% of offers went to this group
17K547,718-230-6363,,,,,,,,,"Integrated curriculum includes lab-based learning and hands-on experiences. Our program exposes students to a wide-range of science pathways including computer science, environmental justice, urban ecology, and anatomy and physiology. Includes real-world experiences such as job shadowing, mentoring, internships and paid job opportunities through our many partnerships. Selection criteria: Attendance (100-85%), Science grades (100-70), State ELA and Math exam scores (4-2).",,,2.0,,,,,,,,,,,,"Internships and paid positions available at Brooklyn Botanic Garden, Prospect Park, Nature Conservancy, Brooklyn Museum and many more.",,Spanish,,,,,,,,,,"B41, B43, B44-SBS, B45, B48, B49",,,,,,89.0,"AP Biology, AP Calculus AB, AP Computer Science, AP English Language and Composition, AP U.S. History",,,,,Science Exploration Program,,,0.57,"The Brooklyn Academy of Science and the Environment (BASE) is a small public high school in partnership with the Brooklyn Botanic Garden. At BASE, learning moves beyond the classroom walls, starting with our signature Field Studies program. Using the world-renowned Brooklyn Botanic Garden as their living classroom, students learn inquiry-based science research skills from BBG experts and dedicated, highly qualified teachers.",,-97% of offers went to this group
02M630,212-752-4340,Open to New York City residents,,,,,"Our comprehensive, three-year, studio-based curriculum immerses students in the pre-production, production, and post-production process. Through hands-on filmmaking, students learn film theory, film analysis, scriptwriting, editing in Adobe Premiere Pro, and gain industry-based technical and theoretical knowledge. Students have access to state-of-the-art equipment, participate in contests and film festivals, and meet visiting artists and professionals.",,,"Program includes study of structures, space, color, form, with a focus on hand drafting as well as software applications, architectural design, model making, sketching, and AutoCAD. Seniors complete city planning design project to address current zoning issues. Students visit museums and professional studios, design showrooms and hear from professionals. Student projects are critiqued and reviewed by industry partners in order to provide students with specific, relevant industry feedback.",,,1.0,,"Standardized Test Scores: English Language Arts (1.9-4.5), Math (1.6-4.5)",,,Visual Art & Design,,,,,,,"Enrichment: Museum Exploration Program, AIGA mentoring, Art Students League, Studio in a School, Kaplan Saturday SAT prep, Saturday Art Directors Club",,"French, Spanish",,,,,,"Arts, CTE",,Course Grades: Average (74-100),,"BM1, BM2, BM3, BM4, BM5, BxM1, BxM10, BxM11, BxM18, BxM3, BxM4, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M15, M15-SBS, M2, M3, M31, M4, M5, M50, M57, Q101, Q32, Q60, QM1, QM10, QM12, QM15, QM16, QM17, QM18, QM2, QM20, QM21, QM24, QM3, QM31, QM32, QM34, QM35, QM36, QM4, QM40, QM42, QM44, QM5, QM6, X10, X10B, X12, X14, X17, X17J, X2, X22, X22A, X27, X28, X30, X31, X37, X38, X42, X5, X63, X64, X68",,N/A - new program,M60Q,,,44.0,"AP Art History, AP Biology, AP Calculus AB, AP Chemistry, AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP Psychology, AP Studio Art: 2-D Design, AP Studio Art: Drawing, AP U.S. Government and Politics, AP U.S. History, AP World History",,,,,Architectural Design,6,"9th grade: Design Foundations. 10th grade: select CTE major from Cartooning, Animation, Fashion/Costume Design, Illustration, Graphic Design, Digital Photography; gain introduction to Adobe Photoshop and Illustrator. Technical assessment required for CTE certification. Upper grade students can apply for AP courses in Illustration, Cartooning, and Graphic Design. All portfolios are evaluated by professionals. Opportunities for museum visits, rotating student exhibitions, and visiting artists.",0.66,"Art & Design prepares students for careers in the arts. Our CTE programs include Film/Video, Photography, Animation, Architectural and Graphic Design, Illustration, Fashion, and Cartooning. Our instruction positions students for acclaimed awards and scholarships and facilitates entry into choice colleges. Teachers develop curriculum collaboratively with industry partners and colleagues in higher education. Students learn Adobe Suite and AutoCAD programs required for their field of study and achieve certification. We offer Advanced Placement (AP) and CUNY College Now courses. Our internships enable students to explore art careers. Our mission is to prepare students for college and career readiness through hands on studio work and challenging academics.",,
19K618,718-827-2469,,,,,,,,,"Ninth graders are programmed for 45 days in each of our CTE pathways in order to explore which program interests them the most before selecting one CTE program at the end of grade 9. Thereafter, students will be enrolled in their CTE pathway for the following three years in order to meet the graduation requirements for a CTE-endorsed diploma and industry certification.",,,2.0,,,,,,,,,,,,"Programming Languages: JavaScript, Java, HTML, CSS, SQL, Python, and Swift (iOS App Development)",,"French, Spanish",,,,,,CTE,,,,"B13, Q56",,,,,,89.0,"AP Biology, AP Calculus AB, AP Computer Science, AP English Literature and Composition, AP U.S. History",,,,,Academy of Innovative Technology,,,0.48,"We prepare all students to enter college and employment after four years of a multi-disciplinary curriculum that integrates challenging academics with state-of-the-art technology. We offer CTE pathways in Web Design, Video Game Design, Computer Repair, Robotics, and Graphic Design with industry recognized certifications in each area. Additionally, industry specialists co-teach many of our CTE classes in order to bring current industry standards into the classroom. Students participate in internships aligned to their CTE course of study to gain real world work experience after completing our intensive job readiness program. At AoIT we ensure students will gain the experience to become confident, skilled, and productive citizens.",,
07X600,718-993-5000,,,,,,The graphic arts program provides students with the knowledge and skills needed for employment as a graphic designer. The program involves the use of specialized software and cultivates students' creativity and their design and problem solving skills so they become strong visual communicators. Students work in a brand new state-of-the-art graphic studio on both Apple and PC computers equipped with the latest graphic design software.,,,Follows the National Automotive Technicians Education Foundation program of instruction and leads to national certification in the automotive industry.,,,2.0,,,,,Engineering,,,,,,,,,Spanish,,,,,,CTE,,,,"Bx1, Bx13, Bx15, Bx17, Bx19, Bx2, Bx21, Bx32, Bx4, Bx41, Bx41-SBS, Bx4A, Bx6, Bx6-SBS, BxM4",,,X69E,,,82.0,"AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP Statistics",,,,,NATEF Automotive Technology,7,Follows the National Automotive Technicians Education Foundation program of instruction and leads to national certification in the automotive industry. This Bilingual program is taught in Spanish and English.,0.37,"Students can earn both an academic Regents diploma as well as a state-approved technical endorsement in the automotive trades. The 9th grade program is specifically designed to transition students into high school by providing additional academic support in both English Language Arts and Math. Students immediately begin their career sequence in 9th grade with hands-on classes in their CTE program. Our College and Career Center counsels students as they develop their post-secondary plans by offering frequent college trips, career interest workshops, and mentoring and internship opportunities.",,
06M423,212-569-1022,,,,,,,,,"Our school presents an opportunity for 15- and 16-year old New York City residents entering the 9th grade for the first time. We believe that although these students have been held back two years during elementary and/or middle school, our trimester system and small class sizes will allow the pace and attention for these students to achieve in high school and be prepared for college and 21st century career paths!",,,,,,,,,,,,,,,9X9 Program for average 8th Grade students to take high school classes for credit while completing their 8th Grade portfolio.,,Spanish,,1.0,,,,,,,,"Bx12, Bx12-SBS, Bx20, Bx7, BxM1, M100, M3, M4",,,,,,50.0,"AP English Language and Composition, AP Spanish, AP U.S. Government and Politics, AP U.S. History",,,,,High School for Excellence and Innovation,,,,"At the High School for Excellence and Innovation, we empower our students by providing an abundance of opportunities for them to exercise student voice and choice during their high school experience. By building students' capacity to fully participate as community members of their school, we help them become agents of change who positively affect their homes, communities, and the world. Our belief is that regardless of previous challenges, every student can earn a high school diploma and be prepared to transition to post-secondary training or college to embark on their 21st century career paths.",,
14K477,718-387-2800,Open to New York City residents,,,,,"This programs offers courses in concert bands, jazz bands, chamber groups and music history which result in a 10-credit sequence. This sequence fulfills the requirements for the Advanced Regents Diploma.",,,"Study of criminal, civil, constitutional, business and family law, current legal issues, activist/politics, and law.",,,2.0,,,,,Computer Science & Technology,,,,,,,iLearnNYC: Program for expanded online coursework and self-paced learning.,,"Cantonese, Spanish",,,,,,,,,,"B24, B43, B60, Q54, Q59",,,K86C,,,137.0,"AP Computer Science, AP English Literature and Composition, AP Spanish, AP U.S. History",,,,,Legal Studies,2,Investigate simulated crime scenes using computers and technology to research and analyze data. Participate in onsite mock courtroom trials.,0.3,East Williamsburg Scholars Academy's mission is to establish a safe and rigorous learning environment where our scholars have opportunities to experience success to compete in a global society.,,
18K617,718-290-8760,,,,,,,,,"The advertising and media program teaches students how these areas impact the creation of a business solution for clients. Students have the opportunity to explore and become certified in the technology used in advertising including programming, animation, web design, and production. Throughout four years at IAM, students will be exposed to professional settings through field trips and competitions. Students are also able to explore software engineering, including game, web, and app development.",,,,,,,,,,,,,,,"Communications and Advertising Design Certification, Innovation in Advertising and Media Industry Endorsement, Industry Internships & Mentor Program",,Spanish,,,,,,CTE,,,,"B103, B17, B42, B6, B60, B82, BM2",,,,,,67.0,"AP English Language and Composition, AP Statistics",,,,,High School for Innovation in Advertising and Media,,,0.53,"Our partnership with the advertising industry provides a strong educational program that prepares students for college and careers. Mentorships, internships, and long-term advertising projects reflect real-world experience. Students may receive certifications in Microsoft Office and Adobe software. Those who complete the CTE sequence receive a certification in Communications and Advertising Design and are eligible for an industry scholarship to continue their studies in college. We also offer a four-year program in Software Engineering. Students will learn topics such as robotics, programming languages such as Python, Arduino, game design, web design, mobile app development, and AP Computer Science over the four years of study.",,
28Q680,718-969-3155,,"Standardized Test Scores: English Language Arts (2.7-4.5), Math (2.5-4.5)",,,,,,,Provides ongoing exposure to health science careers. All students are required to take four years of mathematics and science.,,,1.0,,"Course Grades: English (80-100), Math (86-100), Science (80-100), Social Studies (75-100)",,,,,,,,,,Pipeline to Medicine program (Sophie Davis) Robotics,,Spanish,,,,,,,,Punctuality,,"Q25, Q34, Q46, Q65, QM1, QM31, QM35, QM36, QM5, QM6, QM7, QM8",,,,,,90.0,"AP Calculus AB, AP Chemistry, AP Computer Science, AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP Human Geography, AP Macroeconomics, AP Physics, AP Psychology, AP U.S. Government and Politics, AP U.S. History, AP World History","Standardized Test Scores: English Language Arts (2.7-4.5), Math (2.5-4.5)",,,,Queens Gateway to Health Sciences,,,0.92,"Queens Gateway to Health Sciences Secondary School (Gateway), ""The Public School with a Private Flair,"" is committed to discipline and hard work. We are proud of the high academic achievement of our students, who are currently recognized for their performance in mathematics. Our focus is on Medical Professions and students are required to participate in the Hospital Experience Program at Queens Hospital Center. Our nurturing school environment includes staff, parents, and supportive partners. Together, we hold high expectations for the success of all students.",,-31% of offers went to this group
31R064,718-370-6950,,,,,,,,,"Our school partners with NYC Outward Bound Schools and EL Education to offer student-centered learning, focused around case studies and expeditions, that incorporate fieldwork, products presented to authentic audiences, and service learning opportunities. We expect students to uphold our character traits of creativity, honesty, humor, respect, and responsibility. Students are part of a Crew that provides social and emotional support, opportunities for community service and academic tracking.",,,1.0,,,,,,,,,,,,,,Spanish,,,,,,,,,,"S44, S55, S56, S59, S61, S79-SBS, S89, S91, S94, X17, X17A, X17J, X31",,,,,,86.0,"AP Biology, AP English Literature and Composition, AP Spanish, AP U.S. History",,,,,Gaynor McCown Expeditionary Learning School,,,0.79,"Our school provides a small, academically-challenging learning community, in partnership with NYC Outward Bound Schools and EL Education, that prepares students for college success and beyond. Our community is supported by problem-solving strategies to build perseverance, develop student character and respect for excellence in scholarship, and to energize student creativity. Our students give back to our city through multiple community service opportunities, including an annual Day of Service. They dive deeply into unique elective topics during Intensives Week. It's all about attitude-wanting to excel, striving to meet potential, overcoming challenges, and looking to make a difference.",,-100% of offers went to this group
25Q670,718-969-5510,,,,,,,,,,,,,,,,,,,,,,,,,,"Mandarin, Spanish",,,,,,,,,,"Q20A, Q20B, Q25, Q34, Q44-SBS, Q46, Q64, Q65, QM1, QM31, QM35, QM36, QM4, QM44, QM5, QM6, QM7, QM8",,,,,,125.0,"AP Calculus AB, AP English Language and Composition, AP Spanish, AP Studio Art: 2-D Design, AP Studio Art: Drawing",,,,,College Head-Start,,,0.67,"This is a small, college preparatory high school that offers Honors, Advanced Placement (AP), and ICT classes. Our College Head Start Program enables students to earn college credits in 10th, 11th and 12th grades during the school day, after school and on Saturdays. We provide a challenging academic curriculum, Smartboards, computer labs, comprehensive student activities, and personalized counseling program. RFK provides students with an extensive array of Academic Intervention Services, including: Saturday Academy, Free SAT Prep Courses, Saturday and After-School College Advisement, and Saturday and After-School Regents Preparation. Students of Robert F. Kennedy Community High School are required to complete 50 hours of community service.",,
02M437,212-488-3330,,,,,,,,,"Hudson High School of Learning Technologies is the ""School of Awesome""; a place where all individuals grow as learners, leaders, collaborators, and mentors. At HHSLT, we leverage digital resources and create personalized learning opportunities to inquire, reflect and construct, while building responsibility and resiliency.",,,2.0,,,,,,,,,,,,AP for All Program,,Spanish,,,,,,,,,,"M11, M12, M14A, M14D, M20, M23-SBS, M55, M7, X1, X10, X10B, X12, X17",,,,,,100.0,"AP Computer Science, AP English Language and Composition, AP English Literature and Composition, AP Seminar, AP Statistics",,,,,Hudson High School of Learning Technologies,,,0.54,"Hudson High School of Learning Technologies is an Institute for Student Achievement (ISA) partnership school. We create an academically rigorous and personalized learning environment that provides all students with college access, prepares all students to be college ready, and creates opportunities for all students to develop 21st Century skills. The mission of Hudson High School of Learning Technologies is to promote and develop the art of questioning so that our students are confident self-directed learners who are able to understand the world, appreciate multiple perspectives, take action as community activists, and become empowered personal advocates.",,-76% of offers went to this group
09X260,718-992-7089,,,,,,,,,,,,,,,,,,,,,,,,,,Spanish,,,,,,,,,,"Bx11, Bx15, Bx17, Bx21, Bx35, Bx41, Bx41-SBS",,,,,,85.0,"AP Calculus AB, AP Computer Science, AP English Literature and Composition, AP Environmental Science, AP European History, AP U.S. History",,,,,Bronx Center for Science and Mathematics,,,0.75,"The Bronx Center for Science and Mathematics offers challenging academic programs integrating technology across the curriculum. We meet students' emotional, intellectual, and social needs via a support structure linking faculty, students, and parents. The foundation of our school rests on Seven Core Virtues of citizenship: Respect, Integrity, Honor, Excellence, Commitment, Perseverance, and Service. Our college readiness success is supported by private/public funders who provide science research, robotics equipment, a computer lab, free SAT Prep, mentoring, and underwrite experiential learning and service trips to Nicaragua, Ecuador, Denmark, and Mali. Partners include Hayden and Heckscher foundations, PDT Partners, and Travelers Insurance.",,-100% of offers went to this group
14K488,718-486-2550,,,,,,,,,"We develop the Habits of Mind (Perspective, Analysis, Connections and Expression), Work (Resourcefulness, Organization, Perseverance, Eagerness and Self-Awareness), and Heart (Flexibility, Insight, Role and Empathy) that students need to succeed in a challenging college program and fulfilling career.",,,2.0,,,,,,,,,,,,"Small group advisories that focus on community circles, social emotional support, academic & social bonding, trips, and academic portfolio assessment",,Spanish,,,,,,,,,,"B24, B32, B39, B44, B44-SBS, B46, B48, B60, B62, Q54, Q59",,,,,,110.0,"AP Calculus AB, AP Chemistry, AP English Literature and Composition, AP European History, AP Spanish, AP Studio Art: 2-D Design, AP U.S. History",,,,,Brooklyn Preparatory High School,,,0.69,"BP students push themselves to be college-ready from the moment they arrive. We set high expectations and our small supportive environment allows students to work hard to meet them. All students challenge themselves by taking multiple AP courses, doing extended-day and maintaining an 85+ average. In turn, our College Bound team is committed to getting BP students into their dream colleges. BP students build lasting personal connections with BP staff through a four-year advisory program, individualized support classes, and a strong guidance team. Our well-rounded students choose from the wide variety of classes listed below. From Calculus to Sociology, Mentoring to Photography, at BP your choices are endless; success is mandatory.",,-97% of offers went to this group
09X564,718-410-4001,,,,,,,,,,,,2.0,,,,,,,,,,,,,,Spanish,,,,,,,,,,"Bx1, Bx11, Bx15, Bx18, Bx2, Bx32, Bx35, Bx41, Bx41-SBS, BxM4",,,,,,64.0,AP Spanish,,,,,Claremont International High School,,,0.49,"The mission of Claremont International High School is to build upon the diverse linguistic and cultural backgrounds of English Language Learners (ELLs) in New York City to create an academically stimulating and nurturing learning community that prepares students for success in college and beyond. Our students cultivate intellectual curiosity, advance critical-thinking skills, and develop empathy as global citizens through the integration of language and the arts in all classes. Students complete an internship during their junior year and have the opportunity to participate in CUNY College Now courses.",1.0,
17K537,718-564-2470,Priority to Brooklyn students or residents,,,,Then to New York City residents,,,,"Students create a web-based portfolio in fine arts, performing arts, spoken word, playwriting, screenwriting, and photography.",,,2.0,,,,,Film/Video,,,,,,,,,Spanish,,,,,,,,,,"B103, B12, B16, B35, B41, B44, B44-SBS, B49, BM1, BM2, BM3, BM4",,,,,,45.0,"AP Biology, AP Calculus AB, AP English Language and Composition, AP Macroeconomics, AP U.S. Government and Politics",,,,,Arts,3,"Students create a web-based portfolio in film/video production, web design, digital short films. Focus on web 2.0 media.",0.39,"We are a college pathway school designed to prepare all students to thrive in a four-year college and beyond. We offer a wide variety of Advanced Placement courses and have created an early college infrastructure that provides students the opportunity to graduate high school with a full year of college credits. Students can participate in community service and internship opportunities as well as PSAL sports teams, including our championship winning football team. YCD students benefit from our partnerships with organizations like Kaplan SAT Preparation, Counseling in Schools, StoryCorps U, Educational Video Foundation, Medgar Evers College, Brooklyn College, Bottom Line, Center for Supportive Schools, ScriptEd, and TRIO at Brooklyn College.",,-95% of offers went to this group
29Q326,718-736-7320,,,,,,,,,All students are admitted into our software engineering program and after completing the necessary coursework have the option of graduating with a CTE diploma in addition to a high school diploma.,,,,,,,,,,,,,,,"Regents Prep, Office Hours, Advisory, Enrichment, Pupilpath, Kinvolved, and Arts classes (origami, music production, video/film, Photoshop, etc.)",,"Mandarin, Spanish",,,,,,,,,,"Q1, Q110, Q17, Q2, Q3, Q36, Q43, Q76, Q77, Q83, X64, X68",,,,,,68.0,"AP Computer Science, AP English Language and Composition, AP English Literature and Composition, AP U.S. Government and Politics, AP U.S. History",,,,,Cambria Heights Academy,,,0.75,"At Cambria Heights Academy, we have a 9-12 CTE computer science program that builds our students' expertise in cutting-edge technologies and new media. In addition, with our one-to-one student-to-laptop ratio, we utilize technology as a learning tool across the disciplines in all content areas. Our personalized advisory program provides ongoing academic and social-emotional support, and our graduating seniors are creative thinkers who can comfortably navigate the ever-changing world of technology.",,-98% of offers went to this group
19K683,718-277-1069,,,,,,,,,"We have developed an interesting sequence of theater courses that involve portraying complex characters, scene work, monologues, and improvisation. Students begin their high school career with introductory theater classes which progress to the writing and the performing of plays or shows.",,,,,,,,,,,,,,,A resident college advisor guides each of our 11th and 12th graders through the entire college admission process.,,Spanish,,,,,,,,,,"B13, B14, B15, B20, BM5, Q7, Q8",,,,,,89.0,"AP Biology, AP English Language and Composition, AP Environmental Science, AP Statistics, AP U.S. Government and Politics",,,,,Theater Skills,,,0.28,"Small Community. Big Heart. Our educational premise is that all students deserve grade-level instruction that is challenging, yet engaging, rigorous, yet motivational. The majority of our elective courses revolve around theater arts. Resulting performances are staged by students guided by faculty. Additionally, we offer Advanced Placement courses in Environmental Science, Biology, Language and Composition, Government and Statistics. These courses are open to all students, in particular, those students who prefer an intensive academic schedule in lieu of theater arts classes. We partner with Medgar Evers College and College Confident.",,
02M420,212-780-9175,Open to New York City residents,,,,,,,,"A 3-year program offered starting in 10th grade in partnership with Syracuse University, focusing on scientific research under the mentorship of professionals at partner facilities, internships, and preparation for Intel Expo. Students can earn up to 12 college credits.",,,2.0,,"Course Grades: English (80-100), Math (80-100), Science (84-100), Social Studies (81-100)",,,Health Professions,,,,,,,"Medical Biology, Medical Illustrations, Anatomy & Physiology, Bioethics and Nutrition as well as AP courses beginning in the 10th grade",,Spanish,,,,,,"Math, Science",,,,"BM1, BM2, BM3, BM4, M1, M101, M102, M103, M14A, M14D, M15, M15-SBS, M2, M23-SBS, M3, M34-SBS, M34A-SBS, M8, M9, X1, X10, X10B, X12, X14, X17, X2, X27, X28, X37, X38, X42, X5, X63, X64, X68, X7, X9",,,,,,155.0,"AP Art History, AP Biology, AP Calculus AB, AP Chemistry, AP Computer Science, AP English Language and Composition, AP English Literature and Composition, AP Spanish, AP U.S. Government and Politics, AP U.S. History, AP World History",,,,,Science & Research M70A,8,Emphasis on the basic sciences. Hands-on laboratory work using state-of-the-art equipment and computer research in laboratory analyses in the diagnosis and treatment of disease and maintenance of health.,0.72,"Our school is dedicated to providing challenging academic standards in professional health career settings through our academic program, which prepares our students to enter the world of health care with scientific knowledge, ethics, integrity, and compassion. Our students are provided with a well-rounded high school experience including extracurricular activities, opportunities to enter science-related competitions, and an extensive sports program. Advanced Placement (AP) courses, as well as an array of electives, provide enrichment in all subject areas. Students have the opportunity to complete a three-year internship program that exposes them to health careers and related services fields.",,
02M459,212-517-6728,,,,,,,,,"New learners of English develop linguistic, cognitive and cultural skills. The school's classes facilitate the development of English language proficiency and the acquisition of academic skills needed for advanced study in college or the world of work.",,,2.0,,,,,,,,,,,,,,,,,,,,,,,,"BxM1, BxM10, BxM11, BxM3, BxM4, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M15, M15-SBS, M2, M3, M31, M4, M57, M66, M72, M98, Q101, Q32, Q60, QM2, QM20, QM3",,,,,,71.0,,,,,,Humanities and Interdisciplinary,,,0.56,We serve recent immigrant students who are new learners of English. Our staff creates challenging academic curricula designed to teach our students English and provide them with the academic skills and knowledge necessary for success in careers and higher education. Our small community of learners works collaboratively on a wide variety of hands-on projects in all content areas in order to support one another's linguistic and academic growth.,1.0,
18K642,718-290-8720,,,,,,,,,Students have a unique opportunity to take part in a law program.,,,,,,,,,,,,,,,,,Spanish,,,,,,,,,,"B103, B17, B42, B6, B60, B82, BM2",,,,,,89.0,"AP Chemistry, AP Computer Science, AP English Literature and Composition, AP Psychology, AP Studio Art: 2-D Design",,,,,Urban Action Academy,,,0.33,"The mission of Urban Action Academy (UAA) is to provide one child at a time with a unique educational experience that empowers them with an ""I Can"" mentality to serve as community leaders and facilitate public discourse with self-confidence and humility. Our academic program is structured to teach students to harness the energy of self-confidence and reinforce the discipline of hard work. All students of UAA will graduate equipped with the knowledge, skills, and personal choice to pursue college and/or professional careers in public service. Our UAA graduates will serve as public ambassadors propelled with a renewed sense of urgency to take action on a civic calling within their community, city, and nation.",,
04M610,212-289-7593,,,,,,,,,"TYWLS offers an academically rigorous college-prep program to all our students including opportunities to take higher level math and science classes and a range of AP courses. All students participate in a robust college advising program, The College Bound Initiative, beginning in the 9th grade.",,,1.0,,Standardized Test Scores: Average (2.3-4.5),,,,,,,,,,Students can take courses for college credit at Hunter College through the College Now program.,,Spanish,,,,,,,,,,"BxM11, BxM2, BxM3, BxM4, M1, M101, M102, M103, M106, M116, M15, M15-SBS, M2, M3, M4, M98",,,,,,67.0,"AP Biology, AP English Literature and Composition, AP Spanish, AP Statistics, AP U.S. History",,,,,Young Women's Leadership School,,,0.97,"The Young Women's Leadership School of East Harlem opened in 1996 as the first in a national network of all-girls college prep schools. TYWLS nurtures the intellectual curiosity and creativity of young women by supporting the whole girl in order to maximize academic achievement, social and emotional well-being, and post-secondary success. Our support structures include daily advisory, after-school academic tutoring, and regular contact with parents. The Young Women's Leadership Network supports our school with a wide range of leadership programs. The CollegeBound Initiative (CBI) provides college access support with a full-time CBI college counselor on our staff who guides each of our students through the college application process.",,-43% of offers went to this group
30Q286,718-267-2839,,Group Interview (on-site),,,,,,,"Our school includes advisory, rigorous STEM, AP offerings, humanities, and arts (drama, theater, technology, digital media, film, robotics, and computer programming). We also provide afterschool enrichment including sports, tutoring, and dance. The College Bound Initiative (CBI) provides a full-time CBI college counselor who guides each student through the college application process through visits and trips.",,,2.0,Writing Exercise (on-site),Standardized Test Scores: Average (2.7-4.5),,,,,,,,,,"Electives include Filmmaking with Tribeca Film Institute, Drama, Musical Theater, Game Design, 3-D Design, Mobile App Development, and Music.",,Spanish,,,,,,,,Course Grades: Average (84-100),,"M60-SBS, Q100, Q102, Q103, Q18, Q19, Q69",,,,,,68.0,"AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP Psychology, AP Studio Art: 2-D Design, AP World History",Group Interview (on-site),,,,"The Young Women's Leadership School, Astoria",,,0.92,"The Young Women's Leadership School of Astoria opened in 2006 as part of a national network of college prep schools for young women. TYWLS nurtures the intellectual curiosity and creativity of young women by supporting the whole girl in order to maximize academic achievement, social and emotional well-being, and postsecondary success. Our school is established to include advisory, rigorous STEM, humanities, and arts opportunities in a 21st century learning environment. The Young Women's Leadership Network supports our school with a wide range of leadership programs. The College Bound Initiative (CBI) provides college access support with a full-time CBI college counselor who guides each student through the college application process.",,-67% of offers went to this group
24Q293,718-271-1487,,,,,,,,,,,,1.0,,,,,,,,,,,,After-School programs: The After-School Corporation (TASC),,"French, Spanish",,,,,,,,,,"Q29, Q38, Q53-SBS, Q58, Q72",,,,,,119.0,"AP Biology, AP Calculus AB, AP English Language and Composition, AP English Literature and Composition, AP U.S. History",,,,,Civic Leadership Academy,,,0.76,"Civic Leadership Academy is a small school offering a challenging academic program with the goal of every student going to college. Our high expectations and focus on strong work habits, combined with an emphasis on critical reading, writing, and thinking skills, promote college and career readiness. The learning environment is highly personalized and supported by a dedicated and caring staff. Our curriculum is enhanced by a focus on community service, which gives students opportunities to discover their place in the world and their capacity to make a difference in their communities. We encourage parents to take an active role in helping us reach the goal of every student going to college.",,
21K620,718-332-5000,Open to New York City residents,,,,,"This program explores the knowledge of the role, function, legal limitations, qualities, personal habit and obligations that are important to provide quality care to residents in long term facilities. The types, purposes and organizational structures of health care facilities that employ nurse aides. It also examines the role of a nurse aide and the functions of a nurse aide. The program requires a theory class and a 104 hour clinical internship.",K67R,,State certified three-year sequence in the culinary arts. Internships available for eligible students. All students must take industry exams for certification.,,,,,,,,Computer Science & Technology,,,,,,"Students complete a state certified three-year sequence including electrical installation, plumbing, and carpentry. Students must take industry exams for certification. Internships and union opportunities are available for eligible students. Students are prepared for college and industry positions.",,,Spanish,,,,,,CTE,,,,"B1, B36, B4, B68, BM3",,N,K67H,,,46.0,"AP Biology, AP Computer Science, AP English Language and Composition, AP English Literature and Composition, AP U.S. History",,,,,Culinary Arts,3,"State certified program in A+ Computer Repair and Networking. Students learn computer maintenance, operating systems, and troubleshooting. Internships available for eligible students. All students take the IC3 and A+ exams for certification. Students are prepared for college and industry positions.",0.22,"Our learning community is molded after the CTE tradition. Respectful of our students' self-worth, we dedicate ourselves to the development of a caring, sharing, and challenging atmosphere. Through a variety of educational offerings, social and cultural experiences, athletic programs, work opportunities, and services, we develop the whole student. We devote all of our resources to ensure that each student receives the education necessary to meet the challenges of a changing world.",,
