schooldbn,locationname,phone,nyceec_others_some,bin,programname2,programname3,rezoning,prek_type,programcode2,singlegender,enhancedlang_note,community_board,council_district,postcode,hours,district_zonedsib,nta,pkc_outdistrict_all,nyceec_services_some,bus,accessibility,lpga,nyceec_current_all
14KBWT,Our Children the Leaders of Tomorrow 1,718-643-8201,,3393745.0,,,,NYCEEC,,,,3.0,36.0,11206.0,Contact program,,Bedford                                                                    ,,,"B38, B43, B44, B44-SBS, B48, B54, B57",Contact program,,x
16KBNL,Bedford Stuyvesant ECDC 265,718-455-5565,,3039902.0,,,,NYCEEC,,,,3.0,41.0,11233.0,Contact program,,Stuyvesant Heights                                                         ,,,"B25, B26, B46, B47, B52, B7, Q24",Contact program,,
20KBYQ,Bumble Bees R Us 8,718-633-8828,x,3015780.0,,,,NYCEEC,,,,7.0,38.0,11220.0,Contact program,,Sunset Park East                                                           ,,,"B11, B37, B63, B70, B9, X10, X11, X14, X28, X4",Contact program,,x
09XAJJ,Sharon Baptist - Center II,718-299-6500,,2013673.0,,,,NYCEEC,,,,5.0,15.0,10457.0,Contact program,,Mount Hope                                                                 ,,,"Bx1, Bx15, Bx2, Bx32, Bx36, Bx40, Bx41, Bx41-SBS, Bx42",Contact program,,x
12X536,P.S. 536,718-931-4270,,2028640.0,,,,District School,,,,9.0,18.0,10460.0,Contact program,x,West Farms-Bronx River                                                     ,,,"Bx21, Bx22, Bx36, Bx39, Bx4, Bx40, Bx42, Bx4A, BxM10, BxM6, Q44-SBS",Partially Accessible,,
%08X075,P.S. 75 School of Research and Discovery,718-860-1630,,2006079.0,,,,District School,,,,2.0,17.0,10459.0,8:20am-2:40pm,x,Hunts Point                                                                ,,,"Bx11, Bx19, Bx27, Bx35, Bx4, Bx4A, Bx5, Bx6",Not Accessible,,
20KAET,Dimitrios & Georgia Kaloidis PS of Holy Cross GOC,718-836-8096,x,3153048.0,,,,NYCEEC,,,,10.0,43.0,11209.0,Contact program,,Bay Ridge                                                                  ,,,"B1, B16, B37, B4, B63, B8, S53, S79-SBS, S93, X27, X37",Contact program,,x
13K009,P.S. 9 Teunis G. Bergen,718-638-3260,,3028204.0,Spanish Dual Language Program,,,District School,13K009FDPKSP,,,8.0,35.0,11238.0,Contact program,x,Prospect Heights                                                           ,,,"B25, B26, B41, B45, B48, B65, B67, B69",Partially Accessible,,
14KBWW,Williamsburg Y Head Start,718-387-0229,,3323170.0,,,,NYCEEC,,,,1.0,33.0,11249.0,Contact program,,Williamsburg                                                               ,,,"B24, B39, B44, B44-SBS, B46, B60, B62, B67, Q54, Q59",Contact program,,
12XAKD,Sound Dale Center for ECE,718-378-0 400,,2024083.0,,,,NYCEEC,,,,9.0,18.0,10472.0,Contact program,,Soundview-Bruckner                                                         ,,,"Bx27, Bx36, Bx39, Bx4, Bx5, BxM6, Q44-SBS",Contact program,,x
08XAGF,Manida (Center #1),718-542-7590,,2006496.0,,,,NYCEEC,,,Enhanced Language Support: Spanish,2.0,17.0,10474.0,Contact program,,Hunts Point                                                                ,,,"Bx19, Bx46, Bx5, Bx6",Contact program,,x
15KARS,Action Nursery,718-854-7777,x,3136635.0,,,,NYCEEC,,,,12.0,39.0,11219.0,Contact program,,Sunset Park East                                                           ,,,"B11, B16, B35, B70",Contact program,,x
10XASN,Lion of Judah Christian Academy (LOJCA),718-772-3238,x,2094688.0,,,,NYCEEC,,,,7.0,14.0,10468.0,8:30am-2:50pm,,Kingsbridge Heights                                                        ,,,"Bx12, Bx12-SBS, Bx2, Bx3, Bx32, BxM3",Contact program,,x
11X567,Linden Tree Elementary School,718-239-7401,,2041247.0,,,,District School,,,,9.0,18.0,10462.0,8am-2:20pm,x,Parkchester                                                                ,,,"Bx22, Bx4, Bx40, Bx42, Bx4A, BxM6, Q44-SBS",Not Accessible,,
18KCIC,"Little Einsteins of Canarsie, LLC",718-251-5000,,3397081.0,,,,NYCEEC,,,,18.0,46.0,11236.0,8am-2:20pm,,Canarsie                                                                   ,,,"B103, B17, B6, BM2",Contact program,,x
10X209,P.S. 209,718-364-0085,,2103868.0,,,,District School,,,,5.0,15.0,10458.0,Contact program,x,Fordham South                                                              ,,,"Bx1, Bx12, Bx12-SBS, Bx15, Bx17, Bx2, Bx22, Bx32, Bx34, Bx36, Bx40, Bx41, Bx41-SBS, Bx42, Bx9, BxM4",Fully Accessible,,
13K270,P.S. 270 Johann Dekalb,718-622-2443,,3055378.0,,,,District School,,,,2.0,35.0,11205.0,Contact program,x,Clinton Hill                                                               ,,,"B26, B38, B44, B44-SBS, B48, B52, B54, B62, B69",Not Accessible,,
20K179,P.S. 179 Kensington,718-438-4010,,3126001.0,,,,District School,,,,12.0,39.0,11218.0,Contact program,,Kensington-Ocean Parkway                                                   ,,,"B103, B16, B35, B67, B68, B69, BM3, BM4",Not Accessible,,
18KCJF,Clarkson Early Childhood Center,718-649-3488,,3224067.0,,,,NYCEEC,,,,18.0,46.0,11236.0,8am-2:20pm,,Canarsie                                                                   ,,,"B103, B17, B42, B6, B60, B82, BM2",Contact program,,x
09X199,P.S. 199 The Shakespeare School,718-681-7172,,2088263.0,,,,District School,,,,4.0,16.0,10452.0,8am-2:20pm,x,Highbridge                                                                 ,,,"Bx1, Bx11, Bx13, Bx18, Bx2, Bx3, Bx35, Bx36, BxM4",Not Accessible,,
20KAJR,Heartshare Human Services of New York,718-238-4637,x,3336446.0,,,,NYCEEC,,,,11.0,43.0,11214.0,8:15am-2:35pm,,Bath Beach                                                                 ,,,"B1, B64, B8, X28",Contact program,,x
07XAMW,East Side House,718-292-5335,,2091097.0,,,,NYCEEC,,,Enhanced Language Support: Spanish,1.0,8.0,10454.0,Contact program,,Mott Haven-Port Morris                                                     ,,,"Bx1, Bx15, Bx17, Bx2, Bx21, Bx32, Bx33",Contact program,,x
13KCNZ,NY Preschool Park Slope,718-857-0700,x,3019195.0,,,,NYCEEC,,,,6.0,39.0,11217.0,8:45am-3:05pm,,Park Slope-Gowanus                                                         ,,,"B103, B37, B41, B45, B63, B65, B67, B69",Contact program,,x
02MBAU,Sacred Heart Parochial,212-246-4784,,1077357.0,,,,NYCEEC,,,,4.0,3.0,10019.0,Contact program,,Clinton                                                                    ,,,"M10, M104, M11, M12, M20, M31, M34A-SBS, M42, M5, M50, M57",Contact program,,x
17K012,Dr. Jacqueline Peek-Davis School,718-953-4569,,3039174.0,,,,District School,,,,16.0,41.0,11233.0,8am-2:20pm,x,Ocean Hill                                                                 ,,,"B12, B14, B15, B25, B45, B47, B60, B65, B7",Fully Accessible,,
03MBAG,Milestones UWS,929-461-7928,x,1030999.0,,,,NYCEEC,,,,7.0,6.0,10023.0,9am-3:20pm,,Upper West Side                                                            ,,,"BxM2, M104, M11, M5, M57, M66, M72, M79",Contact program,,x
12X067,P.S. 67 Mohegan School,718-823-4101,,2013142.0,,,,District School,,,,6.0,17.0,10460.0,Contact program,x,East Tremont                                                               ,,,"Bx17, Bx19, Bx21, Bx36, Bx40, Bx42, Bx9, Q44-SBS",Not Accessible,,
20KCRV,Brooklyn Chinese-American Association,718-438-0008,,3418314.0,Half-Day Program,,,NYCEEC,Contact program to apply.,,,7.0,38.0,11220.0,Contact program,,Sunset Park East                                                           ,,,"B11, B16, B63, B64, B70, B9, X1, X10, X10B, X11, X12, X14, X15, X17, X17A, X19, X2, X28, X3, X31, X38, X4, X42, X5, X7, X8, X9",Contact program,,x
14K084,P.S. 84 Jose De Diego,718,,3062766.0,,,,District School,,,,1.0,34.0,11249.0,8:20am-2:40pm,x,North Side-South Side                                                      ,,,"B24, B32, B39, B44, B44-SBS, B46, B60, B62, Q54, Q59",Not Accessible,,
